"","dlttarget","situation","targetdose","truedrprob_targetdose","truedltprob_targetdose","n","dr_bias","dlt_bias","dr_variance","dlt_variance"
"1",20,"higherDR",1,55.1,20.3,10,0.115423030638294,0.0627020422135962,0.00517372357956324,0.0225010852822507
"2",20,"higherDR",1,55.1,20.3,20,0.115924490939892,0.0702193438016474,0.00704950308233109,0.0190217673870855
"3",20,"higherDR",1,55.1,20.3,30,0.10212224246473,0.0587562642914675,0.00692406480666577,0.0106195001457642
"4",20,"higherDR",1,55.1,20.3,40,0.0906691778528551,0.0421209279445272,0.00649441412605994,0.00669404276748751
"5",20,"higherDR",1,55.1,20.3,50,0.0821672417946411,0.0341526258220676,0.00583234446459654,0.00490515822471435
"6",20,"higherDR",1,55.1,20.3,60,0.0764508557094335,0.0302808010451008,0.00499505538761108,0.00401393691189007
"7",20,"higherDR",1,55.1,20.3,70,0.0724353686888648,0.0285455776660637,0.0045438761777319,0.00334062720531068
"8",20,"higherDR",1,55.1,20.3,80,0.0692977160558439,0.0262775193648971,0.00412180973080156,0.00288904245275473
"9",20,"higherDR",1,55.1,20.3,90,0.068424346200926,0.0242815745050536,0.00360180889879429,0.00250216017005132
"10",20,"higherDR",1,55.1,20.3,100,0.0676056779786354,0.0225628595519738,0.00321355101327078,0.00221673980103191
"11",20,"higherDR",2,35.3,11.3,10,0.370387150988548,0.174162027986856,0.00449108561274397,0.0228306096665975
"12",20,"higherDR",2,35.3,11.3,20,0.353159242589899,0.157097053131873,0.00877505528620461,0.0272861218204287
"13",20,"higherDR",2,35.3,11.3,30,0.328950786354542,0.148026857421866,0.00894617322587283,0.016915647017685
"14",20,"higherDR",2,35.3,11.3,40,0.309602567323629,0.14024566817153,0.00810395754963866,0.0118346755590281
"15",20,"higherDR",2,35.3,11.3,50,0.293084774481903,0.13313463166949,0.0073940181259826,0.00833600430113202
"16",20,"higherDR",2,35.3,11.3,60,0.283386958000027,0.13044770326168,0.00654160674651177,0.00677721211564898
"17",20,"higherDR",2,35.3,11.3,70,0.276833712358503,0.129256144681712,0.00619468751342156,0.00572665358644204
"18",20,"higherDR",2,35.3,11.3,80,0.271636599683716,0.127902401308481,0.00550628049715951,0.00487982809329832
"19",20,"higherDR",2,35.3,11.3,90,0.268256306917044,0.12574290467348,0.00499494408193593,0.00406466768995352
"20",20,"higherDR",2,35.3,11.3,100,0.265602321336933,0.123920453674215,0.00460606925844035,0.00356459641895125
"21",20,"higherDR",3,30,9.2,10,0.450339908208173,0.208877870011379,0.00434535120772914,0.0116104135106277
"22",20,"higherDR",3,30,9.2,20,0.414706098251595,0.139812768864946,0.0111463386343384,0.012834556225503
"23",20,"higherDR",3,30,9.2,30,0.373491573915433,0.122510507102454,0.0134055353415771,0.0109413846726392
"24",20,"higherDR",3,30,9.2,40,0.343077106081737,0.118910667762229,0.0134963118610334,0.0109693418221853
"25",20,"higherDR",3,30,9.2,50,0.3209011662965,0.115010136169164,0.0128229929918547,0.00956797572673834
"26",20,"higherDR",3,30,9.2,60,0.304344816812354,0.109586612806763,0.0118858852897756,0.00792993309829177
"27",20,"higherDR",3,30,9.2,70,0.288051035093932,0.104478961021828,0.0115436008928276,0.00645130273473301
"28",20,"higherDR",3,30,9.2,80,0.272662193988699,0.100747607281403,0.0111347664844967,0.00547508999050922
"29",20,"higherDR",3,30,9.2,90,0.259962295014815,0.0964689879524563,0.0105665887675159,0.00464858087954168
"30",20,"higherDR",3,30,9.2,100,0.251371995768923,0.09220988189119,0.0101054872071129,0.00411155346378764
"31",20,"lowerDR",1,25,20.2,10,0.323376276957937,0.0450034837561706,0.00576224539476294,0.0125586410423821
