"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,145.609714285711,100,29.279,48.981,45.7,53.7,0.6,0,0,48.014,46.625,5.426,0.802,0.133
"2",30,3,145.762428571425,100,25.864,43.646,0.1,13.5,80.4,6,0,6.387,23.29,59.39,10.644,1.289
"3",30,5,145.876714285711,100,23.242,40.894,0,0,1.8,39.2,59,1.989,3.606,11.511,37.437,46.457
"4",20,1,144.988428571425,100,19.393,38.414,62.1,37.8,0.1,0,0,62.535,34.856,3.219,0.338,0.052
"5",20,3,145.369142857139,100,16.245,33.243,0.1,22.5,73.5,3.9,0,8.209,30.314,53.779,7.736,0.962
"6",20,5,145.562142857139,100,14.714,31.12,0,0.1,2.7,42.6,54.6,2.726,4.439,13.328,37.64,42.867
"7",30,1,146.204999999997,100,33.301,38.237,4.4,61.9,33.6,0.1,0,13.12,50.968,34.189,2.359,0.364
"8",30,3,144.509428571425,100,31.234,35.424,0,0.7,39.3,57.8,2.2,3.142,6.975,35.757,46.437,8.689
"9",30,5,145.936571428568,100,25.187,30.149,0,0,0,4.6,95.4,1.419,1.888,4.568,12.054,81.071
"10",20,1,145.025571428568,100,22.821,28.199,6.1,59.6,34.2,0.1,0,17.418,50.424,30.581,2.278,0.299
"11",20,3,146.387571428568,100,21.391,26.222,0,0.4,26.5,62.1,11,3.974,7.421,31.086,44.193,14.326
"12",20,5,145.218285714282,100,16.672,20.929,0,0,0,2.3,97.7,1.832,2.136,4.608,10.329,82.095
"13",30,1,145.162714285711,100,27.291,61.16,95.6,4.4,0,0,0,86.131,12.166,2.005,0.574,0.124
"14",30,3,145.314714285711,100,21.384,50.795,15.4,74.4,10.2,0,0,25.28,59.239,14.971,1.279,0.231
"15",30,5,145.627857142854,100,18.044,46.991,0,4,61.1,34.3,0.6,4.055,12.685,50.863,29.508,3.889
"16",20,1,145.744857142854,100,18.274,51.02,99,1,0,0,0,93.569,6.414,0.872,0.132,0.013
"17",20,3,146.506285714282,100,13.48,38.641,26.2,68.3,5.5,0,0,37.18,53.46,9.624,0.618,0.118
"18",20,5,145.395285714282,100,11.102,35.124,0,7.6,64,27.9,0.5,5.928,17.102,50.092,24.472,3.406
"19",30,1,88.1074285714279,60,16.433,27.961,43,54.3,2.7,0,0,47.545,44.1366666666667,8.48,1.25666666666667,0.248333333333333
"20",30,3,87.5484285714279,60,14.199,24.086,0.2,20.9,69,9.6,0.3,9.87833333333334,26.8133333333333,49.28,13.5333333333333,2.16166666666667
"21",30,5,87.6452857142851,60,12.089,22.008,0,0,5.2,42.1,52.7,3.50833333333333,5.495,15.795,35.8416666666667,41.0266666666667
"22",20,1,88.3387142857136,60,10.787,21.715,60.6,38.5,0.9,0,0,62.5983333333333,33.5833333333333,4.99666666666667,0.445,0.0433333333333333
"23",20,3,88.3588571428565,60,8.871,17.948,1,29.6,60.6,8.8,0,13.645,33.3683333333333,43.0516666666667,10.095,1.50666666666667
"24",20,5,87.7708571428566,60,7.568,16.077,0,0.2,9.5,41.8,48.5,4.59666666666667,7.40166666666667,20.4666666666667,34.2683333333333,34.9333333333333
"25",30,1,87.881428571428,60,18.612,21.63,6,56.4,37.4,0.2,0,18.015,46.6116666666667,32.375,4.02666666666667,0.638333333333333
"26",30,3,87.6489999999994,60,16.857,19.34,0.1,2.1,39.3,50.9,7.6,5.45166666666667,11.0483333333333,35.55,37.2166666666667,12.4
"27",30,5,87.8478571428565,60,13.324,16.275,0,0,0.1,7.3,92.6,2.44166666666667,3.25666666666667,7.2,15.6083333333333,73.16
"28",20,1,87.8509999999993,60,12.71,15.648,6.9,58,34.3,0.8,0,22.5483333333334,46.2483333333333,28.4716666666667,3.67833333333333,0.72
"29",20,3,88.2559999999993,60,11.229,13.857,0,2.3,32.2,50.3,15.2,6.72,12.6916666666667,31.8816666666667,35.0383333333333,15.335
"30",20,5,88.208428571428,60,8.569,11.072,0,0,0.7,6.4,92.9,3.19166666666667,4.15666666666666,8.68166666666666,16.2316666666667,69.405
"31",30,1,86.9969999999995,60,15.278,35.401,91.7,8.2,0.1,0,0,80.3133333333334,16.8466666666667,3.51333333333333,0.885,0.108333333333333
"32",30,3,87.9445714285708,60,12.058,28.832,19.5,66.7,13.8,0,0,31.1033333333333,50.2783333333333,17.655,2.15666666666667,0.473333333333333
"33",30,5,87.716285714285,60,9.657,25.579,0.4,8.9,57,31.9,1.8,7.06166666666667,18.5233333333333,44.4966666666667,25.5583333333333,6.02666666666667
"34",20,1,87.9899999999995,60,10.164,28.735,97.4,2.6,0,0,0,89.9316666666667,10.0816666666667,1.45333333333333,0.185,0.015
"35",20,3,87.5945714285708,60,7.486,21.648,31.7,60.8,7.5,0,0,43.4666666666666,45.17,11.5083333333333,1.32333333333333,0.198333333333333
"36",20,5,87.742428571428,60,5.931,18.66,0.5,13.6,55.1,28.9,1.9,10.0316666666667,21.6083333333333,43.0483333333333,21.9416666666667,5.03666666666667
"37",30,1,44.4508571428574,30,6.801,12.288,47,43.8,8.8,0.4,0,53.0466666666667,34.5766666666667,12.78,2.49666666666667,0.433333333333333
"38",30,3,44.9425714285717,30,5.566,9.975,4.6,29.5,49.3,14.8,1.8,18.63,30.1866666666667,36.23,13.98,4.30666666666667
"39",30,5,44.6387142857146,30,4.644,8.305,0,3.1,18,40.4,38.5,7.40333333333333,11.9466666666667,23.4533333333333,29.6566666666667,30.8733333333333
"40",20,1,44.635285714286,30,4.317,9.151,58.1,35.7,6.1,0.1,0,65.3566666666667,28.7533333333333,8.01333333333334,1.02666666666667,0.183333333333333
"41",20,3,44.7821428571431,30,3.367,7.005,8.3,34.6,43.8,12,1.3,25.72,33.6866666666667,30.98,10.2,2.74666666666667
"42",20,5,45.2720000000003,30,2.656,5.828,0.3,4.9,21.4,33.7,39.7,10.3833333333333,14.5566666666667,24.8,25.9433333333333,27.65
"43",30,1,45.0215714285717,30,7.689,9.091,13.5,43.9,38.2,4.3,0.1,27.2866666666667,37.4166666666667,30.1433333333333,7.04333333333333,1.44333333333333
"44",30,3,44.6635714285718,30,6.361,7.626,0.4,8.6,36.1,40.3,14.6,10.7233333333333,17.8533333333333,32.5866666666667,28.2566666666667,13.9133333333333
"45",30,5,44.6354285714289,30,5.002,6.102,0.1,0.7,3.7,15.9,79.6,5.42666666666667,6.67,12.8366666666667,20.41,57.99
"46",20,1,44.8258571428574,30,4.845,6.275,18.4,47.2,29.8,4.4,0.2,35.6066666666667,38.2033333333333,23.3766666666667,5.33,0.816666666666667
"47",20,3,44.4690000000003,30,3.98,5.121,0.7,10.6,35.7,35.2,17.8,14.2333333333333,19.3233333333333,32.1966666666666,23.4033333333333,14.1766666666667
"48",20,5,44.4445714285717,30,2.964,3.961,0,0.7,5.3,19.2,74.8,6.79,8.43333333333334,15.8266666666667,21.4,50.8833333333333
"49",30,1,44.4417142857146,30,6.598,15.725,78.1,20.5,1.1,0.3,0,71.2266666666667,23.01,7.05666666666666,1.75,0.29
"50",30,3,44.6831428571432,30,4.927,12.473,30.2,49.9,19.2,0.6,0.1,40.6466666666667,39.0066666666667,19.1,3.78333333333333,0.796666666666667
"51",30,5,45.3371428571431,30,3.734,10.396,2.4,18.2,47.7,25.5,6.2,13.83,24.5666666666667,36.82,20.0033333333333,8.11333333333333
"52",20,1,45.0714285714288,30,4.366,12.35,90,9.4,0.6,0,0,85.7833333333333,13.96,2.96,0.596666666666666,0.0333333333333333
"53",20,3,44.7591428571431,30,3.053,8.969,37.7,47.1,13.9,1.2,0.1,51.6333333333333,35.1133333333333,13.7866666666667,2.41,0.39
"54",20,5,44.6371428571431,30,2.192,7.157,3.6,22.8,45.6,22.3,5.7,19.8933333333333,26.6633333333333,33.8466666666667,16.74,6.19
