"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,144.397142857139,100,29.65,48.61,39,60,1,0,0,40.46,52.63,7.01,0.79,0.11
"2",30,3,145.525714285711,100,26.37,42.93,0,14,82,4,0,6.38,23.18,61.24,9.15,1.05
"3",30,5,146.797142857139,100,23.1,42.21,0,0,0,29,71,1.8,2.98,7.93,34.17,54.12
"4",20,1,144.764285714282,100,19.41,37.78,54,46,0,0,0,56.82,38.96,4.38,0.66,0.18
"5",20,3,147.664285714282,100,16.54,32.87,0,22,76,2,0,9.1,26.6,58.36,6.13,0.81
"6",20,5,143.499999999996,100,15.03,31.53,0,0,0,41,59,2.08,3.42,13.24,33.49,48.77
"7",30,1,148.299999999996,100,32.72,38.4,5,57,37,1,0,13.65,49.54,34.94,2.54,0.33
"8",30,3,146.027142857139,100,31.93,35.17,0,1,39,59,1,3.29,7.64,36.61,44.65,8.81
"9",30,5,147.888571428568,100,25.18,30.53,0,0,0,3,97,1.49,1.6,3.78,10.5,83.63
"10",20,1,145.574285714282,100,22.01,29.02,5,61,34,0,0,19.29,50.01,29.52,1.91,0.27
"11",20,3,145.369999999996,100,21.61,25.9,0,0,28,60,12,3.45,7.34,32.57,43.04,14.6
"12",20,5,145.537142857139,100,16.94,21,0,0,0,3,97,1.8,1.85,4.19,10.32,82.84
"13",30,1,146.289999999997,100,26.42,61.37,96,4,0,0,0,88.73,9.7,1.9,0.43,0.24
"14",30,3,145.611428571426,100,21.14,51.32,20,67,13,0,0,26.34,56.12,16.8,1.38,0.36
"15",30,5,145.082857142853,100,18.06,47.1,0,4,59,37,0,3.77,12.17,50.84,30.75,3.47
"16",20,1,144.62714285714,100,18.15,51.48,100,0,0,0,0,94.17,5.65,1.04,0.12,0.02
"17",20,3,148.372857142854,100,13.79,39.46,22,74,4,0,0,33.12,57.05,9.88,0.77,0.18
"18",20,5,145.52571428571,100,11.09,35.03,0,8,62,30,0,5.78,16.45,50.95,24.23,3.59
"19",30,1,88.0285714285705,60,16.13,28.36,36,61,3,0,0,41.3833333333333,49.0333333333333,9.41666666666667,1.53333333333333,0.3
"20",30,3,87.3285714285706,60,14.23,24.03,0,24,67,9,0,10.8,26.45,50.7666666666667,11.7166666666667,1.93333333333333
"21",30,5,87.8071428571422,60,11.76,22.46,0,0,8,43,49,3.7,5.53333333333333,18.85,36.7333333333333,36.85
"22",20,1,88.5914285714281,60,10.6,21.71,59,41,0,0,0,62.8,35.1833333333333,3.38333333333333,0.216666666666667,0.0833333333333333
"23",20,3,87.1928571428563,60,9.19,17.95,0,22,73,5,0,12,31.7333333333333,48.1666666666667,8.71666666666667,1.05
"24",20,5,89.0085714285709,60,7.76,16.26,0,1,9,41,49,5.61666666666667,8.06666666666667,18.6166666666667,32.5666666666667,36.8
"25",30,1,87.6128571428564,60,18.39,21.47,8,57,35,0,0,19.8333333333333,49.7,27.6333333333333,3.9,0.6
"26",30,3,88.5928571428561,60,16.94,19.96,0,2,33,56,9,4.38333333333333,10.85,31.85,40.2,14.3833333333333
"27",30,5,89.0685714285707,60,13.72,16.59,0,0,1,7,92,2.41666666666667,2.88333333333333,7.26666666666667,16.3,72.8
"28",20,1,87.3099999999993,60,12.24,15.78,9,53,38,0,0,23.9666666666667,47.8666666666667,26.8333333333333,2.58333333333333,0.416666666666667
"29",20,3,87.1214285714279,60,11.17,14.07,0,2,32,49,17,6.2,13.65,28.1,36.7333333333333,16.9833333333333
"30",20,5,88.6771428571423,60,8.65,10.49,0,0,1,4,95,3.21666666666667,4.35,9.95,18.9333333333333,65.2166666666667
"31",30,1,86.9428571428566,60,14.98,35.53,89,11,0,0,0,78.0666666666667,19.6666666666667,2.88333333333333,0.9,0.15
"32",30,3,87.0928571428564,60,11.66,28.88,21,66,13,0,0,29.3666666666667,52.9,16.9,2,0.5
"33",30,5,88.8799999999991,60,9.69,25.92,0,7,58,35,0,7.1,18.4166666666667,47.7,24.5833333333333,3.86666666666667
"34",20,1,88.3242857142851,60,10.36,28.03,97,3,0,0,0,91.25,9.15,1.06666666666667,0.2,0
"35",20,3,87.1099999999997,60,7.4,21.72,35,54,11,0,0,46.2333333333333,40.0333333333333,12.95,2.21666666666667,0.233333333333333
"36",20,5,87.2928571428567,60,6.01,18.7,0,14,55,29,2,10.25,19.0166666666667,47.8,21.0666666666667,3.53333333333333
"37",30,1,43.9128571428575,30,6.86,12.03,47,44,9,0,0,53.3333333333333,34.7,12.8666666666667,1.9,0.533333333333333
"38",30,3,44.5800000000003,30,5.27,9.94,6,32,46,15,1,19.9,31.1666666666667,35.7,12.5,4.06666666666667
"39",30,5,45.3185714285716,30,4.51,8.43,0,7,21,34,38,8.5,13.7333333333333,23.5666666666667,29.6666666666667,27.8666666666667
"40",20,1,44.3385714285717,30,4.33,9.18,61,34,5,0,0,64.1,30.5666666666667,7.7,0.8,0.166666666666667
"41",20,3,44.5228571428575,30,3.35,6.9,7,32,51,7,3,27.3666666666667,31.9,30.8,10.7333333333333,2.53333333333333
"42",20,5,45.1257142857146,30,2.61,5.85,0,5,21,34,40,9.86666666666667,13.9333333333333,25.9666666666667,25.5,28.0666666666667
"43",30,1,44.9214285714289,30,7.82,9.26,12,45,39,4,0,27.8,35.2333333333333,30.8,8.03333333333333,1.46666666666667
"44",30,3,45.1928571428575,30,6.5,7.48,0,6,42,39,13,10.6,17.9333333333333,33.7666666666667,27.9,13.1333333333333
"45",30,5,44.7800000000003,30,5.28,6.08,0,1,5,14,80,5.63333333333333,6.76666666666667,12.8,22.3,55.8333333333333
"46",20,1,43.844285714286,30,4.99,6.24,23,41,32,4,0,35.3666666666667,38.6666666666667,24.8,4.03333333333333,0.466666666666667
"47",20,3,44.9771428571432,30,4.12,5.16,0,11,29,41,19,12.9333333333333,18.6333333333333,31.7,23.8333333333333,16.2333333333333
"48",20,5,44.2514285714289,30,3.01,3.87,0,1,3,18,78,5.66666666666667,7.93333333333333,15.7,23.2,50.8333333333333
"49",30,1,43.9785714285717,30,6.47,15.57,76,24,0,0,0,69.4666666666667,24.5666666666667,7.1,1.63333333333333,0.566666666666667
"50",30,3,44.1685714285718,30,4.82,12.01,34,45,19,2,0,43.4666666666667,35.9666666666667,19.6,3.76666666666667,0.533333333333333
"51",30,5,46.3742857142859,30,3.68,10.34,2,19,47,23,9,13.3,24.3666666666667,36.2,19.9333333333333,9.53333333333333
"52",20,1,46.0328571428575,30,4.24,12.31,86,12,2,0,0,81.2666666666667,18.3666666666667,3,0.633333333333333,0.0666666666666667
"53",20,3,44.9471428571432,30,3.03,9.04,40,42,15,3,0,52.9333333333333,33.3666666666667,14.1666666666667,2.23333333333333,0.633333333333333
"54",20,5,45.0200000000001,30,2.21,7.47,2,27,42,22,7,19.4,26.2333333333333,31.7,18.4333333333333,7.56666666666667
