"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,143.816142857141,100,28.912,48.043,82.2,15.5,2.3,0,0,75.555,15.748,6.489,2.79,0.418
"2",30,3,143.835142857141,100,23.348,40.123,7.1,47.7,40.1,4.7,0.4,19.987,40.485,29.548,8.741,2.239
"3",30,5,144.019857142855,100,20.616,37.313,0,0.4,13.8,60.9,24.9,3.218,8.666,25.208,41.637,22.271
"4",20,1,143.587285714284,100,18.243,36.689,97.3,2.6,0.1,0,0,97.002,2.579,0.678,0.621,0.12
"5",20,3,143.597857142855,100,12.511,25.878,16.4,66.7,16.4,0.5,0,46.991,44.752,8.058,0.903,0.296
"6",20,5,145.206142857141,100,10.979,23.716,0,2.4,32.2,49.2,16.2,14,18.905,31.497,26.199,10.399
"7",30,1,144.125999999998,100,28.693,33.7,68.4,31.1,0.5,0,0,66.713,28.053,4.352,1.61,0.272
"8",30,3,144.70957142857,100,24.591,28.901,1.8,26,66.5,5.7,0,11.448,31.798,46.697,9.109,1.948
"9",30,5,144.529285714284,100,21.845,26.629,0,0.1,5.3,45.9,48.7,2.459,6.494,17.603,39.057,35.387
"10",20,1,144.632999999998,100,18.545,23.092,82.2,17.7,0.1,0,0,86.965,13.172,0.654,0.191,0.018
"11",20,3,143.048285714284,100,14.485,18.111,2.7,34.6,54.7,7.9,0.1,24.632,37.698,31.972,5.865,0.833
"12",20,5,144.541428571427,100,12.952,16.703,0,0.3,7.9,41.1,50.7,8.748,10.384,19.02,33.102,29.746
"13",30,1,144.057714285712,100,29.065,62.744,70.7,21.6,7.5,0.2,0,67.636,18.717,10.477,3.598,0.572
"14",30,3,143.867142857141,100,23.648,53.826,19.7,38.8,29.9,11.1,0.5,30.261,30.912,23.207,13.361,3.259
"15",30,5,144.697714285712,100,19.768,50.188,0.1,3.2,24.7,44.7,27.3,5.281,12.997,25.825,32.974,23.923
"16",20,1,143.772857142855,100,18.744,51.091,93.7,5.8,0.5,0,0,93.245,3.853,1.888,1.624,0.39
"17",20,3,144.000428571427,100,12.316,35.832,67,30.9,2.1,0,0,79.854,17.36,2.047,1.219,0.52
"18",20,5,144.237714285713,100,8.798,28.592,1.5,26,53.9,14.4,4.2,24.723,37.342,28.477,7.35,3.108
"19",30,1,86.9384285714286,60,16.546,27.54,75.9,18.8,4.7,0.6,0,71.4083333333333,16.4616666666666,8.41166666666667,4.49333333333333,0.891666666666667
"20",30,3,86.9114285714285,60,13.156,22.549,13,45.2,32.1,9.3,0.4,25.5266666666667,36.2166666666667,23.895,11.735,4.29333333333333
"21",30,5,87.0644285714285,60,10.503,19.898,0.3,3.8,26.4,39.6,29.9,5.95166666666667,14.1116666666667,29.0016666666667,30.485,22.1166666666667
"22",20,1,86.9265714285713,60,10.019,20.643,95.1,4.5,0.4,0,0,96.45,2.77333333333333,1.28,1,0.163333333333333
"23",20,3,87.3555714285713,60,6.797,13.817,35.3,56.1,8.3,0.1,0.2,64.8,31.0116666666667,4.41,1.015,0.43
"24",20,5,87.5114285714285,60,5.079,11.407,1,17.3,37.4,31.7,12.6,24.83,27.1583333333333,26.7866666666667,16.27,6.62166666666666
"25",30,1,87.1514285714285,60,16.197,19.319,65.7,31.1,2.8,0.4,0,65.02,25.69,7.26333333333333,3.035,0.658333333333334
"26",30,3,87.3988571428571,60,13.241,16.109,3.9,32.1,53.8,9.2,1,16.885,34.3216666666667,35.7233333333333,11.4883333333333,3.24833333333333
"27",30,5,87.1094285714285,60,11.027,13.939,0.1,0.4,12.1,44.2,43.2,4.22333333333334,10.0266666666667,23.6966666666667,35.94,27.78
"28",20,1,87.6254285714285,60,10.287,12.675,79.9,19.7,0.3,0.1,0,88.5683333333333,11.7816666666667,0.875,0.393333333333333,0.0483333333333334
"29",20,3,87.1914285714286,60,7.376,9.171,8.9,46.5,38.6,5.3,0.7,39.6466666666667,38.3416666666667,18.655,4.03833333333333,0.985000000000001
"30",20,5,86.8167142857142,60,6.001,7.986,0,2.3,21.9,42.5,33.3,16.11,17.1366666666667,24.4516666666667,26.0633333333334,17.905
"31",30,1,86.5995714285714,60,16.418,36.844,60.4,24.1,13.4,2.1,0,61.3283333333333,18.425,13.835,6.675,1.40333333333333
"32",30,3,86.9501428571427,60,13.433,30.691,23.4,34.9,26.4,13.5,1.8,35.65,25.99,19.4183333333333,15.1616666666667,5.44666666666667
"33",30,5,87.0844285714284,60,10.282,26.527,0.9,9.8,31.1,33.3,24.9,8.38833333333333,20.1916666666667,27.935,24.785,20.3666666666667
"34",20,1,86.726,60,10.351,29.034,92.7,5.3,1.6,0.4,0,92.8583333333333,3.17833333333333,2.51833333333333,2.455,0.656666666666667
"35",20,3,87.0334285714286,60,6.591,20.12,78.2,20.5,0.9,0.3,0.1,87.9583333333333,9.39666666666666,1.82333333333333,1.79333333333333,0.695
"36",20,5,87.2934285714284,60,4.445,14.217,8.4,51.4,30.6,7,2.6,42.9133333333333,37.6566666666667,13.945,4.94,2.21166666666667
"37",30,1,44.0924285714287,30,7.037,12.092,75,14.1,4.8,4.8,1.3,68.72,14.8166666666667,11.11,7.56,1.12666666666667
"38",30,3,44.055142857143,30,5.271,9.391,28.4,36.7,17,12.1,5.8,37.43,29.2666666666667,19.05,12.9566666666667,4.63
"39",30,5,44.2637142857144,30,3.867,7.215,2.7,15.4,32.7,27.8,21.4,12.72,23.3633333333333,29.69,22.9966666666667,14.5633333333333
"40",20,1,44.1274285714287,30,4.109,8.533,96.1,2,0.2,1,0.7,96.84,1.89666666666667,2.14,1.99,0.466666666666667
"41",20,3,44.106142857143,30,2.479,5.321,67,27.9,2.8,0.7,1.6,85.15,13.1033333333333,2.93333333333333,1.66333333333333,0.483333333333333
"42",20,5,44.2080000000001,30,1.575,3.59,14.3,43.6,24.3,10.4,7.4,54.1433333333333,28.4733333333333,11.2866666666667,6.39333333333333,3.03666666666667
"43",30,1,44.1882857142859,30,6.907,8.296,68.3,21.2,5.8,4.2,0.5,65.0966666666667,20.7966666666667,10.5833333333333,5.85,1.00666666666667
"44",30,3,44.406142857143,30,5.127,6.249,15,36.5,30.9,13.3,4.3,28.1533333333333,34.3533333333333,25.6366666666667,11.4166666666667,3.77333333333333
"45",30,5,43.6590000000001,30,3.865,4.86,1.1,6.2,27.6,37.8,27.3,9.96666666666666,19.5233333333333,29.94,25.9266666666667,17.9766666666667
"46",20,1,44.1247142857144,30,4.015,5.177,87.8,11.5,0.3,0.3,0.1,95.8366666666667,5.67,1.17333333333333,0.57,0.0833333333333333
"47",20,3,44.7758571428573,30,2.545,3.335,36.6,43.3,13.7,4.8,1.6,69.4366666666667,23.97,6.64,2.50333333333333,0.783333333333333
"48",20,5,44.387142857143,30,1.802,2.353,5.3,30.2,31.3,20.5,12.7,41.14,28.1966666666667,17.9366666666667,10.24,5.82
"49",30,1,44.721142857143,30,7.079,16.583,65.6,15.1,12.1,5.6,1.6,63.8166666666667,13.9966666666667,13.3533333333333,9.87333333333333,2.29333333333333
"50",30,3,44.4071428571429,30,5.578,13.281,36.7,28.7,14.4,12.8,7.4,41.7266666666667,21.8833333333333,17.4033333333333,15.6966666666667,6.62333333333333
"51",30,5,44.1912857142859,30,3.951,10.569,6.2,22.2,26.6,21.5,23.5,16.44,23.7266666666667,24.7366666666667,21.7666666666667,16.6633333333333
"52",20,1,44.5165714285716,30,4.29,12.489,92.2,2,1.8,2.8,1.2,93.3933333333333,1.96,3.69,3.62,0.67
"53",20,3,44.2060000000001,30,2.665,8.227,88.6,7.1,0.4,1.9,2,92.51,3.80333333333333,2.95666666666667,3.27666666666667,0.786666666666667
"54",20,5,44.4874285714287,30,1.567,5.123,42.1,43.5,6.5,2.9,5,73.2766666666667,20.2033333333333,5.08333333333333,3.25666666666667,1.51333333333333
