"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,142.97714285714,100,28.65,47.56,84,14,2,0,0,80.16,12.36,6.16,1.99,0.33
"2",30,3,143.179999999997,100,23.61,40.36,5,44,44,6,1,13.93,42.11,33.9,8.68,2.38
"3",30,5,143.93857142857,100,20.48,38.09,0,0,12,62,26,3.36,8.68,24.1,40.33,24.53
"4",20,1,142.459999999998,100,18.7,36.06,99,1,0,0,0,97.16,2.22,0.71,0.75,0.16
"5",20,3,144.494285714283,100,12.88,25.78,19,63,18,0,0,43.73,47.18,9.39,0.57,0.13
"6",20,5,146.759999999998,100,11.08,23.82,0,4,36,41,19,14.01,19.31,32.31,23.82,11.55
"7",30,1,144.494285714284,100,28.85,33.22,77,23,0,0,0,71.25,25.26,3.36,1,0.13
"8",30,3,142.937142857141,100,24.83,28.07,3,26,63,8,0,13.78,29.1,47.12,9.13,1.87
"9",30,5,144.644285714284,100,21.93,27.16,0,0,2,46,52,1.83,5.63,14.53,39.77,39.24
"10",20,1,144.479999999999,100,18.31,23.13,82,18,0,0,0,86.21,13.84,0.78,0.17,0
"11",20,3,145.792857142855,100,14.87,17.81,2,38,54,5,1,25.05,40.3,28.62,5.82,1.21
"12",20,5,143.014285714284,100,12.48,16.36,0,1,11,36,52,10.1,11.16,20.2,33.68,25.86
"13",30,1,143.084285714284,100,29.2,62.35,71,21,8,0,0,68.32,17.05,11.7,3.24,0.69
"14",30,3,142.191428571427,100,24.46,56.25,15,36,32,15,2,22.37,28.89,27.52,16.35,5.87
"15",30,5,147.458571428569,100,20.01,51.27,0,2,25,43,30,4.3,11.2,25.45,33.04,27.01
"16",20,1,142.668571428569,100,18.79,51.13,95,4,1,0,0,92.83,4.35,1.88,1.63,0.31
"17",20,3,143.845714285713,100,12.15,35.84,66,31,3,0,0,77.51,19.47,2.58,0.93,0.51
"18",20,5,143.732857142856,100,9.15,29.46,0,22,55,19,4,23.28,33.52,29.19,10.97,4.04
"19",30,1,85.25,60,16.41,27.57,76,19,5,0,0,71.7,16.3833333333333,9.1,3.76666666666667,0.716666666666667
"20",30,3,86.5357142857144,60,13.12,22.04,14,46,33,7,0,27.35,36.3,24.95,9.91666666666667,3.15
"21",30,5,87.5871428571429,60,10.48,19.56,2,4,30,38,26,7.63333333333333,15.05,29.75,25.2166666666667,24.0166666666667
"22",20,1,86.9214285714286,60,10.2,21.01,98,2,0,0,0,98.0666666666667,1.58333333333333,0.966666666666667,0.966666666666667,0.0833333333333333
"23",20,3,85.2242857142857,60,7.05,13.02,31,58,11,0,0,62.65,32.65,5.06666666666667,1,0.3
"24",20,5,87.8557142857141,60,5.06,11.51,2,20,35,30,13,28.1666666666667,26.4666666666667,22,17.6333333333333,7.4
"25",30,1,87.3071428571427,60,16.48,19.11,69,31,0,0,0,68.35,24.7166666666667,5.81666666666667,2.51666666666667,0.266666666666667
"26",30,3,85.9214285714285,60,13,15.78,5,38,49,7,1,18.6333333333333,37,34.2833333333333,8.78333333333333,2.96666666666667
"27",30,5,86.9128571428574,60,10.57,13.66,0,0,10,47,43,3.95,10.2333333333333,23.5166666666667,37.2,26.7666666666667
"28",20,1,86.9457142857141,60,10.85,11.87,83,17,0,0,0,90.2833333333333,10.55,0.55,0.216666666666667,0.0666666666666667
"29",20,3,87.7685714285714,60,7.04,9.51,5,48,42,4,1,37.7333333333333,40.7,19.6,3.01666666666667,0.616666666666667
"30",20,5,86.9228571428569,60,5.75,8.23,0,1,17,43,39,14.8166666666667,16.3333333333333,23.7166666666667,28.4666666666667,18.3333333333333
"31",30,1,86.6099999999998,60,16.39,36.86,62,24,12,2,0,63.9166666666667,18.1333333333333,11.3666666666667,6.46666666666667,1.78333333333333
"32",30,3,86.4,60,12.99,30.38,25,36,23,14,2,40.9833333333333,23.5166666666667,16.95,15.65,4.56666666666667
"33",30,5,88.1899999999999,60,10.29,25.01,1,13,35,32,19,10.4,24.85,27.5,23.85,15.0666666666667
"34",20,1,85.9085714285715,60,9.87,29,89,10,1,0,0,92.2833333333333,3.2,2.66666666666667,2.68333333333333,0.833333333333333
"35",20,3,85.5314285714285,60,6.53,19.4,72,25,3,0,0,86.8833333333333,10.4666666666667,1.93333333333333,1.96666666666667,0.416666666666667
"36",20,5,85.9457142857142,60,4.55,14.06,8,54,27,6,5,44.4166666666667,37.45,12.1666666666667,4.96666666666667,2.66666666666667
"37",30,1,42.5085714285715,30,6.88,11.86,78,10,8,4,0,70.8666666666667,14.5333333333333,11.3333333333333,6.13333333333333,0.466666666666667
"38",30,3,44.8042857142858,30,5.66,10.32,18,42,24,13,3,29.6666666666667,31.2333333333333,22.2,15.4666666666667,4.76666666666667
"39",30,5,42.5771428571429,30,3.92,7.16,3,14,38,22,23,13.5333333333333,24.6,28.9,20.8333333333333,15.4666666666667
"40",20,1,44.0300000000002,30,3.98,8.78,98,0,2,0,0,96.9333333333333,1.5,2.8,1.9,0.2
"41",20,3,43.3114285714286,30,2.78,5.03,63,30,5,0,2,81.5333333333333,15.4333333333333,4.36666666666667,1.53333333333333,0.466666666666667
"42",20,5,45.0442857142858,30,1.71,3.57,19,37,26,9,9,54.9666666666667,28.5,11.3333333333333,5.86666666666667,2.66666666666667
"43",30,1,42.7257142857144,30,6.68,8.22,76,14,4,5,1,69.9333333333333,17.5,9.33333333333333,5.33333333333333,1.23333333333333
"44",30,3,44.7228571428572,30,5.09,6.21,18,33,27,19,3,28.6333333333333,33.7666666666667,23.8,13.2333333333333,3.9
"45",30,5,43.1614285714287,30,4.19,4.84,1,7,28,43,21,10.1,19.3666666666667,27.9,27.8333333333333,18.1333333333333
"46",20,1,44.1157142857144,30,4.29,5.17,92,8,0,0,0,97.2666666666667,5.16666666666667,0.533333333333333,0.266666666666667,0.1
"47",20,3,43.9600000000001,30,2.41,3.14,30,53,12,5,0,69.3,27,5.2,1.43333333333333,0.4
"48",20,5,45.3457142857145,30,1.89,2.32,11,36,24,22,7,45.1,29.1666666666667,16.1333333333333,8.2,4.73333333333333
"49",30,1,45.5700000000001,30,7.37,16.63,70,15,7,5,3,66.5333333333333,13.6,11.5666666666667,8.96666666666667,2.66666666666667
"50",30,3,44.5528571428572,30,5.68,12.83,40,29,12,14,5,46.2,22.1333333333333,15.3666666666667,14.7,4.93333333333333
"51",30,5,44.4900000000001,30,4.01,11.23,5,17,33,19,26,13.2333333333333,21.4,26.7333333333333,25.0333333333333,16.9333333333333
"52",20,1,43.797142857143,30,4.22,12.63,91,2,1,5,1,93.7333333333333,1.66666666666667,4,3.53333333333333,0.4
"53",20,3,42.7900000000001,30,2.63,7.47,81,12,1,2,4,91.8333333333333,5.56666666666667,2.66666666666667,2.63333333333333,0.633333333333333
"54",20,5,44.3585714285716,30,1.67,5.14,46,43,6,1,4,75.2333333333333,20.1666666666667,4.26666666666667,2.5,1.16666666666667
