"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,145.769571428568,100,31.199,50.877,33.5,61.1,5.4,0,0,32.658,49.743,13.876,3.579,1.144
"2",30,3,145.923571428568,100,28.159,46.593,0.3,9.6,69.6,19.8,0.7,3.159,15.08,51.658,24.26,6.843
"3",30,5,146.578714285711,100,24.762,43.08,0,0,0.9,26.6,72.5,0.889,1.534,5.889,26.773,65.915
"4",20,1,144.468571428568,100,19.616,39.267,55.6,43.2,1.2,0,0,54.462,40.9,4.552,0.854,0.232
"5",20,3,145.783571428568,100,17.379,34.937,0.5,19,68.3,11.5,0.7,7.032,25.064,50.176,14.991,3.737
"6",20,5,145.657999999997,100,15.395,32.064,0,0,2.7,37.4,59.9,2.093,3.389,10.193,34.574,50.751
"7",30,1,145.388285714282,100,33.624,38.424,10.8,68.1,21.1,0,0,13.932,51.628,29.568,4.345,1.527
"8",30,3,144.858142857139,100,31.168,35.372,0,1.8,55.3,41.5,1.4,1.688,6.042,41.987,39.794,11.489
"9",30,5,145.500285714282,100,25.386,30.346,0,0,0,10.4,89.6,0.834,1.162,3.187,14.205,81.612
"10",20,1,145.652857142854,100,22.307,27.569,17.1,68,14.9,0,0,23.358,52.477,21.537,2.767,0.861
"11",20,3,145.498285714282,100,20.509,24.984,0,3.5,56.8,36.2,3.5,3.98,9.202,43.002,34.33,10.486
"12",20,5,145.335857142854,100,16.342,20.867,0,0,0,11.6,88.4,1.526,1.956,4.267,16.13,77.121
"13",30,1,145.730142857139,100,29.668,64.101,51.5,39.8,8.6,0.1,0,46.718,35.454,13.746,3.944,1.138
"14",30,3,145.899285714282,100,26.963,58.701,1.2,27.8,53.2,16.7,1.1,5.465,27.329,42.229,19.254,6.723
"15",30,5,145.542142857139,100,23.018,55.625,0,0,5.6,39.4,55,1.29,2.707,13.701,35.365,47.937
"16",20,1,145.783428571425,100,18.812,51.538,88.7,11,0.3,0,0,83.689,14.438,1.943,0.734,0.196
"17",20,3,145.197285714282,100,14.816,42.379,8.6,59.9,28.5,2.9,0.1,20.649,51.663,22.948,4.329,1.411
