"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,146.559999999996,100,32.04,51.51,30,65,5,0,0,28.97,50.61,15.64,4.85,0.93
"2",30,3,145.757142857139,100,28.41,47.29,0,7,69,24,0,2.38,11.93,51.37,27.74,7.58
"3",30,5,146.982857142854,100,24.83,42.46,0,0,0,29,71,0.87,1.86,5.58,28.45,64.24
"4",20,1,145.811428571425,100,20.84,39.76,58,41,1,0,0,53.08,40.62,5.66,1.2,0.44
"5",20,3,144.641428571425,100,17.9,35.13,1,18,65,15,1,6.6,23.41,48.35,18.53,4.11
"6",20,5,145.047142857139,100,15.25,32.75,0,0,0,34,66,1.67,2.72,7.89,31.6,57.12
"7",30,1,144.711428571425,100,33.54,38.56,9,62,29,0,0,12.93,48.63,32.89,4.82,1.73
"8",30,3,146.059999999996,100,30.95,35.29,0,1,59,39,1,1.74,5.93,44.62,38.04,10.67
"9",30,5,146.44714285714,100,25.33,29.8,0,0,0,11,89,0.89,1.26,2.63,16.23,79.99
"10",20,1,145.458571428568,100,22.2,27.64,15,67,18,0,0,21.42,51.72,24.17,3.12,0.57
"11",20,3,146.454285714282,100,20.62,24.6,0,6,62,32,0,4.67,9.87,48.02,32.81,5.63
"12",20,5,143.692857142854,100,16.64,21.36,0,0,0,4,96,1.43,1.87,3.67,12.32,81.71
"13",30,1,146.018571428567,100,29.58,63.69,52,38,10,0,0,48.61,34.31,13.65,3.43,1
"14",30,3,146.744285714282,100,26.96,58.88,0,27,52,19,2,4.78,28.15,41.67,19.04,7.36
"15",30,5,144.49714285714,100,23.04,56.05,0,0,2,39,59,1.38,2.33,9.7,37.18,50.41
"16",20,1,144.622857142853,100,19.2,50.82,89,11,0,0,0,82.58,16.09,1.7,0.54,0.09
"17",20,3,145.045714285711,100,14.77,42.03,10,58,31,1,0,20.5,51.58,22.92,4.76,1.24
"18",20,5,146.532857142854,100,12.31,40.18,0,0,22,43,35,3.84,9.74,29.31,35.29,22.82
"19",30,1,90.5428571428563,60,18,30.79,36,43,20,1,0,34.5833333333333,34.6833333333333,22.1666666666667,7.51666666666667,2.71666666666667
"20",30,3,87.3442857142854,60,15.85,27.67,0,8,56,33,3,3.6,12.3333333333333,40.05,31.75,13.9333333333333
"21",30,5,86.5328571428568,60,13.77,23.64,0,0,8,21,71,1.66666666666667,2.91666666666667,9.8,24.6833333333333,62.6
"22",20,1,87.6757142857137,60,10.8,22.35,60,40,0,0,0,58.9833333333333,35.8666666666667,5.35,1.21666666666667,0.25
"23",20,3,86.4085714285708,60,9.41,18.35,1,36,51,11,1,14.1666666666667,34.1833333333333,36.9666666666667,12.5833333333333,3.76666666666667
"24",20,5,87.9785714285709,60,8.26,16.78,0,0,10,34,56,4.43333333333333,6.21666666666667,13.5666666666667,32.2833333333333,45.1666666666667
"25",30,1,87.6685714285708,60,19.17,21.92,8,61,31,0,0,15.3833333333333,44.2833333333333,32.35,6.71666666666667,2.93333333333333
"26",30,3,88.1028571428564,60,17.59,19.63,0,3,46,45,6,3.18333333333333,7.63333333333333,36.5666666666667,36.7833333333333,17.5
"27",30,5,90.4114285714279,60,14.08,16.04,0,0,1,17,82,1.41666666666667,2.23333333333333,5.95,19.2333333333333,72.8333333333333
"28",20,1,88.2557142857136,60,12.39,15.37,16,56,26,2,0,25.4666666666667,44.5333333333333,24.7333333333333,4.98333333333333,1.95
"29",20,3,87.4728571428564,60,11.07,13.38,0,4,43,46,7,6.35,12.3333333333333,35.7666666666667,33.0166666666667,14.2
"30",20,5,87.2771428571424,60,8.93,10.88,0,0,2,19,79,2.13333333333333,3.76666666666667,8.36666666666667,19.1,68.3
"31",30,1,87.6285714285705,60,17.3,37.1,43,43,12,2,0,38.95,36.7833333333333,16.95,7.26666666666667,1.71666666666667
"32",30,3,84.9057142857139,60,15.31,33.43,5,27,49,18,1,10.3166666666667,24.75,38.8,18.0666666666667,9.73333333333333
"33",30,5,86.7599999999994,60,12.51,30.76,0,1,9,38,52,2.05,5.11666666666667,16.9833333333333,30.1166666666667,47.4
"34",20,1,86.6328571428567,60,10.2,29.91,86,14,0,0,0,81.4,16.15,2.81666666666667,0.933333333333333,0.366666666666667
"35",20,3,88.2657142857139,60,8.06,23.42,18,56,23,3,0,31.3333333333333,42.45,20.1333333333333,5.45,2.3
"36",20,5,87.1957142857136,60,7.06,21.16,0,4,43,41,12,6,14.4666666666667,35.65,29.2333333333333,16.3166666666667
"37",30,1,46.1028571428573,30,7.9,13.41,30,49,19,2,0,33.3333333333333,37.6666666666667,21.6,7.36666666666667,3.36666666666667
"38",30,3,46.0185714285717,30,6.95,11.54,1,14,46,33,6,7.56666666666667,16.8333333333333,36.0666666666667,28.1,14.7666666666667
"39",30,5,45.1785714285717,30,4.99,9.35,0,0,4,32,64,3.76666666666667,5.63333333333333,14.3666666666667,26.6333333333333,52.9333333333333
"40",20,1,44.6657142857145,30,4.25,9.5,54,36,9,0,1,59.9666666666667,32.4666666666667,8.3,1.83333333333333,0.766666666666667
"41",20,3,43.9200000000003,30,3.77,7.09,9,44,33,9,5,26.6,35.8,24.8333333333333,10.9666666666667,5.13333333333333
"42",20,5,44.3800000000002,30,2.95,5.85,1,7,18,33,41,11.4333333333333,14.2666666666667,23.3333333333333,25.3666666666667,28.9333333333333
"43",30,1,44.2514285714288,30,8.45,9.65,10,46,41,2,1,20.0666666666667,33.6,33.7666666666667,11.4333333333333,4.46666666666667
"44",30,3,45.0900000000003,30,6.99,8.67,1,8,33,37,21,6.4,11.9333333333333,30.2,29.8,25
"45",30,5,43.1414285714291,30,5.12,7.03,0,0,1,16,83,2.2,3.66666666666667,9.93333333333333,19.4,68.1333333333333
"46",20,1,46.4600000000003,30,5.45,6.15,19,49,27,5,0,37.7666666666667,34.3666666666667,21.7,7.3,2.2
