"","dlttarget","situation","targetdose","truedrprob_targetdose","truedltprob_targetdose","n","dr_bias","dlt_bias","dr_variance","dlt_variance"
"1",20,"higherDR",1,38.3,13.1,10,-0.0274827633164973,0.00162518030786915,0.0287741383081462,0.00966573798142651
"2",20,"higherDR",1,38.3,13.1,20,-0.0719774156438548,-0.0151335368251175,0.016965825816034,0.00564953882061671
"3",20,"higherDR",1,38.3,13.1,30,-0.0867353078677995,-0.0223141867796499,0.0114201590146677,0.00360961178757588
"4",20,"higherDR",1,38.3,13.1,40,-0.0954421847892247,-0.0262892880638197,0.00872562029173238,0.00242252265729163
"5",20,"higherDR",1,38.3,13.1,50,-0.0979440854030654,-0.026333555956451,0.00726504747053644,0.00208181085655133
"6",20,"higherDR",1,38.3,13.1,60,-0.0981411188031,-0.0286554144076737,0.00631123517511844,0.00176843210694041
"7",20,"higherDR",1,38.3,13.1,70,-0.097998683714008,-0.0296063702768805,0.00581572374672391,0.00153160353528624
"8",20,"higherDR",1,38.3,13.1,80,-0.0985993622689221,-0.0306242426471901,0.00532971009560155,0.00136995897286581
"9",20,"higherDR",1,38.3,13.1,90,-0.0982955914802889,-0.031119104682779,0.00501233279492301,0.00126952881499455
"10",20,"higherDR",1,38.3,13.1,100,-0.099108068286287,-0.0316748710815259,0.00476064555016516,0.00118192073790105
"11",20,"higherDR",1,55,20.4,10,-0.0793798042504509,-0.00510890801157019,0.0351352230851932,0.0204364184401837
"12",20,"higherDR",1,55,20.4,20,-0.0836367159494745,0.00068255846446482,0.0196189579431614,0.0120720464908117
"13",20,"higherDR",1,55,20.4,30,-0.0879689580895106,-0.00533012932469606,0.01263398800578,0.00629414274451736
"14",20,"higherDR",1,55,20.4,40,-0.0870002398304098,-0.0107890302503838,0.00886511913490211,0.00443182924059824
"15",20,"higherDR",1,55,20.4,50,-0.078671266886231,-0.00895983616832474,0.00733341090817886,0.00343109405055272
"16",20,"higherDR",1,55,20.4,60,-0.0727483362353741,-0.00892361354482965,0.00595575067850482,0.00297377467970766
"17",20,"higherDR",1,55,20.4,70,-0.0679577854688192,-0.00800336293025091,0.00522177457779384,0.00252209419293118
"18",20,"higherDR",1,55,20.4,80,-0.0634274997552209,-0.00825009442045584,0.00452018942422019,0.00216821583618686
"19",20,"higherDR",1,55,20.4,90,-0.0586984313332711,-0.00821414542749024,0.00392030639940045,0.0018808278039452
"20",20,"higherDR",1,55,20.4,100,-0.0560802692829265,-0.00829766664064334,0.00353916299325745,0.00173049580119525
"21",20,"higherDR",3,38.1,12.1,10,0.112503378346923,0.057400621205162,0.0314204416473471,0.0107925971325666
"22",20,"higherDR",3,38.1,12.1,20,0.0619132072989394,0.0253955962368522,0.0241826687393023,0.006837250635685
"23",20,"higherDR",3,38.1,12.1,30,0.0464756908171617,0.0161368961232778,0.017345352553992,0.0051132117098779
"24",20,"higherDR",3,38.1,12.1,40,0.0356964018468872,0.0138443022071017,0.0136585783129705,0.00405367644913482
"25",20,"higherDR",3,38.1,12.1,50,0.0294923931990438,0.0116914151449978,0.0109028525319677,0.00307506590295712
"26",20,"higherDR",3,38.1,12.1,60,0.0247439578443485,0.0100032475570339,0.00912262807714674,0.00257921983394691
"27",20,"higherDR",3,38.1,12.1,70,0.0207970828492359,0.00925434008335896,0.00781138289608612,0.00235047360423732
"28",20,"higherDR",3,38.1,12.1,80,0.0180413914673682,0.0080891484003551,0.00685917685736502,0.00199030381111007
"29",20,"higherDR",3,38.1,12.1,90,0.016640741207058,0.00668534046632804,0.00591136440432937,0.00172813069252168
"30",20,"higherDR",3,38.1,12.1,100,0.0153223868025398,0.00445955699870966,0.00541657279525408,0.00154056593344725
"31",20,"lowerDR",1,25.1,20.2,10,0.0400784298558514,-0.0678859986108124,0.0231105743834827,0.00977081098059513
"32",20,"lowerDR",1,25.1,20.2,20,-0.0174121135853271,-0.074980861417928,0.0109073028158294,0.00641766205198094
"33",20,"lowerDR",1,25.1,20.2,30,-0.0424308393920497,-0.0778268632522844,0.00631792024592958,0.00392772794292902
"34",20,"lowerDR",1,25.1,20.2,40,-0.0543021145042808,-0.0771036954675697,0.00457907115700512,0.00292163742658693
"35",20,"lowerDR",1,25.1,20.2,50,-0.0611337364306664,-0.0777949100241303,0.00376750550384172,0.00231171190111434
"36",20,"lowerDR",1,25.1,20.2,60,-0.0661637248062229,-0.078502220688159,0.00325038153400723,0.00200447568018304
"37",20,"lowerDR",1,25.1,20.2,70,-0.0704705125522702,-0.0795464685598483,0.00271400517677043,0.00167153981534389
"38",20,"lowerDR",1,25.1,20.2,80,-0.072808528642568,-0.0798423652171203,0.00242963485709752,0.00153061018264655
"39",20,"lowerDR",1,25.1,20.2,90,-0.075189893773675,-0.0801957857497044,0.00216788815278998,0.00139312404897151
