"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,145.326142857141,100,28.783,47.044,96.1,3.9,0,0,0,78.776,14.435,4.513,2.741,0.535
"2",30,3,143.922857142855,100,25.618,43.057,0,3.2,88.2,8.5,0.1,2.343,12.68,60.925,18.272,6.78
"3",30,5,144.838857142855,100,21.435,38.107,0,0,0,14.2,85.8,0.633,2.515,5.711,20.467,71.674
"4",20,1,144.274714285712,100,17.325,35.278,97.8,2.2,0,0,0,92.898,6.854,0.638,0.503,0.107
"5",20,3,144.341142857141,100,14.637,29.886,0,8.9,84.2,6.9,0,11.97,21.791,52.538,11.865,2.836
"6",20,5,144.555428571427,100,12.251,26.117,0,0,0.5,20.7,78.8,5.017,5.702,8.545,25.994,55.742
"7",30,1,143.412142857141,100,30.27,34.559,88.6,11.4,0,0,0,71.41,22.821,4.525,1.853,0.391
"8",30,3,144.207714285712,100,28.028,32.221,0,0.9,79.5,19.6,0,2.039,8.137,55.101,28.06,7.663
"9",30,5,144.087142857141,100,22.383,27.686,0,0,0,5.9,94.1,0.629,2.575,4.665,12.311,80.82
"10",20,1,144.768428571427,100,19.606,24.159,87.1,12.9,0,0,0,77.796,21.468,1.262,0.388,0.086
"11",20,3,144.784857142855,100,17.466,21.408,0,2.3,70.8,26.4,0.5,9.224,11.614,46.478,28.176,5.508
"12",20,5,144.356571428569,100,13.738,17.243,0,0,0.1,7.6,92.3,4.4,4.783,5.503,14.27,72.044
"13",30,1,144.421142857141,100,28.698,59.527,95.4,4.6,0,0,0,77.921,14.021,4.723,3.43,0.905
"14",30,3,144.29657142857,100,24.401,53.638,0,14,75.8,10.2,0,3.526,22.585,50.592,17.414,6.883
"15",30,5,145.009999999998,100,20.274,48.747,0,0,0.4,32.9,66.7,0.797,3.019,9.554,32.552,55.078
"16",20,1,144.540857142855,100,17.404,48.08,98.2,1.7,0.1,0,0,94.212,4.16,1.069,1.112,0.447
"17",20,3,144.296714285712,100,11.909,35.013,0.1,36,58.2,5.3,0.4,16.212,42.517,33.674,6.447,2.15
"18",20,5,144.175142857141,100,10.776,33.241,0,0,4.7,52.2,43.1,6.524,7.395,15.847,39.149,32.085
"19",30,1,86.9855714285714,60,16.877,26.447,90.7,9.2,0.1,0,0,69.5816666666666,18.8966666666667,7.815,4.40166666666667,0.971666666666666
"20",30,3,86.923,60,13.372,23.013,0,8,71.5,18.9,1.6,4.18833333333333,18.1966666666667,45.8316666666667,22.555,10.895
"21",30,5,87.0801428571429,60,10.247,19.047,0,0,1.1,20.6,78.3,1.19166666666667,4.33166666666667,9.26,23.7166666666667,63.1666666666667
"22",20,1,86.4179999999999,60,9.194,19.013,92.2,7.7,0.1,0,0,90.1883333333333,9.315,1.14,0.823333333333333,0.2
"23",20,3,86.6887142857143,60,6.713,14.24,0.4,19.1,64.2,14.1,2.2,19.9416666666667,27.3833333333333,36.405,13.325,4.61166666666667
"24",20,5,87.3005714285713,60,5.423,11.749,0,0,2.9,26.4,70.7,8.97,8.91666666666666,12.1066666666666,26.6433333333333,45.03
"25",30,1,87.1262857142857,60,17.566,19.734,79.7,20.3,0,0,0,60.7316666666667,28.9283333333333,7.925,3.47166666666667,0.61
"26",30,3,86.4265714285714,60,14.422,16.9,0,3.4,64,31.1,1.5,3.44166666666667,12.6583333333333,43.585,30.115,11.8666666666667
"27",30,5,87.1664285714285,60,10.71,13.382,0,0,0,10,90,1.23333333333333,4.41333333333333,7.545,16.83,71.645
"28",20,1,86.9952857142857,60,10.35,12.833,78.1,21.6,0.3,0,0,75.6416666666667,23.41,2.01333333333333,0.52,0.0816666666666667
"29",20,3,87.7784285714285,60,8.037,10.226,0,6.4,54.9,33.8,4.9,15.0333333333333,17.5183333333333,36.1066666666667,24.655,8.35333333333334
"30",20,5,86.8462857142858,60,5.998,7.885,0,0,0.4,11.4,88.2,6.99,7.765,9.90833333333332,17.5216666666667,59.4816666666667
"31",30,1,86.5375714285715,60,16.53,33.291,88.5,11.2,0.3,0,0,68.74,17.9866666666667,8.095,5.32333333333334,1.52166666666667
"32",30,3,87.22,60,12.866,28.865,0,22.8,59,15.9,2.3,5.41,26.575,39.62,18.43,11.6316666666667
"33",30,5,87.6991428571428,60,9.702,24.896,0,0,5.2,34.8,60,1.37,5.57,15.3233333333334,31.6483333333333,47.755
"34",20,1,87.8754285714286,60,9.267,26.022,94.6,4.8,0.6,0,0,92.91,4.52666666666667,1.755,1.89333333333333,0.581666666666667
"35",20,3,87.1387142857142,60,5.433,16.673,0.5,50.8,41.5,5.5,1.7,25.9666666666666,42.3283333333333,23.3683333333334,7.11166666666667,2.89166666666667
"36",20,5,86.7297142857142,60,4.705,14.971,0,0.2,15.1,48.7,36,11.0616666666667,11.96,20.395,32.5033333333333,25.7466666666667
"37",30,1,44.3377142857144,30,6.498,11.266,73.5,18.4,4.5,2.6,1,55.2733333333333,24.8733333333333,13.6133333333333,7.66,1.91333333333333
"38",30,3,43.8907142857144,30,4.266,8.046,1.4,16.8,40.3,25.9,15.6,7.85666666666667,23.2633333333333,32.75,23.45,16.0133333333333
"39",30,5,44.2208571428573,30,2.709,5.679,0,0.1,5.5,24.8,69.6,2.67333333333333,8.94666666666667,17.2566666666667,25.11,49.3466666666667
"40",20,1,44.2962857142859,30,2.902,6.73,85.3,12.4,0.3,0.9,1.1,89.87,9.45,2.1,1.52666666666667,0.386666666666667
"41",20,3,44.0442857142859,30,1.574,3.672,5.5,34.4,36.5,14.5,9.1,39.6,30.5633333333333,18.5566666666667,9.88333333333334,4.73
"42",20,5,44.1508571428573,30,1.136,2.562,0.1,4.1,16.9,28.8,50.1,19.44,18.4466666666667,18.8833333333333,20.9233333333333,25.64
"43",30,1,44.1085714285715,30,6.658,8.225,62.4,30,5,2.1,0.5,48.51,32.7333333333333,14.9133333333333,6.04,1.13666666666667
"44",30,3,44.4355714285716,30,4.568,5.761,0.1,9.2,38,36.5,16.2,5.80666666666667,18.47,32.4766666666667,28.8,17.78
"45",30,5,43.8960000000001,30,2.919,3.8,0,0.1,3.4,14.1,82.4,2.52,8.81666666666667,15.43,21.8333333333333,54.7333333333333
