"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,145.75857142857,100,29.67,46.93,98,2,0,0,0,79.49,12.77,4.87,3.35,0.52
"2",30,3,143.635714285713,100,25.64,42.9,0,1,89,10,0,1.73,12.78,62.59,17.29,6.61
"3",30,5,143.031428571426,100,21.52,38.43,0,0,0,12,88,0.79,2.79,5.21,19.19,73.02
"4",20,1,145.424285714283,100,17.37,35.63,99,1,0,0,0,92.66,6.73,0.87,0.66,0.08
"5",20,3,144.589999999998,100,14.65,29.73,0,11,82,7,0,12.08,23.29,53.18,9.82,2.63
"6",20,5,143.594285714284,100,12.1,26.84,0,0,1,22,77,5.54,6.29,7.96,28.83,52.38
"7",30,1,139.20857142857,100,30.09,33.96,85,15,0,0,0,71.32,23.1,4.3,1.84,0.44
"8",30,3,144.162857142855,100,28.02,31.36,0,1,78,21,0,2.2,7.59,55.48,28.34,7.39
"9",30,5,142.977142857141,100,22.29,28.12,0,0,0,7,93,0.46,2.42,4.81,11.34,81.97
"10",20,1,144.971428571427,100,20.06,24.53,92,8,0,0,0,79.63,19.18,1.57,0.52,0.1
"11",20,3,146.412857142855,100,17.11,20.81,0,2,69,29,0,9.8,11.62,46.99,28.42,4.17
"12",20,5,144.538571428569,100,13.52,18.19,0,0,0,6,94,4.1,4.59,4.61,13.31,74.39
"13",30,1,143.175714285712,100,29,60.29,92,8,0,0,0,76.29,14.97,5.1,3.42,1.22
"14",30,3,143.169999999999,100,24.95,53.36,0,12,76,12,0,2.94,19.86,52.64,18.76,6.8
"15",30,5,147.145714285712,100,20.53,48.66,0,0,0,33,67,0.77,3,9.77,34.26,53.2
"16",20,1,144.555714285712,100,17.32,48.13,99,1,0,0,0,93.55,4.43,1.25,1.26,0.51
"17",20,3,143.63857142857,100,11.54,34.27,0,35,60,4,1,15.89,44.95,33.25,5.09,1.82
"18",20,5,143.982857142856,100,10.7,32.93,0,0,4,49,47,6.36,8.52,16.86,37.28,31.98
"19",30,1,87.0642857142857,60,16.8,26.14,95,5,0,0,0,71.3833333333333,18.0166666666667,7.78333333333333,3.7,0.783333333333333
"20",30,3,87.6342857142857,60,13.47,22.53,0,13,68,17,2,4.56666666666667,21.9833333333333,42.8166666666667,22.1,10.2
"21",30,5,86.5985714285717,60,10.67,19.31,0,0,1,22,77,1.26666666666667,3.85,7.83333333333333,23.8166666666667,64.9
"22",20,1,84.2742857142856,60,9.16,19.02,92,8,0,0,0,88.5666666666667,10.7833333333333,1.41666666666667,0.766666666666667,0.133333333333333
"23",20,3,86.577142857143,60,6.73,13.81,0,14,70,16,0,19.6,25.6833333333333,39.7,12.5333333333333,4.15
"24",20,5,88.3342857142854,60,5.37,12.02,0,0,3,17,80,9.03333333333333,8.53333333333333,11.05,25.4166666666667,47.6333333333333
"25",30,1,88.0857142857143,60,17.09,19.13,76,24,0,0,0,60.0666666666667,30.3833333333333,7.51666666666667,3.2,0.5
"26",30,3,86.212857142857,60,14.49,17.08,0,3,61,35,1,3.78333333333333,11.5166666666667,41.6833333333333,31.3166666666667,13.3666666666667
"27",30,5,89.5328571428568,60,10.91,13.38,0,0,0,11,89,1.08333333333333,4.8,8.56666666666667,17.6833333333333,69.5333333333333
"28",20,1,87.0157142857142,60,10.95,12.66,75,25,0,0,0,73.9166666666667,24.5666666666667,2.41666666666667,0.7,0.0666666666666667
"29",20,3,86.4928571428573,60,7.69,10.15,0,2,51,40,7,14.6166666666667,14.7,36.35,24.2166666666667,11.7833333333333
"30",20,5,85.4357142857146,60,6.46,7.4,0,0,0,18,82,7.2,7.36666666666667,11.7833333333333,22.4166666666667,52.9
"31",30,1,85.3671428571431,60,17.1,33.79,87,12,1,0,0,65.8666666666667,18.7333333333333,9.15,6.56666666666667,1.35
"32",30,3,88.6471428571428,60,12.9,28.72,0,25,57,16,2,5.1,27.6833333333333,40.9,17.1666666666667,10.8166666666667
"33",30,5,88.9285714285711,60,9.55,25.05,0,0,3,34,63,0.816666666666667,5.2,13.3166666666667,32.7666666666667,49.5666666666667
"34",20,1,87.5171428571433,60,9.58,25.99,94,5,1,0,0,93.3333333333333,4.25,1.75,1.81666666666667,0.516666666666667
"35",20,3,88.292857142857,60,5.75,17.05,0,51,37,7,5,22.9833333333333,40.9,25.6166666666667,8.5,3.66666666666667
"36",20,5,84.8799999999999,60,4.55,14.59,0,0,20,45,35,11.8,12.4666666666667,18.2833333333333,33.8666666666667,25.25
"37",30,1,44.557142857143,30,6.58,11.46,71,20,5,4,0,52.2333333333333,26.3666666666667,13.8333333333333,8.5,2.4
"38",30,3,43.4971428571429,30,4.17,8.11,1,14,38,29,18,6.53333333333333,22.1,32.9333333333333,24.0333333333333,17.7333333333333
"39",30,5,42.4857142857145,30,2.63,5.4,0,0,9,25,66,2.46666666666667,9.93333333333333,18.7666666666667,24.1666666666667,48
"40",20,1,44.9428571428572,30,3.04,6.85,88,11,0,0,1,90.9,8.56666666666667,2.2,1.2,0.466666666666667
"41",20,3,44.0557142857145,30,1.57,3.52,6,26,48,9,11,42.0333333333333,29.3333333333333,18.7666666666667,8.66666666666667,4.53333333333333
"42",20,5,44.4900000000002,30,1.18,2.54,0,7,14,25,54,20.9666666666667,19.7,19.7333333333333,21.7,21.2333333333333
"43",30,1,45.0342857142858,30,6.89,8.7,60,35,2,2,1,45.6333333333333,34.8333333333333,15.2666666666667,6.43333333333333,1.16666666666667
"44",30,3,44.4557142857145,30,4.54,5.78,0,10,36,32,22,5.76666666666667,18.4666666666667,33.1,27.0666666666667,18.9333333333333
"45",30,5,42.897142857143,30,2.72,3.83,0,0,5,9,86,2.23333333333333,8.83333333333333,15.4333333333333,21.3666666666667,55.4666666666667
"46",20,1,44.2042857142859,30,3.1,4.11,63,30,4,1,2,82.4666666666667,17.1666666666667,2.43333333333333,0.966666666666667,0.3
"47",20,3,43.5714285714288,30,1.81,2.29,1,19,41,14,25,29.1,29.4,25.1666666666667,12.4333333333333,7.23333333333333
"48",20,5,44.0914285714286,30,1.43,1.6,0,3,11,18,68,16.8666666666667,16.7333333333333,18.0333333333333,18.6333333333333,33.0666666666667
"49",30,1,42.6128571428572,30,6.15,14.62,73,18,2,3,4,54.9333333333333,20.4666666666667,14.4666666666667,9.56666666666667,3.9
"50",30,3,44.2242857142857,30,4.03,10.71,3,37,26,14,20,10.2,30.5666666666667,29.2333333333333,18.0666666666667,15.2666666666667
"51",30,5,44.2071428571429,30,2.74,7.91,0,3,14,30,53,2.86666666666667,11.5,22.6666666666667,26.5,39.8
"52",20,1,45.9285714285716,30,3.15,9.84,92,2,0,4,2,91.0666666666667,4.5,2.43333333333333,4.1,1.23333333333333
"53",20,3,42.9742857142858,30,1.32,4.25,17,40,25,8,10,51.3333333333333,29.2,12.4,7.5,2.9
"54",20,5,44.8000000000002,30,0.95,3.31,1,11,30,23,35,24.3333333333333,25,19.7,18.9,15.4
