"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat","dose1_crmmc_selec","dose2_crmmc_selec","dose3_crmmc_selec","dose4_crmmc_selec","dose5_crmmc_selec"
"1",30,1,1.42717142857143,100,NA,NA,100,0,0,0,0,94.116,2.862,1.478,1.911,0.633,100,0,0,0,0
"2",30,3,1.44067142857143,100,NA,NA,2.1,84.3,13.6,0,0,22.761,55.234,17.428,3.214,2.363,2.1,84.4,13.5,0,0
"3",30,5,1.48202857142857,100,NA,NA,0,0.1,37.4,61.5,1,5.441,10.527,38.109,39.917,7.006,0,0.1,37.9,61,1
"4",20,1,1.44785714285714,100,NA,NA,99.7,0.3,0,0,0,90.276,5.438,2.063,2.184,1.039,99.6,0.4,0,0,0
"5",20,3,1.44371428571428,100,NA,NA,0,22.9,75.9,1.2,0,11.341,29.246,49.917,7.127,3.369,0,22.6,76.1,1.3,0
"6",20,5,1.4279,100,NA,NA,0,0,0.7,52.4,46.9,3.213,6.064,13.295,44.389,34.039,0,0,0.7,51.3,48
"7",30,1,1.45841428571429,100,NA,NA,99.9,0.1,0,0,0,91.499,4.509,1.895,2.128,0.969,99.8,0.2,0,0,0
"8",30,3,1.36412857142857,100,NA,NA,0,34.3,65.6,0.1,0,12.714,36.565,43.231,5.389,3.101,0,33.6,66.1,0.3,0
"9",30,5,1.40421428571429,100,NA,NA,0,0,4.7,72.6,22.7,3.333,6.88,18.551,49.888,22.348,0,0,4.9,72.3,22.8
"10",20,1,1.43824285714286,100,NA,NA,73.7,26.3,0,0,0,70.102,23.679,3.209,2.501,1.509,73.6,26.4,0,0,0
"11",20,3,1.40071428571429,100,NA,NA,0,0.6,57.4,41.9,0.1,5.729,12.156,45.698,30.959,6.458,0,0.6,56.6,42.6,0.2
"12",20,5,1.4634,100,NA,NA,0,0,0,7.6,92.4,2.323,4.375,8.542,22.239,63.521,0,0,0,8,92
"13",30,1,1.37408571428572,100,NA,NA,100,0,0,0,0,95.445,2.29,1.218,1.626,0.421,100,0,0,0,0
"14",30,3,1.49692857142857,100,NA,NA,32.7,67.1,0.2,0,0,48.657,43.185,4.921,2.63,1.607,33.4,66.3,0.3,0,0
"15",30,5,1.44871428571429,100,NA,NA,0,7.9,87,5.1,0,8.779,21.458,54.476,12.319,3.968,0,8.2,87.1,4.7,0
"16",20,1,1.37102857142857,100,NA,NA,100,0,0,0,0,93.642,3.173,1.61,1.898,0.677,100,0,0,0,0
"17",20,3,1.42091428571429,100,NA,NA,1.6,77.6,20.8,0,0,20.108,52.376,22.506,3.569,2.441,1.5,76.7,21.8,0,0
"18",20,5,1.3952,100,NA,NA,0,0,25.2,72.8,2,4.694,9.224,31.146,46.439,9.497,0,0,24.7,73,2.3
"19",30,1,0.9195,60,NA,NA,100,0,0,0,0,90.2816666666667,4.80833333333333,2.45333333333333,3.15833333333333,0.964999999999998,100,0,0,0,0
"20",30,3,0.897571428571428,60,NA,NA,13.7,64.5,21.7,0.1,0,33.265,40.65,17.8733333333333,5.8,4.07833333333333,14.1,65.8,19.8,0.3,0
"21",30,5,0.863514285714286,60,NA,NA,0,3,47,47.5,2.5,8.31833333333333,15.82,36.475,29.7316666666667,11.3216666666667,0,2.9,47.2,47.2,2.7
"22",20,1,0.904014285714286,60,NA,NA,97.8,2.2,0,0,0,84.4316666666666,8.38,3.48666666666667,3.59666666666667,1.77166666666667,97.6,2.4,0,0,0
