"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat","dose1_crmmc_selec","dose2_crmmc_selec","dose3_crmmc_selec","dose4_crmmc_selec","dose5_crmmc_selec"
"1",30,1,1.42185714285714,100,NA,NA,100,0,0,0,0,94.11,2.98,1.43,1.8,0.68,100,0,0,0,0
"2",30,3,1.20428571428571,100,NA,NA,3,88,9,0,0,23.21,56.49,15.74,3.2,2.36,3,88,9,0,0
"3",30,5,1.45171428571429,100,NA,NA,0,0,38,61,1,5.25,10.33,36.88,39.14,9.4,0,1,38,61,0
"4",20,1,1.35471428571429,100,NA,NA,100,0,0,0,0,90.91,5.14,1.78,2.17,1,100,0,0,0,0
"5",20,3,1.14328571428571,100,NA,NA,0,18,80,2,0,12.25,28.11,49.8,7.12,3.72,0,17,80,3,0
"6",20,5,1.17414285714286,100,NA,NA,0,0,0,58,42,2.8,5.11,12.37,44.57,36.15,0,0,0,57,43
"7",30,1,1.35285714285714,100,NA,NA,100,0,0,0,0,91.69,4.41,1.64,2.2,1.06,100,0,0,0,0
"8",30,3,1.39142857142857,100,NA,NA,0,40,60,0,0,14,37.56,40.57,5.05,3.82,0,39,61,0,0
"9",30,5,1.15328571428571,100,NA,NA,0,0,3,67,30,2.92,7.48,18.07,49.25,23.28,0,0,4,70,26
"10",20,1,1.30142857142857,100,NA,NA,77,23,0,0,0,68.82,24.42,3.25,2.77,1.74,76,24,0,0,0
"11",20,3,1.38628571428571,100,NA,NA,0,0,64,36,0,6.51,13.94,45.73,29.74,5.08,0,0,64,36,0
"12",20,5,1.34385714285714,100,NA,NA,0,0,0,10,90,2.45,4.56,10.07,23.66,60.26,0,0,0,11,89
"13",30,1,1.29,100,NA,NA,100,0,0,0,0,95.87,2.09,1.15,1.54,0.35,100,0,0,0,0
"14",30,3,1.70557142857143,100,NA,NA,31,68,1,0,0,51.5,40.33,4.78,2.77,1.62,30,69,1,0,0
"15",30,5,1.52614285714286,100,NA,NA,0,2,92,6,0,7.73,20.8,56.58,12.08,3.81,0,4,89,7,0
"16",20,1,1.25371428571429,100,NA,NA,100,0,0,0,0,93.47,3.26,1.73,1.83,0.71,100,0,0,0,0
"17",20,3,1.22685714285714,100,NA,NA,2,83,15,0,0,18.46,53.81,22.55,3.86,2.32,1,81,18,0,0
"18",20,5,1.16957142857143,100,NA,NA,0,0,29,69,2,5.23,9.18,32.14,44.94,9.51,0,0,25,73,2
"19",30,1,0.842571428571428,60,NA,NA,100,0,0,0,0,89.9333333333333,5.73333333333333,2.38333333333333,2.81666666666667,0.8,100,0,0,0,0
"20",30,3,0.911142857142857,60,NA,NA,14,63,23,0,0,33.25,40.1666666666667,18.1,5.98333333333333,4.16666666666667,14,67,19,0,0
"21",30,5,0.862142857142858,60,NA,NA,0,4,41,49,6,8.65,16.6166666666667,34.4833333333333,30.6166666666667,11.3,0,3,41,50,6
"22",20,1,1.045,60,NA,NA,99,1,0,0,0,84.1833333333333,8.63333333333333,3.6,3.5,1.75,98,2,0,0,0
"23",20,3,1.06771428571429,60,NA,NA,3,29,65,3,0,19.45,32.1166666666667,34.55,10.4166666666667,5.13333333333333,2,31,63,4,0
"24",20,5,1.11585714285714,60,NA,NA,0,0,9,55,36,4.98333333333333,9.81666666666667,21.4166666666667,36.5833333333333,28.8666666666667,0,0,9,54,37
"25",30,1,0.936857142857143,60,NA,NA,100,0,0,0,0,87.75,5.85,3.15,3.33333333333333,1.58333333333333,100,0,0,0,0
"26",30,3,0.698571428571429,60,NA,NA,6,37,52,5,0,20.1333333333333,35.3833333333333,30.6166666666667,9.15,6.38333333333333,6,39,50,5,0
"27",30,5,1.01214285714286,60,NA,NA,0,0,18,55,27,4.68333333333333,11.2666666666667,23.9833333333333,37.6666666666667,24.0666666666667,0,0,15,58,27
"28",20,1,0.885,60,NA,NA,65,35,0,0,0,67.9833333333333,23.0666666666667,4.68333333333333,3.5,2.43333333333333,70,30,0,0,0
"29",20,3,0.826857142857143,60,NA,NA,0,3,55,42,0,8.71666666666667,18.75,39.8833333333333,24.25,10.0666666666667,0,5,56,39,0
