"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,145.971428571425,100,30.59875,47.975,94.125,5.875,0,0,0,72.35625,18.3075,5.44375,3.3825,1.51
"2",30,3,146.057499999996,100,28.385,45.97875,0,1.5,88.125,10.125,0.25,1.14875,5.8725,60.62625,20.97625,12.37625
"3",30,5,145.240178571425,100,23.105,40.635,0,0,0,9.5,90.5,0.49,0.705,1.71875,12.3425,85.74375
"4",20,1,145.624821428568,100,19.9275,38.03875,98.375,1.625,0,0,0,81.13375,14.8525,3.07375,1.31,0.63
"5",20,3,145.246249999996,100,18.44875,36.3625,0,4.75,87,8,0.25,3.07625,10.80625,59.4525,18.57375,9.09125
"6",20,5,144.669821428568,100,14.535,30.92125,0,0,0,14.25,85.75,1.295,1.37625,3.11,17.21875,78
"7",30,1,145.579999999997,100,32.97375,37,82.125,17.875,0,0,0,60.49625,29.49625,6.33875,2.99,1.67875
"8",30,3,145.832678571425,100,31.47875,35.5675,0,0.625,73.375,25.75,0.25,1.02375,3.1025,47.26375,32.8675,16.7425
"9",30,5,144.734464285711,100,23.8575,28.88625,0,0,0,4.125,95.875,0.52625,0.665,1.17875,5.86875,92.76125
"10",20,1,145.732678571425,100,23.19875,27.19875,85.875,14.125,0,0,0,63.9275,29.225,4.98625,1.79625,1.065
"11",20,3,146.376249999997,100,21.6425,26.0025,0,1.25,70,28.5,0.25,2.475,4.14125,43.40875,35.2175,15.7575
"12",20,5,145.826785714282,100,15.575,19.91875,0,0,0,5.75,94.25,1.1875,1.05375,1.9075,7.1475,89.70375
"13",30,1,145.690714285711,100,29.31125,59.7175,96,4,0,0,0,77.02125,13.96625,5.46125,3.34375,1.2075
"14",30,3,145.693035714282,100,26.7925,56.74,0,11.5,77.5,11,0,1.39625,14.4425,54.50625,19.345,11.31
"15",30,5,145.610892857139,100,21.97375,51.98375,0,0,0.375,27.25,72.375,0.55375,0.9625,4.01,26.5975,68.87625
"16",20,1,146.408392857139,100,18.65125,49.7925,99,1,0,0,0,87.895,9.06625,2.33125,1.25625,0.45125
"17",20,3,145.377142857139,100,15.98625,42.7525,0,29.875,65.375,4.625,0.125,4.2925,30.89875,47.74375,11.9275,6.1375
"18",20,5,146.040178571425,100,13.525,40.1525,0,0,2,51.375,46.625,1.64375,1.86375,7.5525,39.315,50.625
"19",30,1,88.3798214285709,60,18.09375,27.5775,85.5,14.375,0.125,0,0,61.5916666666667,23.71875,8.87083333333333,5.22083333333333,2.26458333333333
"20",30,3,87.4412499999994,60,15.96625,25.57125,0,5.875,72.125,21,1,1.85,8.4875,44.0395833333333,26.5541666666667,20.7354166666667
"21",30,5,88.0141071428565,60,11.8825,21.5825,0,0,0.125,16,83.875,0.877083333333333,1.12708333333333,2.82708333333333,14.25625,82.5791666666666
"22",20,1,88.5258928571422,60,11.49375,21.50375,90.125,9.625,0.25,0,0,70.7666666666667,23.0479166666667,4.84166666666667,2.125,0.885416666666668
"23",20,3,87.382678571428,60,10.06,19.70375,0,9.625,70,18,2.375,4.96041666666667,13.08125,44.2625,24.16875,15.19375
"24",20,5,87.8044642857137,60,7.21625,15.6725,0,0,0.875,19,80.125,2.15625,2.27083333333333,5.12916666666667,17.0395833333333,75.0708333333333
"25",30,1,87.6439285714279,60,19.51,21.155,69.625,30.375,0,0,0,48.2041666666667,35.94375,10.25,4.54791666666667,2.72083333333333
"26",30,3,88.4033928571422,60,17.6425,19.90625,0,0.875,58,39.625,1.5,1.49791666666667,3.84583333333333,34.7125,35.025,26.5854166666667
"27",30,5,87.8346428571422,60,11.91,15.10875,0,0,0,4,96,0.791666666666667,1.1375,2.0625,6.40625,91.26875
"28",20,1,87.5923214285709,60,13.695,16.01125,72.375,27.5,0.125,0,0,51.5333333333333,35.8375,9.08958333333333,3.55,1.65625
"29",20,3,87.5946428571423,60,11.84625,14.3775,0,2.125,51.25,41.625,5,3.84375,6.30833333333333,30.7958333333333,34.03125,26.6875
"30",20,5,87.777678571428,60,7.825,10.10875,0,0,0,6.125,93.875,1.97708333333333,1.84583333333333,3.19166666666667,8.67083333333333,85.98125
