"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,144.801428571425,100,30.38,48.59,91,9,0,0,0,72.67,18.51,4.94,3.13,1.75
"2",30,3,147.704285714282,100,28.4,46.76,0,1,86,13,0,1.2,5.58,59.43,21.87,12.92
"3",30,5,146.022857142853,100,23.43,40.39,0,0,0,13,87,0.58,0.68,1.54,14.84,83.36
"4",20,1,145.842857142854,100,20.13,38.44,99,1,0,0,0,79.95,16.31,2.88,1.22,0.64
"5",20,3,142.497142857139,100,18.69,35.22,0,6,86,8,0,2.91,11.55,59.42,17.6,9.52
"6",20,5,146.689999999997,100,14.59,30.57,0,0,0,14,86,1.36,1.46,3.85,16.1,78.23
"7",30,1,145.074285714282,100,33.05,36.57,78,22,0,0,0,59.42,29.97,6.67,3.18,1.76
"8",30,3,146.858571428568,100,32.22,36.22,0,0,75,25,0,1.04,1.78,45.5,34.19,18.49
"9",30,5,141.664285714283,100,23.09,29.25,0,0,0,2,98,0.63,0.66,1.17,4.88,93.66
"10",20,1,146.805714285711,100,22.6,27.39,92,8,0,0,0,66.92,26.22,4.94,1.79,1.13
"11",20,3,143.519999999997,100,21.59,25.47,0,1,73,25,1,2.14,5.26,45.06,33.31,15.23
"12",20,5,147.27714285714,100,16.01,19.93,0,0,0,5,95,1,1.04,1.56,7.75,89.65
"13",30,1,147.504285714282,100,29.72,59.67,92,8,0,0,0,75.32,15.08,5.67,3.74,1.19
"14",30,3,144.939999999997,100,27.18,57.46,0,13,70,17,0,1.33,12.48,53.49,21.28,12.42
"15",30,5,146.527142857139,100,22.15,51.85,0,0,0,23,77,0.63,0.81,3.62,22.98,72.96
"16",20,1,144.864285714283,100,18.98,49.85,99,1,0,0,0,86.96,10.05,2.14,1.37,0.48
"17",20,3,145.657142857139,100,15.5,41.23,0,31,66,3,0,4.48,34.54,47.35,9.9,4.73
"18",20,5,147.148571428568,100,13.08,38.7,0,0,2,55,43,2.03,2.23,8.22,42.46,46.06
"19",30,1,87.9414285714279,60,18.09,27.6,88,12,0,0,0,64.6,21.35,8.38333333333333,5.46666666666667,1.86666666666667
"20",30,3,86.4442857142851,60,16.02,24.98,0,7,74,18,1,1.85,9.45,45.6166666666667,25.2666666666667,19.4833333333333
"21",30,5,87.7371428571422,60,11.43,21.7,0,0,0,13,87,1.13333333333333,1.1,3.01666666666667,13.8833333333333,82.5333333333333
"22",20,1,86.3814285714278,60,11.35,21.7,88,11,1,0,0,71.3166666666667,21.6666666666667,5.28333333333333,2.23333333333333,1.16666666666667
"23",20,3,86.4071428571421,60,9.92,18.93,0,9,71,18,2,5.45,14.3666666666667,45.0166666666667,22.8833333333333,13.95
"24",20,5,86.9457142857136,60,6.94,15.98,0,0,2,17,81,2.41666666666667,2.01666666666667,4.53333333333333,13.7666666666667,78.9333333333333
"25",30,1,88.9242857142848,60,19.47,21.08,69,31,0,0,0,47.4666666666667,36.4,11.3,3.9,2.6
"26",30,3,87.6199999999994,60,17.46,19.74,0,0,68,30,2,1.6,4.5,38.2666666666667,32.1833333333333,25.1166666666667
"27",30,5,88.2557142857137,60,11.76,14.74,0,0,0,4,96,0.883333333333333,1.18333333333333,1.58333333333333,5,93.0166666666667
"28",20,1,86.765714285714,60,13.06,16.06,70,30,0,0,0,51.0166666666667,36.2333333333333,9.95,2.96666666666667,1.5
"29",20,3,86.3928571428564,60,11.8,14.3,0,1,48,48,3,3.8,6.88333333333333,29.1833333333333,33.7166666666667,28.0833333333333
"30",20,5,88.1771428571424,60,7.85,10.24,0,0,0,8,92,1.9,1.71666666666667,2.75,9.76666666666667,85.5333333333333
"31",30,1,87.2499999999995,60,16.81,34.14,81,17,2,0,0,65.4166666666667,20.0833333333333,9.28333333333333,5.05,1.83333333333333
"32",30,3,87.3871428571425,60,15.15,31.31,0,16,62,19,3,2.75,16.3166666666667,39.6833333333333,23.4666666666667,19.45
"33",30,5,86.4485714285708,60,11.17,27.64,0,0,0,36,64,0.916666666666667,1.71666666666667,7.11666666666667,23,68.9166666666667
"34",20,1,88.7642857142851,60,10.54,27.82,97,3,0,0,0,80.55,13.9,3.96666666666667,2.26666666666667,0.983333333333333
"35",20,3,89.2514285714278,60,8.3,22.87,0,38,50,10,2,8.05,33.1666666666667,37.0666666666667,14.4333333333333,8.95
"36",20,5,87.2914285714283,60,6.71,21.2,0,0,8,44,48,2.23333333333333,2.96666666666667,13.25,33.1833333333333,50.0333333333333
"37",30,1,43.2200000000002,30,7.58,12.57,58,31,8,3,0,40.5333333333333,29.6666666666667,19.0666666666667,8.86666666666667,5.2
"38",30,3,45.0628571428574,30,5.81,10.29,0,8,37,33,22,2.86666666666667,9,25.2333333333333,27.7666666666667,38.4666666666667
"39",30,5,44.7085714285717,30,3.79,7.05,0,0,0,10,90,1.9,1.9,5.06666666666667,11.9333333333333,82.5333333333333
"40",20,1,45.2785714285718,30,4.33,8.64,70,29,0,0,1,56.8,31.7333333333333,10.5,3.06666666666667,1.23333333333333
"41",20,3,43.5728571428576,30,3.13,6.8,2,5,43,38,12,9.06666666666667,13.6666666666667,27.5,28,25.1
"42",20,5,44.8657142857145,30,2.03,5.19,0,0,3,15,82,4.23333333333333,3.73333333333333,7.13333333333333,16.6333333333333,71.6
"43",30,1,44.3314285714289,30,8.25,8.98,53,39,7,1,0,39.6333333333333,30.1333333333333,20.7333333333333,8.06666666666667,4.76666666666667
"44",30,3,43.3900000000004,30,6.17,7.6,0,5,28,39,28,3.26666666666667,6.6,20.5333333333333,27.2,45.7333333333333
"45",30,5,44.0657142857145,30,3.71,4.95,0,0,1,9,90,1.66666666666667,2.33333333333333,4.66666666666667,8.13333333333333,86.5333333333333
"46",20,1,43.7557142857146,30,4.82,6,42,44,13,1,0,38.6,38.5666666666667,16.8,6,3.36666666666667
