"","dlttarget","situation","targetdose","truedrprob_targetdose","truedltprob_targetdose","n","dr_bias","dlt_bias","dr_variance","dlt_variance"
"1",20,"higherDR",1,55.1,20.3,10,0.0419271220041588,-0.000377195399877417,0.00658066309106738,0.012378826812168
"2",20,"higherDR",1,55.1,20.3,20,0.00593734110600035,-0.0109250183082392,0.0110832974321279,0.0171719615407978
"3",20,"higherDR",1,55.1,20.3,30,-0.00702457713681006,-0.00558266707127095,0.0090939939219385,0.0108603996262104
"4",20,"higherDR",1,55.1,20.3,40,-0.00128045070163184,-0.00171575835877654,0.006954735045087,0.00703399224535883
"5",20,"higherDR",1,55.1,20.3,50,-0.000351876338548058,-0.00444998822152987,0.00555439714792448,0.00477653327664849
"6",20,"higherDR",1,55.1,20.3,60,0.00119465030490795,-0.00394308842508748,0.00457183591129625,0.00363345371725027
"7",20,"higherDR",1,55.1,20.3,70,0.00153172350748077,-0.0041159250792408,0.00391335532328879,0.00307702080636456
"8",20,"higherDR",1,55.1,20.3,80,0.00125693466688376,-0.00514399439454382,0.00331327254102634,0.00259075532172297
"9",20,"higherDR",1,55.1,20.3,90,0.000727809202213137,-0.00579677440713169,0.00287189431867856,0.00218115147746816
"10",20,"higherDR",1,55.1,20.3,100,0.000858697330196126,-0.00629295487321458,0.00262360723431432,0.0019313961851748
"11",20,"higherDR",2,35.3,11.3,10,0.283546359563431,0.0955979523074251,0.0076180323102767,0.0059466577008924
"12",20,"higherDR",2,35.3,11.3,20,0.126896701372492,0.0358964653650752,0.0170401258238346,0.00804014367332407
"13",20,"higherDR",2,35.3,11.3,30,0.0628751760816456,0.0169957843955605,0.0134812857417048,0.00639851411094458
"14",20,"higherDR",2,35.3,11.3,40,0.0373108578747757,0.0118776367638823,0.00982511768155199,0.00473661329523668
"15",20,"higherDR",2,35.3,11.3,50,0.0224832495361977,0.00810775399133809,0.00797874289798799,0.00347660876532277
"16",20,"higherDR",2,35.3,11.3,60,0.0178999191506107,0.00686366331347773,0.00611396520731891,0.00260835738509645
"17",20,"higherDR",2,35.3,11.3,70,0.0144416452943402,0.00535305576470254,0.00485242130516649,0.00193089376847073
"18",20,"higherDR",2,35.3,11.3,80,0.0114023140079942,0.00380776918382637,0.00381037270061498,0.00155151769354644
"19",20,"higherDR",2,35.3,11.3,90,0.0093387643663665,0.00257168226712993,0.00333678233111922,0.00137647337747909
"20",20,"higherDR",2,35.3,11.3,100,0.00885624677246429,0.0019881685929975,0.00274041871376421,0.00120997195331583
"21",20,"higherDR",3,30,9.2,10,0.358198606316721,0.135411721230048,0.0105142705744645,0.00670896630660762
"22",20,"higherDR",3,30,9.2,20,0.18994846431956,0.0571831917324866,0.0214913833158945,0.00598513799101714
"23",20,"higherDR",3,30,9.2,30,0.0988265357023194,0.0304573392224724,0.0164263341083153,0.00477042425561271
"24",20,"higherDR",3,30,9.2,40,0.052463879805892,0.0164145177938432,0.0111596413263874,0.00378354830165645
"25",20,"higherDR",3,30,9.2,50,0.0319644714145306,0.0124272775623214,0.00782589806691047,0.00274494515491521
"26",20,"higherDR",3,30,9.2,60,0.0208804914547321,0.0109580786113312,0.00558596350851123,0.00226263411972202
"27",20,"higherDR",3,30,9.2,70,0.0138531973041882,0.00942418611891163,0.00422868869166234,0.00178898500535868
"28",20,"higherDR",3,30,9.2,80,0.0104832282794197,0.0078640505868198,0.0032836510532601,0.00139078808807536
"29",20,"higherDR",3,30,9.2,90,0.0094648853357826,0.00757841559550685,0.00270660483555484,0.00119730962518222
"30",20,"higherDR",3,30,9.2,100,0.00771878721361472,0.00677736912721056,0.0022969579594848,0.00105626540711686
"31",20,"lowerDR",1,25,20.2,10,0.267491439948462,-0.0089983379752795,0.00651776948149857,0.00912082742119263
"32",20,"lowerDR",1,25,20.2,20,0.138288691077902,-0.0236009801512967,0.0096203206961879,0.0128925034738755
"33",20,"lowerDR",1,25,20.2,30,0.0810342946085121,-0.0159730084476755,0.00673144447935031,0.00899053434301935
