"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,143.579999999998,100,24.62,43.82,99,1,0,0,0,95.84,4.56,0.14,0.37,0.09
"2",30,3,142.431428571427,100,20.21,37.49,0,6,92,2,0,10.91,21.81,61.03,6.78,0.47
"3",30,5,145.614285714284,100,19.15,34.26,0,0,0,16,84,4.41,5.37,10.41,24.78,56.03
"4",20,1,145.981428571426,100,16.57,34.98,100,0,0,0,0,97.69,3.12,0.15,0,0.04
"5",20,3,142.224285714284,100,12.75,27.55,0,5,91,4,0,14.11,22.85,57,6.7,0.34
"6",20,5,142.649999999998,100,11.53,25.77,0,0,1,22,77,6.26,6.77,10.23,27.94,49.8
"7",30,1,143.941428571426,100,28.87,33.95,73,27,0,0,0,72.29,28.05,0.54,0.12,0
"8",30,3,145.269999999998,100,26.08,30.28,0,0,56,43,1,7.13,9.44,47.7,32.68,4.05
"9",30,5,144.00857142857,100,20.63,26.02,0,0,0,0,100,3.95,5.01,6.85,10.56,74.63
"10",20,1,142.667142857141,100,19.68,24.75,66,34,0,0,0,72.1,28.24,0.65,0.01,0
"11",20,3,144.764285714284,100,17.23,21.12,0,0,43,55,2,10.77,11.59,38.84,35.8,4
"12",20,5,143.182857142855,100,13.05,17.3,0,0,0,1,99,5.12,5.94,8.13,9.95,71.86
"13",30,1,143.575714285713,100,24.17,56.42,100,0,0,0,0,97.95,0.98,0.66,0.74,0.67
"14",30,3,141.422857142855,100,14.7,39.4,0,69,31,0,0,17.19,60.68,22.4,0.7,0.03
"15",30,5,144.875714285713,100,14.6,38.47,0,0,14,82,4,6.65,8.69,26.28,49.32,10.06
"16",20,1,145.047142857141,100,15.58,46.88,100,0,0,0,0,100.56,0.4,0,0,0.04
"17",20,3,144.877142857141,100,9.9,29.67,0,76,24,0,0,20.61,61.22,18.44,0.69,0.04
"18",20,5,146.607142857141,100,8.34,28.06,0,0,20,73,7,9.15,10.45,27.79,43.7,9.91
"19",30,1,86.092857142857,60,13.46,23.5,97,3,0,0,0,93.7833333333333,6.46666666666667,0.583333333333333,0.55,0.283333333333333
"20",30,3,86.5742857142856,60,9.74,17.37,0,11,79,9,1,18.6833333333333,25.2833333333333,46.5333333333333,10.4666666666667,0.7
"21",30,5,86.3942857142857,60,8.52,15.42,0,0,2,23,75,7,8.58333333333333,15.05,26.1333333333333,44.9
"22",20,1,87.122857142857,60,8.67,18.4,96,4,0,0,0,94.8166666666667,6.66666666666667,0.183333333333333,0,0
"23",20,3,86.8728571428569,60,5.37,12.39,0,23,66,11,0,23.1666666666667,30.7666666666667,38.7,8.23333333333333,0.8
"24",20,5,88.188571428571,60,4.37,10.6,0,0,2,36,62,12.4333333333333,11.3333333333333,17.8,26.3833333333333,33.7166666666667
"25",30,1,86.9900000000001,60,15.31,18.29,67,33,0,0,0,71.6166666666667,27.2666666666667,2.6,0.166666666666667,0.0166666666666667
"26",30,3,85.2614285714287,60,11.92,15.06,0,0,54,43,3,12.15,14.25,38.2833333333333,31.0333333333333,5.95
"27",30,5,86.8099999999999,60,9.48,12.15,0,0,0,4,96,5.11666666666667,6.21666666666667,9.75,13.65,66.9333333333333
"28",20,1,89.7328571428573,60,10.23,12.83,63,36,1,0,0,72.7833333333333,28.15,0.733333333333333,0,0
"29",20,3,89.2928571428573,60,7.42,9.82,0,0,43,50,7,16.35,17.5666666666667,33,27.05,7.7
"30",20,5,86.8742857142856,60,5.54,7.05,0,0,0,6,94,8.33333333333333,9.8,12.8333333333333,15.6666666666667,55.0333333333333
"31",30,1,87.5471428571429,60,12.9,30.88,100,0,0,0,0,97.65,1.48333333333333,0.85,0.816666666666667,0.866666666666667
"32",30,3,87.0642857142855,60,7.05,19.92,4,63,33,0,0,29.4166666666667,52.6166666666667,18.7,0.85,0.0833333333333333
"33",30,5,87.1771428571424,60,6.49,17.4,0,0,25,60,15,11.3666666666667,13.8833333333333,31.45,32.1333333333333,12.8333333333333
"34",20,1,87.2371428571426,60,8.13,25.02,100,0,0,0,0,100.85,0.7,0.05,0.0333333333333333,0.0333333333333333
"35",20,3,86.2714285714282,60,4.61,13.86,3,72,25,0,0,36.3833333333333,49.9,14.8166666666667,0.483333333333333,0.0833333333333333
"36",20,5,86.2214285714285,60,3.73,12.41,0,0,33,53,14,13.9833333333333,14.3166666666667,31.1666666666667,31.1166666666667,11.0833333333333
"37",30,1,43.1514285714287,30,4.22,8.17,89,11,0,0,0,92.6,9.2,0.466666666666667,0.7,0.366666666666667
"38",30,3,43.6085714285716,30,2.36,4.59,2,29,51,16,2,33.9333333333333,34.0666666666667,27.2333333333333,7.03333333333333,1.06666666666667
"39",30,5,44.3728571428572,30,1.76,3.58,0,6,10,42,42,18.6666666666667,19,23.3,24.6,17.7666666666667
"40",20,1,44.7542857142858,30,2.8,5.97,90,10,0,0,0,93.8,9.03333333333333,0.5,0,0
"41",20,3,44.0171428571429,30,1.16,2.94,7,37,47,6,3,43.2333333333333,35.5,20.7333333333333,3.3,0.566666666666667
"42",20,5,44.1028571428573,30,0.79,2.24,1,4,33,37,25,25.3,22.1,27.5333333333333,18.8,9.6
"43",30,1,42.827142857143,30,4.16,6.14,61,38,1,0,0,75.8666666666667,24.1333333333333,2.6,0.533333333333333,0.2
"44",30,3,44.2185714285716,30,2.74,3.97,3,16,40,33,8,27.5,27.2666666666667,27.8,16.7333333333333,4.03333333333333
"45",30,5,43.1628571428573,30,2.13,2.72,0,0,5,22,73,14.5666666666667,14.3,20.7666666666667,21.0333333333333,32.6666666666667
"46",20,1,44.8857142857144,30,3.03,3.96,60,36,4,0,0,81.2,19.3,2.5,0.3,0.0333333333333333
"47",20,3,43.9657142857144,30,1.55,1.91,0,12,49,23,16,31.7333333333333,29.8,27.3666666666667,10.4,4.03333333333333
"48",20,5,42.2928571428572,30,0.94,1.29,0,4,16,23,57,22.9666666666667,20.3,23.5666666666667,18.3333333333333,18.1666666666667
"49",30,1,45.7757142857144,30,4.46,12.05,97,1,0,0,2,94.9,2.9,1.43333333333333,2.33333333333333,1.76666666666667
"50",30,3,43.6785714285717,30,1.86,5.61,14,49,34,2,1,47.9333333333333,37.4,15.9333333333333,1.73333333333333,0.333333333333333
"51",30,5,43.3942857142859,30,1.43,4.34,2,15,34,35,14,27.0666666666667,27.0333333333333,28,14.9333333333333,6.3
"52",20,1,45.5928571428573,30,2.49,8.69,100,0,0,0,0,101.966666666667,1.23333333333333,0.0333333333333333,0,0.1
"53",20,3,45.1242857142857,30,1.07,3.82,26,51,22,1,0,62.3,32.8,7.36666666666667,0.766666666666667,0.1
"54",20,5,45.7528571428571,30,0.77,2.52,0,16,39,26,19,31.6,28.1333333333333,26,12.0666666666667,5.53333333333333
