"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,145.225142857141,100,24.427,43.857,99.2,0.8,0,0,0,95.637,4.883,0.269,0.183,0.028
"2",30,3,143.336142857141,100,20.752,37.077,0,2.7,93.4,3.9,0,11.15,18.583,63.644,7.221,0.402
"3",30,5,144.245428571427,100,18.543,34.047,0,0,0,12.9,87.1,5.057,6.106,9.744,23.213,56.88
"4",20,1,143.759285714284,100,16.719,34.502,100,0,0,0,0,98.019,2.938,0.04,0.002,0.001
"5",20,3,144.240999999998,100,12.857,27.406,0,8.4,89.3,2.3,0,15.164,24.515,54.965,5.96,0.396
"6",20,5,144.951857142856,100,11.538,24.777,0,0,0.2,19.6,80.2,7.094,7.148,10.777,25.67,50.311
"7",30,1,144.131857142855,100,28.89,34.207,67.2,32.8,0,0,0,68.116,31.949,0.861,0.073,0.001
"8",30,3,143.350857142855,100,25.935,30.094,0,0,56.3,43.7,0,8.175,9.851,44.827,34.904,3.243
"9",30,5,144.028857142856,100,20.853,25.785,0,0,0,1.2,98.8,3.922,4.903,6.53,9.992,75.653
"10",20,1,144.160285714284,100,20.092,24.724,65.6,34.4,0,0,0,71.097,29.346,0.54,0.017,0
"11",20,3,144.63757142857,100,17.533,21.769,0,0.1,39.3,59,1.6,10.913,10.77,35.043,38.444,5.83
"12",20,5,144.510999999998,100,13.219,16.746,0,0,0,1.1,98.9,5.747,5.491,7.272,10.241,72.249
"13",30,1,144.30557142857,100,24.034,56.552,100,0,0,0,0,98.655,0.945,0.441,0.741,0.218
"14",30,3,144.413714285713,100,15.434,40.392,0.1,67.4,32.5,0,0,17.261,58.176,24.728,0.774,0.061
"15",30,5,144.481714285712,100,14.303,38.118,0,0.1,15.3,77.5,7.1,7.309,8.935,25.991,48.097,10.668
"16",20,1,144.118428571427,100,15.954,47.03,100,0,0,0,0,100.684,0.3,0.006,0.008,0.002
"17",20,3,144.668857142856,100,9.258,29.6,0.6,73.5,25.9,0,0,22.81,57.558,19.996,0.609,0.027
"18",20,5,143.820285714284,100,8.722,27.369,0,0,18.4,74.5,7.1,10.329,10.799,29.26,41.479,9.133
"19",30,1,87.2554285714284,60,12.739,23.282,96.6,3.4,0,0,0,93.8916666666667,7.02,0.408333333333333,0.293333333333333,0.0533333333333333
"20",30,3,87.3572857142857,60,9.345,17.411,0,10.8,80.9,8.3,0,18.055,27.8616666666667,46.255,8.69833333333333,0.796666666666666
"21",30,5,86.723,60,8.067,15.51,0,0,1.7,26.9,71.4,8.02333333333333,9.8,15.1033333333333,26.4566666666667,42.2833333333333
"22",20,1,87.2187142857142,60,8.641,18.293,96.8,3.2,0,0,0,95.905,5.68666666666667,0.075,0,0
"23",20,3,87.3342857142856,60,5.498,12.065,0,22.4,69.9,7.5,0.2,24.715,33.0266666666667,36.725,6.62333333333333,0.576666666666667
"24",20,5,86.9681428571429,60,4.446,10.063,0,0,3.5,31.2,65.3,12.7933333333333,11.8433333333334,17.7583333333333,26.1633333333333,33.1083333333333
"25",30,1,87.0702857142856,60,14.653,18.091,66.4,33.6,0,0,0,71.8966666666667,28.3333333333333,1.32833333333333,0.105,0.00333333333333333
"26",30,3,86.8325714285715,60,11.721,14.045,0,1.3,51.8,44.6,2.3,14.4316666666667,16.4083333333333,37.7783333333333,28.1033333333333,4.945
"27",30,5,86.8847142857143,60,9.095,11.647,0,0,0.1,4.9,95,7.015,8.25833333333333,10.79,15.1983333333333,60.405
"28",20,1,87.3042857142857,60,10.017,12.693,61.1,38.6,0.3,0,0,72.2583333333334,28.2733333333333,1.105,0.0283333333333333,0.00166666666666667
"29",20,3,86.5304285714286,60,7.255,9.441,0,2.3,39.4,50,8.3,18.4,17.3383333333333,33.2433333333333,26.6466666666667,6.03833333333334
"30",20,5,87.1178571428572,60,5.43,6.965,0,0,0.3,3.1,96.6,10.0716666666667,9.18333333333333,12.2733333333333,14.7166666666667,55.4216666666666
"31",30,1,87.5431428571428,60,12.671,30.745,99.7,0.3,0,0,0,97.8283333333333,1.33,0.861666666666667,1.215,0.431666666666667
"32",30,3,87.2748571428571,60,7.119,19.628,1.8,68.2,29.9,0.1,0,28.2733333333333,51.0066666666667,21.0966666666667,1.185,0.105
"33",30,5,87.2717142857143,60,6.336,17.227,0,0.7,27.5,58,13.8,12.7733333333333,15.165,30.9633333333333,31.9266666666667,10.8383333333333
"34",20,1,86.9537142857142,60,8.14,24.922,100,0,0,0,0,100.955,0.663333333333333,0.00833333333333334,0.035,0.005
"35",20,3,86.684,60,4.155,13.668,3.8,69.8,26,0.4,0,37.165,47.5083333333333,16.1716666666667,0.78,0.0416666666666667
"36",20,5,86.6081428571428,60,3.502,11.588,0,1.7,33,51.6,13.7,17.1166666666667,17.65,31.8366666666667,26.02,9.04333333333334
"37",30,1,44.244142857143,30,4.191,8.549,90,9.9,0.1,0,0,93.38,8.1,1.06,0.716666666666667,0.0766666666666666
"38",30,3,44.6225714285716,30,2.188,4.479,2.6,34.6,46.7,14.4,1.7,37.4533333333333,35.2466666666667,23.7033333333333,6.06666666666667,0.863333333333333
"39",30,5,44.6600000000001,30,1.698,3.46,0.1,2.2,18.3,38,41.4,19.0033333333333,20,24.6966666666667,21.7966666666667,17.8366666666667
"40",20,1,44.3354285714287,30,2.642,6.236,91.2,8.7,0.1,0,0,98.2033333333333,4.92666666666666,0.186666666666667,0.0166666666666667,0
"41",20,3,44.1727142857144,30,1.184,2.788,7.5,46.4,36.5,8.4,1.2,50.4333333333333,33.67,15.8766666666667,2.94333333333333,0.41
"42",20,5,44.3368571428573,30,0.829,1.927,0.1,8,31.1,32.5,28.3,30.2866666666667,23.2433333333333,25.2533333333333,14.93,9.62
"43",30,1,43.7992857142858,30,4.378,5.981,61.9,34.9,3.2,0,0,78.5733333333334,22.75,1.90333333333333,0.0966666666666666,0.01
"44",30,3,44.174142857143,30,2.712,3.501,0.8,13.5,44.7,31.7,9.3,28.2333333333333,27.6633333333333,30.0666666666667,13.7966666666667,3.57333333333333
"45",30,5,44.6980000000001,30,2.003,2.657,0,0.4,6.3,18.8,74.5,14.4033333333333,16.2466666666667,19.54,20.1833333333333,32.96
"46",20,1,44.7888571428573,30,2.988,3.843,62.4,34.5,2.9,0.1,0.1,85.6266666666667,16.3166666666667,1.31,0.07,0.01
