"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,146.56857142857,100,24.46,43.48,99,1,0,0,0,94.9,5.86,0.1,0.11,0.03
"2",30,3,145.669999999999,100,20.82,37.83,0,3,93,4,0,10.32,19.73,63.6,6.87,0.48
"3",30,5,144.53714285714,100,18.41,33.67,0,0,0,15,85,5.43,6.27,9.32,22.92,57.06
"4",20,1,145.531428571427,100,16.53,34.92,100,0,0,0,0,98.57,2.4,0.03,0,0
"5",20,3,147.597142857141,100,13.67,27.33,0,7,91,2,0,14.36,24.6,55.76,5.94,0.34
"6",20,5,146.72857142857,100,11.76,24.3,0,0,0,18,82,7.2,6.87,11,24.98,50.95
"7",30,1,142.165714285713,100,28.2,33.87,57,43,0,0,0,65.86,34.41,0.71,0.02,0
"8",30,3,142.585714285712,100,26.03,29.86,0,0,62,38,0,8.72,9.87,45.24,34.17,3
"9",30,5,144.959999999999,100,20.92,26.19,0,0,0,4,96,3.56,4.18,7.01,11.24,75.01
"10",20,1,144.574285714284,100,21.01,24.71,67,33,0,0,0,69.71,30.51,0.74,0.04,0
"11",20,3,146.255714285712,100,17.88,22.54,0,1,34,63,2,11.06,11.23,31.93,39.58,7.2
"12",20,5,143.422857142855,100,12.78,16.44,0,0,0,0,100,6.17,5.89,7.36,9.09,72.49
"13",30,1,143.097142857141,100,23.88,56.24,100,0,0,0,0,98.78,0.68,0.46,0.87,0.21
"14",30,3,144.159999999998,100,15.52,40.58,0,68,32,0,0,17.6,57.18,25.35,0.8,0.07
"15",30,5,146.969999999998,100,14.6,38.93,0,0,15,76,9,6.53,8.25,25.94,49.47,10.81
"16",20,1,145.672857142856,100,15.71,47.62,100,0,0,0,0,100.76,0.24,0,0,0
"17",20,3,143.981428571427,100,8.99,29.37,1,75,24,0,0,21.93,60.67,17.88,0.49,0.03
"18",20,5,142.501428571426,100,8.61,27.15,0,0,24,70,6,10.85,11.81,29.46,39.18,9.7
"19",30,1,85.4985714285714,60,12.51,23.21,94,6,0,0,0,93,7.65,0.533333333333333,0.433333333333333,0.05
