"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,145.026857142854,100,27.304,45.956,99,1,0,0,0,82.604,14.584,2.921,0.69,0.201
"2",30,3,145.519571428568,100,26.133,43.558,0,1,94,5,0,2.467,7.25,68.053,17.586,5.644
"3",30,5,146.114428571425,100,22.571,39.762,0,0,0,6.6,93.4,1.011,1.312,3.056,14.094,81.527
"4",20,1,145.430857142854,100,18.975,37.331,98.9,1.1,0,0,0,85.291,12.704,2.365,0.511,0.129
"5",20,3,145.460857142854,100,17.351,34.594,0,3.5,93.1,3.4,0,3.673,11.175,66.881,14.344,4.927
"6",20,5,145.920857142854,100,14.525,30.359,0,0,0,9.3,90.7,1.528,1.673,3.983,15.642,78.174
"7",30,1,145.643285714282,100,33.8,37.911,58.1,41.9,0,0,0,48.24,45.247,5.708,1.32,0.485
"8",30,3,145.653285714282,100,31.738,35.302,0,0,49.9,49.7,0.4,1.718,2.911,37.003,45.816,13.552
"9",30,5,145.785999999997,100,23.747,28.997,0,0,0,1,99,0.849,0.974,2.006,4.546,92.625
"10",20,1,144.960428571425,100,24.801,29.346,49.7,50.3,0,0,0,44.129,49.305,5.837,1.291,0.438
"11",20,3,145.180714285711,100,22.953,27.184,0,0,37,59.9,3.1,2.561,3.448,28.948,48.349,17.694
"12",20,5,145.479714285711,100,15.696,19.674,0,0,0,0.4,99.6,1.36,1.446,2.61,4.521,91.063
"13",30,1,145.370571428568,100,25.277,57.632,100,0,0,0,0,92.429,5.743,1.912,0.756,0.16
"14",30,3,145.359571428568,100,20.293,47.878,0.1,54.7,45.2,0,0,4.539,44.105,45.212,4.893,2.251
"15",30,5,145.345428571425,100,18.274,46.057,0,0,7.9,81.4,10.7,1.43,2.181,14.856,55.076,27.457
"16",20,1,145.836142857139,100,17.257,48.217,100,0,0,0,0,94.344,5.092,1.256,0.256,0.052
"17",20,3,145.718999999997,100,12.956,37.62,0,64.1,35.9,0,0,5.939,50.237,37.931,4.774,2.119
"18",20,5,145.202999999996,100,11.733,35.686,0,0.1,10.4,78.2,11.3,2.153,2.992,16.609,53.604,25.642
"19",30,1,87.7858571428565,60,15.436,25.512,93.5,6.5,0,0,0,74.37,21.085,4.75333333333333,1.115,0.343333333333333
"20",30,3,87.9489999999994,60,13.912,23.437,0,4.4,83,12.6,0,4.21,11.4916666666667,54.0033333333333,23.13,8.83166666666667
"21",30,5,88.4865714285708,60,11.217,20.427,0,0,0.1,14.3,85.6,1.97166666666667,2.155,5.09166666666667,16.7833333333333,75.665
"22",20,1,88.273428571428,60,10.597,20.746,94.6,5.4,0,0,0,76.98,19.7666666666667,3.8,0.863333333333332,0.256666666666667
"23",20,3,87.691428571428,60,9.041,18.53,0,8.1,81.9,9.9,0.1,6.20333333333333,15.0916666666667,52.0183333333334,20.145,8.20833333333333
"24",20,5,88.4101428571422,60,7.001,15.067,0,0,0.4,16.9,82.7,2.69666666666667,3.09833333333333,6.74666666666667,19.32,69.805
"25",30,1,88.0539999999993,60,18.677,21.057,49.8,50.2,0,0,0,43.17,46.1283333333333,9.275,2.29833333333333,0.794999999999999
"26",30,3,87.6169999999993,60,16.788,19.158,0,0.1,38.9,57.9,3.1,3.15333333333333,4.96666666666667,29.6116666666667,42.3666666666667,21.5683333333333
"27",30,5,88.5627142857136,60,12.049,14.642,0,0,0,1.7,98.3,1.665,1.63166666666667,3.00833333333333,6.415,88.9466666666667
"28",20,1,88.183285714285,60,13.849,16.05,49.3,50.6,0.1,0,0,42.6433333333333,46.8233333333333,9.15833333333333,2.10333333333333,0.938333333333332
"29",20,3,87.6469999999994,60,11.989,14.487,0,0.2,30.5,58.9,10.4,4.27166666666667,5.61333333333334,23.795,40.27,27.7166666666667
"30",20,5,87.6272857142851,60,7.594,9.626,0,0,0,1.1,98.9,2.35,2.40833333333333,3.99333333333333,7.055,85.86
"31",30,1,88.4559999999993,60,13.843,31.547,99.7,0.3,0,0,0,87.25,9.83333333333334,3.15833333333333,1.11666666666667,0.308333333333333
"32",30,3,87.8111428571421,60,10.747,25.656,0.2,51.2,48.3,0.3,0,7.21166666666667,40.9266666666667,42.6766666666667,7.48333333333333,3.36833333333333
"33",30,5,88.3087142857137,60,9.548,24.374,0,0,13.6,66.2,20.2,2.45666666666667,3.545,16.7783333333333,42.61,36.2766666666667
"34",20,1,87.7908571428566,60,9.249,26.149,99.9,0.1,0,0,0,90.5516666666667,8.43833333333333,2.19166666666667,0.415,0.0699999999999999
"35",20,3,87.5434285714279,60,6.954,20.626,0.4,58.7,40.6,0.3,0,9.56333333333333,41.3133333333333,39.29,7.77666666666667,3.72333333333333
"36",20,5,87.9247142857137,60,6.031,18.516,0,0.1,15.7,62.3,21.9,3.765,4.72166666666667,18.2683333333333,40.0483333333333,34.8633333333333
"37",30,1,44.5705714285717,30,5.824,10.594,72.5,26.7,0.8,0,0,59.3833333333333,31.25,9.62333333333333,2.39,0.686666666666667
"38",30,3,44.0335714285717,30,4.56,8.431,0.4,9.7,53.2,29.6,7.1,8.45,15.8233333333333,36.0633333333333,25.4766666666667,17.52
"39",30,5,44.8775714285717,30,3.248,6.491,0,0.3,2.8,15.3,81.6,3.66333333333333,4.53333333333333,9.62666666666667,18.1866666666667,67.3233333333333
"40",20,1,44.6577142857146,30,3.807,8.106,74.7,24.2,1.1,0,0,64.3333333333333,29.0333333333333,7.97333333333333,1.59333333333333,0.4
"41",20,3,44.5021428571432,30,2.868,6.197,0.2,14,48.6,28.5,8.7,11.0366666666667,19.36,34.6166666666667,22.3533333333333,15.9666666666667
"42",20,5,44.7028571428574,30,1.963,4.419,0,0.4,4.9,18.6,76.1,5.68666666666667,5.92333333333333,12.6766666666667,18.9233333333333,60.1233333333333
"43",30,1,44.3501428571432,30,6.976,8.311,40.2,52.5,7.2,0.1,0,39.06,41.3266666666667,17.0633333333333,4.28,1.60333333333333
"44",30,3,44.7218571428574,30,5.663,6.842,0.1,2.3,24.1,44.7,28.8,5.43666666666667,8.64,22.95,31.18,35.1266666666667
"45",30,5,44.7871428571431,30,3.399,4.531,0,0,0.4,3.9,95.7,3.25333333333333,3.48666666666667,6.72,11.2166666666667,78.6566666666667
"46",20,1,44.061285714286,30,4.74,6.068,36.7,51,10.5,1.7,0.1,39.73,39.8066666666667,17.6133333333333,4.57,1.61333333333333
"47",20,3,44.4917142857146,30,3.499,4.602,0.1,1.9,19.3,40.1,38.6,7.51666666666667,10.25,22.44,27.8733333333333,35.2533333333333
"48",20,5,44.3407142857146,30,2.083,2.779,0,0,0.2,4.8,95,4.97666666666667,4.76,8.80666666666667,12.5033333333333,72.2866666666666
"49",30,1,44.7848571428574,30,5.007,13.045,94,5.4,0.3,0,0.3,76.1833333333334,18.1433333333333,6.21666666666667,2.18666666666667,0.603333333333333
"50",30,3,44.754285714286,30,3.698,9.663,2.4,40.4,48.8,7.5,0.9,13.6966666666667,31.8666666666667,36.7633333333333,13.7966666666667,7.21
"51",30,5,44.371285714286,30,2.892,8.16,0,2,16.2,38.9,42.9,5.21666666666667,7.41333333333333,18.4333333333333,28.5766666666667,43.6933333333333
"52",20,1,44.7545714285717,30,3.081,10.118,94.8,5.1,0.1,0,0,83.3833333333333,15.38,3.71333333333333,0.71,0.146666666666667
"53",20,3,45.0384285714289,30,2.257,7.121,4.2,38.8,44.2,10.7,2.1,17.7566666666667,31.77,33.39,13.5,6.91666666666667
"54",20,5,44.4545714285717,30,1.684,5.794,0,1.6,17.2,37,44.2,7.05666666666667,9.21,20.2133333333333,26.63,40.2233333333333
