"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,145.50714285714,100,26.65,46.01,100,0,0,0,0,82.71,14.17,3.19,0.74,0.19
"2",30,3,145.731428571425,100,26.39,43.53,0,0,94,6,0,2.48,6.88,68.64,17.76,5.24
"3",30,5,144.965714285711,100,22.82,39.86,0,0,0,4,96,0.88,0.95,2.19,11.06,85.92
"4",20,1,146.199999999997,100,19.15,36.12,99,1,0,0,0,86.72,11.67,2.23,0.31,0.07
"5",20,3,146.028571428567,100,17.09,35.1,0,4,90,6,0,4.13,11.5,65.63,14.64,5.1
"6",20,5,145.458571428568,100,14.86,30.26,0,0,0,10,90,1.49,1.76,3.42,15.97,78.36
"7",30,1,144.425714285711,100,33.28,37.72,64,36,0,0,0,53.87,40.06,5.32,1.23,0.52
"8",30,3,146.481428571425,100,31.64,34.9,0,0,47,51,2,1.69,2.42,36.55,46.98,13.36
"9",30,5,146.978571428568,100,23.45,29.1,0,0,0,1,99,0.88,0.93,2.09,3.77,93.33
"10",20,1,146.209999999996,100,24.86,29.19,48,52,0,0,0,43.66,49.82,5.83,1.38,0.31
"11",20,3,146.535714285711,100,21.96,27.13,0,0,36,62,2,3.09,3.97,30.64,47.87,15.43
"12",20,5,146.285714285711,100,15.97,19.28,0,0,0,2,98,1.43,1.62,3.41,5.27,89.27
"13",30,1,144.702857142854,100,25.61,57.93,100,0,0,0,0,91.59,6.42,1.79,0.89,0.31
"14",30,3,143.708571428568,100,20.35,47.47,0,49,51,0,0,4.91,44.67,44.78,4.79,1.85
"15",30,5,143.964285714283,100,18.26,46.48,0,0,12,83,5,1.34,1.91,14.71,58.88,24.16
"16",20,1,145.187142857139,100,17.33,48.22,100,0,0,0,0,94.47,5.03,1.12,0.32,0.06
"17",20,3,143.388571428568,100,13.04,37.89,0,65,35,0,0,4.67,50.24,39.36,4.49,2.24
"18",20,5,145.242857142853,100,11.1,34.95,0,1,10,78,11,2.1,3.95,18.13,52.04,24.78
"19",30,1,90.3542857142851,60,15.68,25.71,95,5,0,0,0,74.2166666666667,20.6333333333333,4.78333333333333,1.41666666666667,0.616666666666667
"20",30,3,88.3228571428565,60,14.09,22.62,0,7,86,7,0,5.03333333333333,14,53.0833333333333,20.75,8.8
"21",30,5,90.1357142857135,60,11,19.93,0,0,0,10,90,1.95,1.96666666666667,4.93333333333333,15.4833333333333,77.3333333333333
"22",20,1,88.9957142857138,60,10.81,19.74,96,4,0,0,0,76.3333333333333,19.95,4.2,0.883333333333333,0.3
"23",20,3,90.6071428571421,60,9.34,18.98,0,11,81,8,0,5.93333333333333,14.7833333333333,51.8666666666667,20.9166666666667,8.16666666666667
"24",20,5,89.0514285714278,60,7.28,15.04,0,0,0,17,83,2.63333333333333,2.75,6.35,17.8666666666667,72.0666666666667
"25",30,1,86.8599999999993,60,18.61,21.38,53,47,0,0,0,43.9666666666667,45.4333333333333,9.95,1.7,0.616666666666667
"26",30,3,86.9885714285709,60,17.44,19.03,0,1,40,56,3,2.95,6.21666666666667,29.6166666666667,40.55,22.3333333333333
"27",30,5,89.384285714285,60,12.51,14.21,0,0,0,1,99,1.66666666666667,1.5,2.76666666666667,4.81666666666667,90.9166666666667
"28",20,1,88.5014285714277,60,13.94,15.52,48,52,0,0,0,41.2,48.7333333333333,8.7,2.06666666666667,0.966666666666667
"29",20,3,87.697142857142,60,11.93,14.78,0,0,36,56,8,3.5,5.26666666666667,23.9333333333333,46.1166666666667,22.85
"30",20,5,88.9071428571421,60,7.38,9.63,0,0,0,2,98,2.28333333333333,2.23333333333333,4.83333333333333,7.83333333333333,84.4833333333333
"31",30,1,89.9057142857134,60,14.03,31.81,99,1,0,0,0,87.1,9.3,3.5,1.41666666666667,0.35
"32",30,3,86.6285714285706,60,10.39,25.74,0,55,44,1,0,7.65,42.0333333333333,41.45,7.55,2.98333333333333
"33",30,5,88.531428571428,60,9.73,24.4,0,0,15,63,22,2.11666666666667,3.55,16.1833333333333,42.3166666666667,37.5
"34",20,1,86.8671428571427,60,9.65,26.12,100,0,0,0,0,88.6166666666667,9.41666666666667,2.85,0.65,0.133333333333333
"35",20,3,88.4199999999992,60,6.64,20.77,0,64,36,0,0,8.68333333333333,43.7166666666667,36.8,8.35,4.11666666666667
"36",20,5,87.561428571428,60,6.04,18.13,0,0,22,57,21,3.88333333333333,5.41666666666667,22.9166666666667,38.6666666666667,30.7833333333333
"37",30,1,45.0871428571431,30,5.78,10.72,81,19,0,0,0,61.8,30.0666666666667,9.26666666666667,1.73333333333333,0.466666666666667
"38",30,3,44.0057142857148,30,4.47,8.31,0,7,50,36,7,8.2,14.2333333333333,35.9333333333333,27.2,17.7666666666667
"39",30,5,44.2771428571432,30,3.32,6.32,0,1,4,15,80,3.96666666666667,5.66666666666667,9.86666666666667,17.4,66.4333333333333
"40",20,1,44.3628571428574,30,3.55,8.03,75,24,1,0,0,65,28.2,8.2,1.66666666666667,0.266666666666667
"41",20,3,44.2857142857145,30,2.97,6.37,0,11,49,36,4,10.7666666666667,17.0333333333333,34.7666666666667,25.7,15.0666666666667
"42",20,5,44.1771428571433,30,1.97,4.63,0,1,6,23,70,6,6.16666666666667,13.4,19,58.7666666666667
"43",30,1,45.1385714285716,30,7.07,8.64,43,48,9,0,0,39.4,41.0333333333333,18.4333333333333,3.36666666666667,1.1
"44",30,3,43.774285714286,30,5.91,6.44,0,2,25,51,22,5.2,10,22.7,32.0333333333333,33.4
"45",30,5,44.9157142857146,30,3.54,4.5,0,0,0,2,98,3.46666666666667,2.8,5.86666666666667,10.1666666666667,81.0333333333333
"46",20,1,42.041428571429,30,4.69,5.59,30,59,9,2,0,39.0666666666667,41.9333333333333,16.7333333333333,3.76666666666667,1.83333333333333
"47",20,3,43.4071428571432,30,3.59,4.33,0,6,15,45,34,8.9,12.7666666666667,22.6,26.3333333333333,32.7333333333333
"48",20,5,44.2642857142861,30,2.08,2.85,0,0,0,4,96,5.1,4.63333333333333,9.13333333333333,12.2333333333333,72.2333333333333
"49",30,1,44.7942857142859,30,4.82,13.25,91,8,0,0,1,73.3,19.7333333333333,6.83333333333333,2.63333333333333,0.833333333333333
"50",30,3,45.8814285714287,30,3.95,9.41,2,35,58,4,1,13.8333333333333,33.4666666666667,38.4666666666667,11.5333333333333,6.03333333333333
"51",30,5,43.9914285714289,30,3.06,8.16,0,1,17,32,50,4.93333333333333,6.6,17.4,26.2,48.2
"52",20,1,45.5071428571432,30,3.22,10.4,96,4,0,0,0,87.0666666666667,12.4333333333333,2.73333333333333,0.833333333333333,0.266666666666667
"53",20,3,45.8714285714288,30,2.2,7.31,4,36,51,6,3,17.9666666666667,29.3666666666667,34.1333333333333,14.0333333333333,7.83333333333333
"54",20,5,43.514285714286,30,1.79,5.48,0,2,21,29,48,7,10.2333333333333,22.8333333333333,23.8333333333333,39.4333333333333
