"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,144.58757142857,100,27.348,46.095,99.3,0.7,0,0,0,79.851,21.08,0.069,0,0
"2",30,3,144.780428571427,100,21.448,38.44,0,2.8,94,3.2,0,0.684,27.471,67.53,5.241,0.074
"3",30,5,144.496857142855,100,18.276,33.711,0,0,0.1,16.2,83.7,0.108,11.512,11.833,25.948,51.599
"4",20,1,144.038285714284,100,16.524,34.709,99.4,0.6,0,0,0,97.085,3.896,0.018,0.001,0
"5",20,3,144.342142857141,100,12.205,26.173,0,9.7,87.6,2.7,0,13.996,32.022,51.044,3.783,0.155
"6",20,5,143.78757142857,100,10.654,23.232,0,0,0.4,19.8,79.8,6.152,11.843,12.511,25.742,44.752
"7",30,1,144.444571428569,100,32.205,36.828,65,35,0,0,0,49.457,51.088,0.448,0.007,0
"8",30,3,144.959428571427,100,26.038,30.473,0,0.1,55.4,44.5,0,0.298,17.103,47.584,34.228,1.787
"9",30,5,143.880857142855,100,20.66,25.189,0,0,0,1.1,98.9,0.048,9.353,7.91,10.622,73.067
"10",20,1,143.500428571427,100,20.094,24.882,64.1,35.9,0,0,0,69.027,31.698,0.274,0.001,0
"11",20,3,144.352142857141,100,16.265,20.457,0,0,41.7,55.9,2.4,9.635,16.507,38.494,33.143,3.221
"12",20,5,143.874142857141,100,12.565,15.989,0,0,0,1.4,98.6,5.248,9.764,8.332,10.485,67.171
"13",30,1,144.413285714284,100,25.499,57.64,100,0,0,0,0,89.334,11.663,0.003,0,0
"14",30,3,144.351571428569,100,16.339,42.487,0.1,67,32.9,0,0,2.958,73.552,24.243,0.235,0.012
"15",30,5,144.132285714284,100,14.47,37.85,0,0,15.2,76.9,7.9,0.195,16.276,28.341,47.654,8.534
"16",20,1,144.164714285712,100,16.004,46.833,100,0,0,0,0,100.459,0.54,0.001,0,0
"17",20,3,144.501857142855,100,9.227,28.955,0.6,76.3,23.1,0,0,21.753,62.691,16.314,0.235,0.007
"18",20,5,144.346428571427,100,8.448,26.328,0,0,20.5,72.7,6.8,8.656,15.898,29.007,39.641,7.798
"19",30,1,86.7331428571428,60,15.395,25.712,95.4,4.6,0,0,0,67.695,33.8833333333333,0.0883333333333333,0,0
"20",30,3,86.5655714285714,60,9.828,18.705,0,9.5,83.2,7.3,0,0.741666666666666,43.89,50.5583333333333,6.22666666666667,0.25
"21",30,5,87.2421428571428,60,7.77,14.888,0,0,1.3,30.5,68.2,0.166666666666666,18.9816666666667,19.1583333333333,28.1566666666667,35.2033333333333
"22",20,1,87.8951428571428,60,8.772,18.127,97,3,0,0,0,96.0066666666667,5.65,0.01,0,0
"23",20,3,87.366,60,5.015,11.233,0.2,29.3,63.5,7,0,23.7483333333333,43.25,30.7583333333333,3.73666666666667,0.173333333333333
"24",20,5,87.8521428571428,60,4.018,9.161,0,0,4.6,38.9,56.5,10.695,19.5383333333333,19.6583333333333,26.9283333333333,24.8466666666667
"25",30,1,87.1597142857142,60,17.597,20.612,60.4,39.6,0,0,0,41.55,59.365,0.75,0.00166666666666667,0
"26",30,3,86.9875714285715,60,11.985,14.721,0,0.9,52.3,44.9,1.9,0.39,28.465,43.7166666666667,26.3016666666667,2.79333333333333
"27",30,5,87.7629999999998,60,8.941,11.23,0,0,0,4.9,95.1,0.118333333333333,15.625,13.6166666666667,16.2183333333333,56.0883333333333
"28",20,1,87.3344285714286,60,10.028,12.723,63.7,36.1,0.2,0,0,73.055,28.1616666666667,0.445,0.00500000000000001,0
"29",20,3,87.5978571428571,60,6.713,8.626,0,2.8,46.3,44.1,6.8,16.4833333333333,26.8366666666667,33.5016666666667,20.5333333333333,4.31166666666667
"30",20,5,87.3284285714286,60,4.783,6.347,0,0,0.5,6.8,92.7,8.73333333333334,16.3366666666667,14.0633333333333,16.705,45.8283333333333
"31",30,1,86.7874285714286,60,13.811,31.851,99.9,0.1,0,0,0,81.6933333333333,19.97,0.00333333333333334,0,0
"32",30,3,87.8657142857141,60,8.164,22.146,0.4,68.6,30.8,0.2,0,3.97833333333333,75.5883333333333,21.615,0.48,0.005
"33",30,5,87.2868571428571,60,6.329,17.647,0,0.2,28.3,58.9,12.6,0.235,26.7216666666667,34.8133333333333,31.4916666666667,8.405
"34",20,1,87.134,60,8.408,25.052,100,0,0,0,0,100.725,0.941666666666667,0,0,0
"35",20,3,87.0887142857143,60,4.011,13.19,3.5,74.9,21.4,0.2,0,34.8666666666667,54.7966666666667,11.5033333333333,0.465,0.035
"36",20,5,86.5771428571429,60,3.142,10.563,0,3.2,35.3,51,10.5,15.4833333333333,27.0016666666667,30.7616666666667,22.0216666666667,6.39833333333333
"37",30,1,44.0754285714286,30,5.684,10.45,78.1,21.8,0.1,0,0,45.7166666666667,57.46,0.156666666666667,0,0
"38",30,3,44.4950000000001,30,2.689,5.528,0.6,35.7,53.5,9.5,0.7,2.11333333333333,70.2233333333333,27.2133333333333,3.49333333333333,0.29
"39",30,5,44.0300000000002,30,1.682,3.42,0,2.4,25.7,40,31.9,0.206666666666667,41.65,31.6766666666667,18.57,11.23
"40",20,1,44.3050000000001,30,2.661,6.119,91.5,8.5,0,0,0,97.1066666666667,6.19333333333333,0.0333333333333333,0,0
"41",20,3,44.7480000000002,30,1.099,2.628,7.7,59.8,29.2,2.9,0.4,48.3966666666667,44.9133333333333,9.03000000000001,0.9,0.0933333333333333
"42",20,5,44.0698571428573,30,0.68,1.568,0.2,15,43,27.8,14,29.35,39.1966666666667,22.55,8.74,3.49666666666667
"43",30,1,44.3074285714287,30,6.208,8.09,46.6,52.3,1.1,0,0,26.7,75.6033333333333,1.03,0,0
"44",30,3,43.9572857142858,30,3,3.995,0,11.6,55.4,27.5,5.5,0.679999999999999,54.4033333333333,35.4333333333333,10.84,1.97666666666667
"45",30,5,44.1932857142858,30,1.858,2.549,0,0.6,7.7,28.9,62.8,0.173333333333333,33.2533333333333,25.98,20.3366666666667,23.59
"46",20,1,44.1184285714287,30,2.814,3.819,65,34.1,0.9,0,0,84.28,18.7633333333333,0.29,0,0
"47",20,3,44.1555714285715,30,1.283,1.694,1.7,35.6,46,13.7,3,37.5033333333333,43.8366666666667,17.51,3.83,0.653333333333333
