"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,143.345714285712,100,27.04,46.01,100,0,0,0,0,79.34,21.59,0.07,0,0
"2",30,3,145.609999999999,100,22.42,38.7,0,1,98,1,0,0.49,26.54,67.41,6.47,0.09
"3",30,5,145.431428571427,100,17.86,33.58,0,0,0,14,86,0.08,11.18,10.85,23.68,55.21
"4",20,1,146.825714285713,100,15.8,34.84,100,0,0,0,0,97.3,3.64,0.06,0,0
"5",20,3,144.681428571427,100,11.99,26.61,0,11,88,1,0,14.51,31.54,52.5,2.28,0.17
"6",20,5,143.32857142857,100,10.26,22.37,0,0,0,18,82,6.74,11.51,13.46,23.35,45.94
"7",30,1,144.751428571427,100,32.4,37.39,61,39,0,0,0,45.93,54.79,0.28,0,0
"8",30,3,144.69857142857,100,26.05,30.85,0,0,43,57,0,0.15,16.01,43.29,39.95,1.6
"9",30,5,144.562857142855,100,20.88,25.47,0,0,0,0,100,0.02,9.14,7.49,9.11,75.24
"10",20,1,143.114285714284,100,20.57,24.9,66,34,0,0,0,67.46,33.07,0.47,0,0
"11",20,3,145.327142857141,100,16.06,19.9,0,0,42,55,3,10,18.23,38.02,32.34,2.41
"12",20,5,141.475714285712,100,12.05,15.61,0,0,0,1,99,5.19,10.12,8.79,9.79,67.11
"13",30,1,142.182857142855,100,24.79,57.54,100,0,0,0,0,90.22,10.77,0.01,0,0
"14",30,3,144.481428571427,100,15.77,42.48,0,59,41,0,0,3.07,70.46,27.18,0.24,0.05
"15",30,5,144.215714285713,100,14.23,37.49,0,0,21,72,7,0.13,17.21,29.34,47.02,7.3
"16",20,1,143.93857142857,100,15.59,47.12,100,0,0,0,0,100.77,0.23,0,0,0
"17",20,3,141.522857142854,100,8.69,28.12,0,77,23,0,0,22.72,63.18,14.6,0.5,0
"18",20,5,145.305714285712,100,8.76,26.82,0,0,22,70,8,9.14,16.13,26.32,39.03,10.38
"19",30,1,85.4442857142856,60,15.4,25.6,95,5,0,0,0,66.4333333333333,34.95,0.283333333333333,0,0
"20",30,3,86.2471428571427,60,9.79,18.73,0,12,84,4,0,0.333333333333333,47.5666666666667,46.9,6.7,0.166666666666667
"21",30,5,88.2428571428568,60,7.94,15.14,0,0,2,27,71,0.233333333333333,19.8833333333333,19,25.8833333333333,36.6666666666667
"22",20,1,87.0414285714285,60,8.86,17.57,96,4,0,0,0,96,5.66666666666667,0,0,0
"23",20,3,87.1414285714287,60,4.77,11.75,0,28,65,7,0,22.45,43.25,31.7166666666667,3.88333333333333,0.366666666666667
"24",20,5,87.3799999999999,60,4.09,9.21,0,0,2,38,60,10.4833333333333,20.0833333333333,18.3,26.35,26.45
"25",30,1,88.0014285714286,60,17.25,20.64,65,35,0,0,0,45.5166666666667,55.2666666666667,0.883333333333333,0,0
"26",30,3,85.3471428571428,60,11.69,14.96,0,1,55,43,1,0.15,29.7333333333333,45.55,23.6666666666667,2.56666666666667
"27",30,5,86.7699999999997,60,8.84,11.47,0,0,0,7,93,0.2,15.6333333333333,13.1333333333333,18.1333333333333,54.5666666666667
"28",20,1,87.2971428571427,60,10.16,12.89,67,33,0,0,0,73.7666666666667,27.4,0.5,0,0
"29",20,3,87.4014285714286,60,6.09,8.58,0,2,50,41,7,16.9833333333333,27.5333333333333,33.2833333333333,20.7166666666667,3.15
"30",20,5,87.6285714285716,60,4.73,6.32,0,0,1,8,91,7.78333333333333,16.9833333333333,15.1833333333333,17.4833333333333,44.2333333333333
"31",30,1,86.6542857142854,60,13.79,31.81,99,1,0,0,0,80.9166666666667,20.75,0,0,0
"32",30,3,85.1585714285712,60,8.26,21.84,1,72,27,0,0,3.41666666666667,76.4,21.5666666666667,0.283333333333333,0
"33",30,5,88.6328571428567,60,5.85,17.23,0,1,32,57,10,0.483333333333333,29.7333333333333,34.95,30.85,5.65
"34",20,1,87.5899999999999,60,8.2,25.48,100,0,0,0,0,100.466666666667,1.2,0,0,0
"35",20,3,90.005714285714,60,3.86,13.46,5,73,22,0,0,35.6,55.3666666666667,10.1833333333333,0.483333333333333,0.0333333333333333
"36",20,5,87.9042857142855,60,3.28,10.99,0,3,37,52,8,15.1,26.4833333333333,31.1666666666667,22.1333333333333,6.78333333333333
"37",30,1,42.7928571428572,30,5.64,10.2,84,16,0,0,0,45.7666666666667,57.2666666666667,0.3,0,0
"38",30,3,44.757142857143,30,2.69,5.51,1,31,62,6,0,2.5,70.7,27.4666666666667,2.6,0.0666666666666667
"39",30,5,44.4742857142859,30,1.55,3.52,0,2,30,45,23,0.0666666666666667,42.6,36.0333333333333,16.6666666666667,7.96666666666667
"40",20,1,44.9042857142859,30,2.71,6.12,92,8,0,0,0,98.5666666666667,4.76666666666667,0,0,0
"41",20,3,45.1842857142859,30,1.03,2.62,7,64,25,4,0,48.1,45.0666666666667,9.03333333333333,1.13333333333333,0
"42",20,5,44.7457142857144,30,0.66,1.57,0,19,42,24,15,32.3666666666667,38.3333333333333,21.1666666666667,8.1,3.36666666666667
"43",30,1,44.0714285714287,30,6.19,8.28,51,47,2,0,0,28.6333333333333,73.3,1.4,0,0
"44",30,3,44.0457142857144,30,2.91,3.96,0,14,54,27,5,0.833333333333333,58.7333333333333,32.4,9.76666666666667,1.6
"45",30,5,44.6171428571429,30,1.93,2.25,0,1,6,28,65,0.0666666666666667,32.6333333333333,23.7666666666667,20.4666666666667,26.4
"46",20,1,44.5000000000002,30,2.85,3.85,68,30,2,0,0,85.5666666666667,17.1666666666667,0.6,0,0
"47",20,3,44.7542857142858,30,1.26,1.76,2,42,39,14,3,39.8333333333333,44.8666666666667,14.5,3.5,0.633333333333333
"48",20,5,45.5157142857143,30,0.85,1.13,0,5,18,28,49,17.4666666666667,34.2,23,15.6666666666667,13
"49",30,1,45.2528571428572,30,5.14,13.27,98,2,0,0,0,66.5666666666667,36.7666666666667,0,0,0
"50",30,3,45.7485714285715,30,2.38,7.35,1,77,21,1,0,5.26666666666667,84.7666666666667,12.7666666666667,0.533333333333333,0
"51",30,5,45.1785714285716,30,1.44,4.5,0,6,49,30,15,0.233333333333333,49.9666666666667,37.1333333333333,11.4333333333333,4.56666666666667
"52",20,1,43.4471428571429,30,2.48,8.61,98,2,0,0,0,101.733333333333,1.6,0,0,0
"53",20,3,45.8428571428571,30,0.92,3.74,31,59,9,1,0,64.5333333333333,36.0333333333333,2.7,0.0666666666666667,0
"54",20,5,41.7757142857145,30,0.61,1.87,0,30,48,17,5,36.1666666666667,43.2,18.6,4.5,0.866666666666667
