"","dlttarget","situation","targetdose","truedrprob_targetdose","truedltprob_targetdose","n","dr_bias","dlt_bias","dr_variance","dlt_variance"
"1",20,"higherDR",1,55.1,20.3,10,-0.146485399404827,-0.0591665753349412,0.0344631672755804,0.0128159392146924
"2",20,"higherDR",1,55.1,20.3,20,-0.109922140190453,-0.036821392139342,0.0198951283710449,0.0125136825561683
"3",20,"higherDR",1,55.1,20.3,30,-0.0692276559209935,-0.0154807221004146,0.0114327938025579,0.00756914753480213
"4",20,"higherDR",1,55.1,20.3,40,-0.0479811917309214,-0.0135120875106781,0.0082420523836522,0.00509319407851944
"5",20,"higherDR",1,55.1,20.3,50,-0.0325771117457996,-0.0128849253340938,0.006411324291621,0.00354329805226666
"6",20,"higherDR",1,55.1,20.3,60,-0.0236237209938777,-0.011437695525459,0.00499989809997819,0.00288592837825357
"7",20,"higherDR",1,55.1,20.3,70,-0.0188292589355672,-0.0105748597257959,0.00390709454898717,0.00246496294043802
"8",20,"higherDR",1,55.1,20.3,80,-0.0165012324476058,-0.00930199482328849,0.00334337739766226,0.0022474845726304
"9",20,"higherDR",1,55.1,20.3,90,-0.0147231602567349,-0.00900746477274542,0.00298680515046356,0.00206216463526175
"10",20,"higherDR",1,55.1,20.3,100,-0.0126413085067233,-0.00890042963157884,0.00268317419869618,0.00175236242989823
"11",20,"higherDR",2,35.3,11.3,10,-0.0294308393807635,-0.00685559023133804,0.0285018655964747,0.00584210162218462
"12",20,"higherDR",2,35.3,11.3,20,-0.0635043945457956,-0.0214364260397195,0.0162163501116653,0.00414080180690611
"13",20,"higherDR",2,35.3,11.3,30,-0.0444902499154422,-0.00934773082489478,0.00943123816023521,0.00340367085064245
"14",20,"higherDR",2,35.3,11.3,40,-0.0261364191175934,-0.00157798342084657,0.00648331043773913,0.00241805408994872
"15",20,"higherDR",2,35.3,11.3,50,-0.0172537230577762,0.000916781200302026,0.00468732251244644,0.00184868151024451
"16",20,"higherDR",2,35.3,11.3,60,-0.0118852580422256,0.00122639298979475,0.00392317851546689,0.00146622931834853
"17",20,"higherDR",2,35.3,11.3,70,-0.00924401529641615,0.00225852095192178,0.00345729184606445,0.00126215028617157
"18",20,"higherDR",2,35.3,11.3,80,-0.00612937451561019,0.002180982477648,0.00301708624318928,0.00104190503650572
"19",20,"higherDR",2,35.3,11.3,90,-0.00542002589199796,0.00161190750630248,0.00260494007352392,0.000880738185925031
"20",20,"higherDR",2,35.3,11.3,100,-0.00411131833189144,0.000574020422307215,0.00228028908876759,0.000784214947379986
"21",20,"higherDR",3,30,9.2,10,0.0189915194909763,0.0104907755541366,0.025884826343858,0.00534703954255527
"22",20,"higherDR",3,30,9.2,20,-0.043255543293487,-0.016020611154901,0.0148169569557098,0.00280424973521124
"23",20,"higherDR",3,30,9.2,30,-0.0354449769972807,-0.011965650501694,0.00906200231881433,0.00207910689732383
"24",20,"higherDR",3,30,9.2,40,-0.0205860622555855,-0.00323141980995343,0.00588096428987812,0.00179731912379321
"25",20,"higherDR",3,30,9.2,50,-0.0131220724499177,0.000442155676061371,0.00433122766842767,0.0014340393528974
"26",20,"higherDR",3,30,9.2,60,-0.00854204773954637,0.00176246220638536,0.00349090141647585,0.0011041396180493
"27",20,"higherDR",3,30,9.2,70,-0.00660848054790619,0.00229807577921125,0.00286502409813872,0.000942351804327172
"28",20,"higherDR",3,30,9.2,80,-0.00348139349460167,0.0022224441178687,0.00248095481091269,0.000847628412332995
"29",20,"higherDR",3,30,9.2,90,-0.00236125987649591,0.00218088871266446,0.00223342164346967,0.000752667577180164
"30",20,"higherDR",3,30,9.2,100,-0.00214978286610281,0.00170888642510789,0.00199466497598118,0.000668186370710267
"31",20,"lowerDR",1,25,20.2,10,0.0247819073373523,-0.0892978532149939,0.0228117766166385,0.00966073702367815
"32",20,"lowerDR",1,25,20.2,20,-0.00812486120905469,-0.0774857241201851,0.0103835439387129,0.0073538443599766
"33",20,"lowerDR",1,25,20.2,30,-0.000210210464171895,-0.0465036136381211,0.00543261989332026,0.00549413903265512
"34",20,"lowerDR",1,25,20.2,40,0.0044279001822139,-0.0299801195022919,0.00353910372193405,0.00354555090541367
"35",20,"lowerDR",1,25,20.2,50,0.00565539324378333,-0.0250390161521819,0.00278997699991755,0.00245514200202791
"36",20,"lowerDR",1,25,20.2,60,0.0053500158372021,-0.0195811061640508,0.00212378324542119,0.00193177456528961
"37",20,"lowerDR",1,25,20.2,70,0.00536854863739601,-0.017279770375808,0.00185603506292751,0.0015220583379835
"38",20,"lowerDR",1,25,20.2,80,0.00581897616711478,-0.0159614044607239,0.0016666166432579,0.00129295268462904
"39",20,"lowerDR",1,25,20.2,90,0.00489969255007267,-0.0140849114515888,0.00149759331023371,0.00116930171985803
"40",20,"lowerDR",1,25,20.2,100,0.00410874905788709,-0.0128047772772475,0.00133064393428136,0.00111430643134688
"41",20,"lowerDR",3,25,20,10,0.0837760361626616,-0.0745673121155273,0.0264445239079168,0.00814526595585864
"42",20,"lowerDR",3,25,20,20,0.0120650707581026,-0.0851692422404535,0.0123336995750157,0.00561030474427148
"43",20,"lowerDR",3,25,20,30,0.00975069382423166,-0.0617289410836952,0.007192033537631,0.00450384559098716
"44",20,"lowerDR",3,25,20,40,0.0152115171316901,-0.0378873481030402,0.00439138232392598,0.00317508688603587
"45",20,"lowerDR",3,25,20,50,0.0132798664247846,-0.0269434528517411,0.00310450993050348,0.00238853536199661
"46",20,"lowerDR",3,25,20,60,0.0119221766420183,-0.0182609881992736,0.00231369304435568,0.00191753470541132
"47",20,"lowerDR",3,25,20,70,0.0110724012704717,-0.0136127702683969,0.00186957812452243,0.00160663655344789
"48",20,"lowerDR",3,25,20,80,0.0103943401491152,-0.0106838795608971,0.00163714724296071,0.00146007413620197
"49",20,"lowerDR",3,25,20,90,0.00942520929149018,-0.00862890191371674,0.00146387716033484,0.00126782025872496
"50",20,"lowerDR",3,25,20,100,0.00750847695772544,-0.00767967141683015,0.0013148152485396,0.00112822272889045
"51",20,"lowerDR",5,25.1,20.2,10,0.133524269203026,-0.0493423082157308,0.0258715280047838,0.0133639918063484
"52",20,"lowerDR",5,25.1,20.2,20,0.0364914063077155,-0.0827154059083265,0.017383142127367,0.00674028702110279
"53",20,"lowerDR",5,25.1,20.2,30,0.020928166363796,-0.0716226333816811,0.00990313943740512,0.00477669445847763
"54",20,"lowerDR",5,25.1,20.2,40,0.0219726723619541,-0.0540204328147435,0.00574803086871372,0.00360760833466993
"55",20,"lowerDR",5,25.1,20.2,50,0.0205013874381291,-0.0402613389663452,0.00392092812058921,0.00279285023794677
"56",20,"lowerDR",5,25.1,20.2,60,0.018239091799631,-0.031928099705114,0.00291389430545488,0.00233544820980575
"57",20,"lowerDR",5,25.1,20.2,70,0.0146642214346251,-0.0266423941503881,0.00245446137100534,0.0020080755763664
"58",20,"lowerDR",5,25.1,20.2,80,0.0130080832059394,-0.0215626463729841,0.00208273253386928,0.00175661631742508
"59",20,"lowerDR",5,25.1,20.2,90,0.0114690801770116,-0.0181909307942906,0.00188171733361377,0.00157293510932879
"60",20,"lowerDR",5,25.1,20.2,100,0.0104228785093304,-0.0156468777317614,0.00158559112744508,0.0014171417663485
"61",20,"null",1,39.9,20.2,10,-0.0633221174581242,-0.0716495577142884,0.0290218100094903,0.0126708621508502
"62",20,"null",1,39.9,20.2,20,-0.0556869759618292,-0.0539495558328978,0.0147351078108938,0.0100111081097636
"63",20,"null",1,39.9,20.2,30,-0.0331349403314502,-0.024293603580253,0.00960111296202118,0.00649728372396975
"64",20,"null",1,39.9,20.2,40,-0.0167998191734674,-0.0124451440685876,0.00676491435152386,0.00451914166923594
"65",20,"null",1,39.9,20.2,50,-0.0113146945119876,-0.0105984872725835,0.00515822390434883,0.00311750650776644
"66",20,"null",1,39.9,20.2,60,-0.00747154909888469,-0.00883387693458409,0.004350092517713,0.00257466706508157
"67",20,"null",1,39.9,20.2,70,-0.00503529068006483,-0.00779881736827348,0.00370421601874689,0.00223656114795242
"68",20,"null",1,39.9,20.2,80,-0.00253876258729379,-0.00664467646721956,0.00312610418837514,0.00191160660334081
"69",20,"null",1,39.9,20.2,90,-0.000574340504543927,-0.00677196852374783,0.0028180768972471,0.00172720331556017
"70",20,"null",1,39.9,20.2,100,-0.000834876087751586,-0.00649954041182983,0.00262593022072777,0.00154502504219944
"71",20,"null",3,40.9,20.2,10,0.00221557925957763,-0.0473975781240298,0.0280444859560172,0.0115964342555305
"72",20,"null",3,40.9,20.2,20,-0.0528822845908591,-0.0641726889268261,0.0195318929504258,0.00841659495741007
"73",20,"null",3,40.9,20.2,30,-0.0323552575299717,-0.0435611622540987,0.0120328017688204,0.00641174844021053
"74",20,"null",3,40.9,20.2,40,-0.0181161584185261,-0.0229839023155446,0.00810988575935835,0.00486758393848668
"75",20,"null",3,40.9,20.2,50,-0.013087394123793,-0.0117274481468346,0.00596404750008188,0.00368283080082072
"76",20,"null",3,40.9,20.2,60,-0.0106121523647295,-0.00502568077118695,0.00449975816640275,0.00304695515289956
"77",20,"null",3,40.9,20.2,70,-0.0081614501899882,-0.00336579708247623,0.00394904081700709,0.0027076305069666
"78",20,"null",3,40.9,20.2,80,-0.00782740769952717,-0.000953682212636953,0.00345206556712136,0.00235975464030304
"79",20,"null",3,40.9,20.2,90,-0.00647682435215692,-0.00137691960221935,0.00301030896759592,0.00218893126394313
"80",20,"null",3,40.9,20.2,100,-0.0058811916711898,-0.00146575905009251,0.00273332703176563,0.00191887937951025
"81",20,"null",5,40.1,19.8,10,0.0352332190654553,-0.0252534170693176,0.028065549521078,0.0150427809254672
"82",20,"null",5,40.1,19.8,20,-0.0337899070267342,-0.0528661224572775,0.0216953054299425,0.00937142572100706
"83",20,"null",5,40.1,19.8,30,-0.0313874830836967,-0.0414932831930668,0.0131381840621653,0.00651769480244434
"84",20,"null",5,40.1,19.8,40,-0.0230913715529755,-0.0251674107979199,0.00886403070351783,0.00518911609618271
"85",20,"null",5,40.1,19.8,50,-0.0161047275002636,-0.0154089133149363,0.00656441676320304,0.00419944366186693
"86",20,"null",5,40.1,19.8,60,-0.0132142094364324,-0.00922065910235195,0.0050182978950095,0.00350197879137299
"87",20,"null",5,40.1,19.8,70,-0.0120230928423489,-0.00654254942697525,0.00408231220024388,0.00302921196589994
"88",20,"null",5,40.1,19.8,80,-0.0103795925865721,-0.00503228494071423,0.00348245591050605,0.00263795772240091
"89",20,"null",5,40.1,19.8,90,-0.00855944560554543,-0.00496244385110997,0.00316378480305061,0.00230347809856855
"90",20,"null",5,40.1,19.8,100,-0.00798972513313087,-0.00218520044326543,0.00294125720905698,0.00211064637324024
"91",30,"higherDR",1,65,30.2,10,-0.174825153136995,-0.11753846608825,0.0363615448750712,0.0244088567211878
"92",30,"higherDR",1,65,30.2,20,-0.0865912921085557,-0.044743666146644,0.0163938408725536,0.0215146795706558
"93",30,"higherDR",1,65,30.2,30,-0.0506144368960349,-0.0291671874952279,0.0118075217891415,0.0114349255006258
"94",30,"higherDR",1,65,30.2,40,-0.0346675437745375,-0.0268279023800778,0.00738146476672402,0.00789957671710954
"95",30,"higherDR",1,65,30.2,50,-0.0234437219636193,-0.0240493553975094,0.00571932145962509,0.00593320115603125
"96",30,"higherDR",1,65,30.2,60,-0.0194680804746004,-0.0243412499796884,0.00439406537906093,0.00475164830822868
"97",30,"higherDR",1,65,30.2,70,-0.0156789904723006,-0.0227951637652969,0.0035145600955302,0.00388498622233705
"98",30,"higherDR",1,65,30.2,80,-0.011614835087532,-0.0231261121566973,0.00307555139113509,0.00331549491532431
"99",30,"higherDR",1,65,30.2,90,-0.00814056706328538,-0.0225960775477871,0.00273582960071079,0.00286726972736425
"100",30,"higherDR",1,65,30.2,100,-0.00802728480104168,-0.0220675754200441,0.00236987519767935,0.00256482447383869
"101",30,"higherDR",2,45.8,17.8,10,-0.0853520197229001,-0.0464478083431265,0.0310681954030974,0.0115777435052749
"102",30,"higherDR",2,45.8,17.8,20,-0.073481783365352,-0.0387910326303032,0.0185800758559228,0.00887583079712086
"103",30,"higherDR",2,45.8,17.8,30,-0.0458787563529186,-0.0202255932308395,0.0112347701716921,0.00605982124793813
"104",30,"higherDR",2,45.8,17.8,40,-0.031797347308562,-0.00859319892720037,0.00800119403638735,0.00401071548431648
"105",30,"higherDR",2,45.8,17.8,50,-0.0209724913178272,-0.00646448007538699,0.00549603651563788,0.00284270550177922
"106",30,"higherDR",2,45.8,17.8,60,-0.0159446490602846,-0.00504919673025837,0.00431672990773637,0.00231322885662916
"107",30,"higherDR",2,45.8,17.8,70,-0.0137366148485744,-0.00470211055726763,0.0036535507798762,0.00204197348905161
"108",30,"higherDR",2,45.8,17.8,80,-0.0114530190441534,-0.00490232987828104,0.00307854740919336,0.00178230230470431
"109",30,"higherDR",2,45.8,17.8,90,-0.00923365141600084,-0.005218931831546,0.00272291839388127,0.00149740063098951
"110",30,"higherDR",2,45.8,17.8,100,-0.00755940663745427,-0.00462422483481943,0.00242186762764941,0.00133240345322165
"111",30,"higherDR",3,40,14.6,10,-0.0512002457046562,-0.0315437126564725,0.0313716255016808,0.00733259772576773
"112",30,"higherDR",3,40,14.6,20,-0.0678492138362191,-0.0390910083570456,0.0174801736176749,0.0047676420818773
"113",30,"higherDR",3,40,14.6,30,-0.043933096940899,-0.0243534028059775,0.00985160802438571,0.00394706888965438
