"","generator","type","sampsize","lambda1","lambda2","beta","DRtarget","DLTtarget","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec"
"1","constant","null",101,0.162,0.058,-0.5,50,30,94.5,5.5,0,0,0
"2","constant","null",101,0.042,0.0175,-0.5,50,30,0,5.3,77.1,17.4,0.2
"3","constant","null",101,0.017,0.0074,-0.5,50,30,0,0,0,32.9,67.1
"4","constant","null",101,0.111,0.038,-0.5,40,20,95.9,4.1,0,0,0
"5","constant","null",101,0.029,0.011,-0.5,40,20,0.1,11.8,72.1,15.9,0.1
"6","constant","null",101,0.0113,0.0045,-0.5,40,20,0,0,1.9,46.7,51.4
"7","constant","null",61,0.162,0.058,-0.5,50,30,88.2,11.8,0,0,0
"8","constant","null",61,0.042,0.0175,-0.5,50,30,0,13.2,62.2,24.1,0.5
"9","constant","null",61,0.017,0.0074,-0.5,50,30,0,0,1.3,36.5,62.2
"10","constant","null",61,0.111,0.038,-0.5,40,20,92.5,7.4,0.1,0,0
"11","constant","null",61,0.029,0.011,-0.5,40,20,0.3,18.5,59.6,21,0.6
"12","constant","null",61,0.0113,0.0045,-0.5,40,20,0,0.2,3.6,48.7,47.5
"13","constant","null",31,0.162,0.058,-0.5,50,30,81.6,17.1,1.3,0,0
"14","constant","null",31,0.042,0.0175,-0.5,50,30,1.4,18.5,47.6,30.3,2.2
"15","constant","null",31,0.017,0.0074,-0.5,50,30,0,0.1,3.7,43.7,52.5
"16","constant","null",31,0.111,0.038,-0.5,40,20,84.2,15,0.8,0,0
"17","constant","null",31,0.029,0.011,-0.5,40,20,2.9,26.9,40.3,28,1.9
"18","constant","null",31,0.0113,0.0045,-0.5,40,20,0,1.1,11,49.6,38.3
