"","dlttarget","drtarget","targetdose","n","DRscenario","generator","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec"
"1",30,50,1,100,"null","const_uninf",100,0,0,0,0
"2",30,50,3,100,"null","const_uninf",0.4,79.7,19.9,0,0
"3",30,50,5,100,"null","const_uninf",0,0,4.8,73.7,21.5
"4",20,40,1,100,"null","const_uninf",100,0,0,0,0
"5",20,40,3,100,"null","const_uninf",1,81.2,17.8,0,0
"6",20,40,5,100,"null","const_uninf",0,0,10.7,67.6,21.7
"7",30,50,1,100,"lowerDR","const_uninf",100,0,0,0,0
"8",30,50,3,100,"lowerDR","const_uninf",0,41.3,58.3,0.4,0
"9",30,50,5,100,"lowerDR","const_uninf",0,0,1,41.8,57.2
"10",20,40,1,100,"lowerDR","const_uninf",99.9,0.1,0,0,0
"11",20,40,3,100,"lowerDR","const_uninf",0.1,41.4,56,2.5,0
"12",20,40,5,100,"lowerDR","const_uninf",0,0,1.2,37.1,61.7
"13",30,50,1,100,"higherDR","const_uninf",100,0,0,0,0
"14",30,50,3,100,"higherDR","const_uninf",27.6,72.4,0,0,0
"15",30,50,5,100,"higherDR","const_uninf",0,4,75,20.8,0.2
"16",20,40,1,100,"higherDR","const_uninf",100,0,0,0,0
"17",20,40,3,100,"higherDR","const_uninf",21.1,78.8,0.1,0,0
"18",20,40,5,100,"higherDR","const_uninf",0,4.5,68.8,26.5,0.2
"19",30,50,1,60,"null","const_uninf",100,0,0,0,0
"20",30,50,3,60,"null","const_uninf",2.7,75.1,21.8,0.4,0
"21",30,50,5,60,"null","const_uninf",0,0.8,15.7,57.7,25.8
"22",20,40,1,60,"null","const_uninf",100,0,0,0,0
"23",20,40,3,60,"null","const_uninf",6,74.2,19.3,0.5,0
"24",20,40,5,60,"null","const_uninf",0,1.6,23.6,52.2,22.6
"25",30,50,1,60,"lowerDR","const_uninf",99.8,0.2,0,0,0
"26",30,50,3,60,"lowerDR","const_uninf",0.4,41.7,52.1,5.8,0
"27",30,50,5,60,"lowerDR","const_uninf",0,0,3.6,36.1,60.3
"28",20,40,1,60,"lowerDR","const_uninf",99,1,0,0,0
"29",20,40,3,60,"lowerDR","const_uninf",1.5,38.1,50.4,9.7,0.3
"30",20,40,5,60,"lowerDR","const_uninf",0,0.2,4.7,34.5,60.6
