"","dlttarget","drtarget","targetdose","n","DRscenario","generator","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec"
"1",30,50,1,100,"null","const_uninf",100,0,0,0,0
"2",30,50,3,100,"null","const_uninf",0,69.2,30.8,0,0
"3",30,50,5,100,"null","const_uninf",0,0,2.3,71.3,26.4
"4",20,40,1,100,"null","const_uninf",100,0,0,0,0
"5",20,40,3,100,"null","const_uninf",0.3,77.5,22.2,0,0
"6",20,40,5,100,"null","const_uninf",0,0,4.9,65.9,29.2
"7",30,50,1,100,"lowerDR","const_uninf",99.9,0.1,0,0,0
"8",30,50,3,100,"lowerDR","const_uninf",0,35.3,63.7,1,0
"9",30,50,5,100,"lowerDR","const_uninf",0,0,0.8,35,64.2
"10",20,40,1,100,"lowerDR","const_uninf",100,0,0,0,0
"11",20,40,3,100,"lowerDR","const_uninf",0,39.4,59.1,1.5,0
"12",20,40,5,100,"lowerDR","const_uninf",0,0,0.5,35.4,64.1
"13",30,50,1,100,"higherDR","const_uninf",100,0,0,0,0
"14",30,50,3,100,"higherDR","const_uninf",15.7,84.1,0.2,0,0
"15",30,50,5,100,"higherDR","const_uninf",0,1.9,71.4,26.6,0.1
"16",20,40,1,100,"higherDR","const_uninf",100,0,0,0,0
"17",20,40,3,100,"higherDR","const_uninf",14.5,85.4,0.1,0,0
"18",20,40,5,100,"higherDR","const_uninf",0,2,65.9,31.8,0.3
"19",30,50,1,60,"null","const_uninf",100,0,0,0,0
"20",30,50,3,60,"null","const_uninf",1.1,63.6,35.2,0.1,0
"21",30,50,5,60,"null","const_uninf",0,0,7.5,58.6,33.9
"22",20,40,1,60,"null","const_uninf",100,0,0,0,0
"23",20,40,3,60,"null","const_uninf",1.3,69.8,28.3,0.6,0
"24",20,40,5,60,"null","const_uninf",0,0,10.1,56.6,33.3
"25",30,50,1,60,"lowerDR","const_uninf",99.3,0.7,0,0,0
"26",30,50,3,60,"lowerDR","const_uninf",0.1,29.1,63.8,7,0
"27",30,50,5,60,"lowerDR","const_uninf",0,0,1.2,30.4,68.4
"28",20,40,1,60,"lowerDR","const_uninf",98.9,1.1,0,0,0
"29",20,40,3,60,"lowerDR","const_uninf",0.2,30.6,59.4,9.4,0.4
"30",20,40,5,60,"lowerDR","const_uninf",0,0,1.9,23.5,74.6
"31",30,50,1,60,"higherDR","const_uninf",100,0,0,0,0
"32",30,50,3,60,"higherDR","const_uninf",21.4,77,1.6,0,0
"33",30,50,5,60,"higherDR","const_uninf",0,4.4,60.2,33.9,1.5
"34",20,40,1,60,"higherDR","const_uninf",100,0,0,0,0
"35",20,40,3,60,"higherDR","const_uninf",19.9,77.1,3,0,0
"36",20,40,5,60,"higherDR","const_uninf",0,4.8,54.1,39.4,1.7
"37",30,50,1,30,"null","const_uninf",95.9,4.1,0,0,0
"38",30,50,3,30,"null","const_uninf",4.7,44.7,39.3,9.9,1.4
"39",30,50,5,30,"null","const_uninf",0.1,1.4,10.9,36.8,50.8
"40",20,40,1,30,"null","const_uninf",95.7,4.3,0,0,0
"41",20,40,3,30,"null","const_uninf",6.5,44.2,35.7,10.8,2.8
"42",20,40,5,30,"null","const_uninf",0.1,2.7,13.9,31.4,51.9
"43",30,50,1,30,"lowerDR","const_uninf",85.3,14.6,0.1,0,0
"44",30,50,3,30,"lowerDR","const_uninf",1.5,18.3,42.4,28.7,9.1
"45",30,50,5,30,"lowerDR","const_uninf",0,0.3,2.7,16.9,80.1
"46",20,40,1,30,"lowerDR","const_uninf",78,19.2,2.6,0.2,0
"47",20,40,3,30,"lowerDR","const_uninf",1.3,16,37,30.2,15.5
"48",20,40,5,30,"lowerDR","const_uninf",0,0,4,16,80
"49",30,50,1,30,"higherDR","const_uninf",99.8,0.2,0,0,0
"50",30,50,3,30,"higherDR","const_uninf",20.7,65.7,12.5,1,0.1
"51",30,50,5,30,"higherDR","const_uninf",0.5,10.1,35.1,36.8,17.5
"52",20,40,1,30,"higherDR","const_uninf",99.4,0.6,0,0,0
"53",20,40,3,30,"higherDR","const_uninf",22.7,54.6,19.3,2.9,0.5
"54",20,40,5,30,"higherDR","const_uninf",0.3,10.1,32.2,34.6,22.8
"55",30,50,1,100,"null","const_inf",NA,NA,NA,NA,NA
"56",30,50,3,100,"null","const_inf",NA,NA,NA,NA,NA
"57",30,50,5,100,"null","const_inf",NA,NA,NA,NA,NA
"58",20,40,1,100,"null","const_inf",NA,NA,NA,NA,NA
"59",20,40,3,100,"null","const_inf",NA,NA,NA,NA,NA
"60",20,40,5,100,"null","const_inf",NA,NA,NA,NA,NA
"61",30,50,1,100,"lowerDR","const_inf",NA,NA,NA,NA,NA
"62",30,50,3,100,"lowerDR","const_inf",NA,NA,NA,NA,NA
"63",30,50,5,100,"lowerDR","const_inf",NA,NA,NA,NA,NA
"64",20,40,1,100,"lowerDR","const_inf",NA,NA,NA,NA,NA
"65",20,40,3,100,"lowerDR","const_inf",NA,NA,NA,NA,NA
"66",20,40,5,100,"lowerDR","const_inf",NA,NA,NA,NA,NA
"67",30,50,1,100,"higherDR","const_inf",NA,NA,NA,NA,NA
"68",30,50,3,100,"higherDR","const_inf",NA,NA,NA,NA,NA
"69",30,50,5,100,"higherDR","const_inf",NA,NA,NA,NA,NA
"70",20,40,1,100,"higherDR","const_inf",NA,NA,NA,NA,NA
"71",20,40,3,100,"higherDR","const_inf",NA,NA,NA,NA,NA
"72",20,40,5,100,"higherDR","const_inf",NA,NA,NA,NA,NA
"73",30,50,1,60,"null","const_inf",NA,NA,NA,NA,NA
"74",30,50,3,60,"null","const_inf",NA,NA,NA,NA,NA
"75",30,50,5,60,"null","const_inf",NA,NA,NA,NA,NA
"76",20,40,1,60,"null","const_inf",NA,NA,NA,NA,NA
"77",20,40,3,60,"null","const_inf",NA,NA,NA,NA,NA
"78",20,40,5,60,"null","const_inf",NA,NA,NA,NA,NA
"79",30,50,1,60,"lowerDR","const_inf",NA,NA,NA,NA,NA
"80",30,50,3,60,"lowerDR","const_inf",NA,NA,NA,NA,NA
"81",30,50,5,60,"lowerDR","const_inf",NA,NA,NA,NA,NA
"82",20,40,1,60,"lowerDR","const_inf",NA,NA,NA,NA,NA
"83",20,40,3,60,"lowerDR","const_inf",NA,NA,NA,NA,NA
"84",20,40,5,60,"lowerDR","const_inf",NA,NA,NA,NA,NA
"85",30,50,1,60,"higherDR","const_inf",NA,NA,NA,NA,NA
"86",30,50,3,60,"higherDR","const_inf",NA,NA,NA,NA,NA
"87",30,50,5,60,"higherDR","const_inf",NA,NA,NA,NA,NA
"88",20,40,1,60,"higherDR","const_inf",NA,NA,NA,NA,NA
"89",20,40,3,60,"higherDR","const_inf",NA,NA,NA,NA,NA
"90",20,40,5,60,"higherDR","const_inf",NA,NA,NA,NA,NA
"91",30,50,1,30,"null","const_inf",NA,NA,NA,NA,NA
"92",30,50,3,30,"null","const_inf",NA,NA,NA,NA,NA
"93",30,50,5,30,"null","const_inf",NA,NA,NA,NA,NA
"94",20,40,1,30,"null","const_inf",NA,NA,NA,NA,NA
"95",20,40,3,30,"null","const_inf",NA,NA,NA,NA,NA
"96",20,40,5,30,"null","const_inf",NA,NA,NA,NA,NA
"97",30,50,1,30,"lowerDR","const_inf",NA,NA,NA,NA,NA
"98",30,50,3,30,"lowerDR","const_inf",NA,NA,NA,NA,NA
"99",30,50,5,30,"lowerDR","const_inf",NA,NA,NA,NA,NA
"100",20,40,1,30,"lowerDR","const_inf",NA,NA,NA,NA,NA
"101",20,40,3,30,"lowerDR","const_inf",NA,NA,NA,NA,NA
"102",20,40,5,30,"lowerDR","const_inf",NA,NA,NA,NA,NA
"103",30,50,1,30,"higherDR","const_inf",NA,NA,NA,NA,NA
"104",30,50,3,30,"higherDR","const_inf",NA,NA,NA,NA,NA
"105",30,50,5,30,"higherDR","const_inf",NA,NA,NA,NA,NA
"106",20,40,1,30,"higherDR","const_inf",NA,NA,NA,NA,NA
"107",20,40,3,30,"higherDR","const_inf",NA,NA,NA,NA,NA
"108",20,40,5,30,"higherDR","const_inf",NA,NA,NA,NA,NA
"109",30,50,1,100,"null","weibsd_uninf",96,4,0,0,0
"110",30,50,3,100,"null","weibsd_uninf",4.55555555555556,71.5555555555556,23.8888888888889,0,0
"111",30,50,5,100,"null","weibsd_uninf",0,0.555555555555556,16.6666666666667,67,15.7777777777778
"112",20,40,1,100,"null","weibsd_uninf",96.4444444444444,3.55555555555556,0,0,0
"113",20,40,3,100,"null","weibsd_uninf",6.66666666666667,71.2222222222222,22.1111111111111,0,0
"114",20,40,5,100,"null","weibsd_uninf",0,0.444444444444444,22.1111111111111,63.1111111111111,14.3333333333333
"115",30,50,1,100,"lowerDR","weibsd_uninf",45.8888888888889,54,0.111111111111111,0,0
"116",30,50,3,100,"lowerDR","weibsd_uninf",0.111111111111111,16.1111111111111,75,8.66666666666667,0.111111111111111
"117",30,50,5,100,"lowerDR","weibsd_uninf",0,0.111111111111111,1.33333333333333,35.5555555555556,63
"118",20,40,1,100,"lowerDR","weibsd_uninf",50.8888888888889,48.8888888888889,0.222222222222222,0,0
"119",20,40,3,100,"lowerDR","weibsd_uninf",0.222222222222222,20.1111111111111,63.1111111111111,16.4444444444444,0.111111111111111
"120",20,40,5,100,"lowerDR","weibsd_uninf",0,0,1.77777777777778,36.5555555555556,61.6666666666667
"121",30,50,1,100,"higherDR","weibsd_uninf",100,0,0,0,0
"122",30,50,3,100,"higherDR","weibsd_uninf",81.4444444444444,18.5555555555556,0,0,0
"123",30,50,5,100,"higherDR","weibsd_uninf",0.444444444444444,40.6666666666667,56.5555555555556,2.33333333333333,0
"124",20,40,1,100,"higherDR","weibsd_uninf",100,0,0,0,0
"125",20,40,3,100,"higherDR","weibsd_uninf",74.2222222222222,25.6666666666667,0.111111111111111,0,0
"126",20,40,5,100,"higherDR","weibsd_uninf",0.333333333333333,38,57.3333333333333,4.33333333333333,0
"127",30,50,1,60,"null","weibsd_uninf",93.3333333333333,6.66666666666667,0,0,0
"128",30,50,3,60,"null","weibsd_uninf",9.33333333333333,67.1111111111111,23.5555555555556,0,0
"129",30,50,5,60,"null","weibsd_uninf",0,2.11111111111111,25.3333333333333,55.4444444444444,17.1111111111111
"130",20,40,1,60,"null","weibsd_uninf",92.5555555555556,7.44444444444444,0,0,0
"131",20,40,3,60,"null","weibsd_uninf",9.11111111111111,64.3333333333333,26,0.555555555555556,0
"132",20,40,5,60,"null","weibsd_uninf",0.111111111111111,3.22222222222222,28.3333333333333,49.6666666666667,18.6666666666667
"133",30,50,1,60,"lowerDR","weibsd_uninf",45.2222222222222,53,1.77777777777778,0,0
"134",30,50,3,60,"lowerDR","weibsd_uninf",0.333333333333333,21.3333333333333,59.6666666666667,18.2222222222222,0.444444444444444
"135",30,50,5,60,"lowerDR","weibsd_uninf",0,0,5.33333333333333,32.5555555555556,62.1111111111111
"136",20,40,1,60,"lowerDR","weibsd_uninf",45,53,2,0,0
"137",20,40,3,60,"lowerDR","weibsd_uninf",0.444444444444444,22.4444444444444,51.8888888888889,23.3333333333333,1.88888888888889
"138",20,40,5,60,"lowerDR","weibsd_uninf",0,0,5.22222222222222,30.6666666666667,64.1111111111111
"139",30,50,1,60,"higherDR","weibsd_uninf",99.8888888888889,0.111111111111111,0,0,0
"140",30,50,3,60,"higherDR","weibsd_uninf",76.3333333333333,23.4444444444444,0.222222222222222,0,0
"141",30,50,5,60,"higherDR","weibsd_uninf",2.44444444444444,45.5555555555556,44.8888888888889,6.88888888888889,0.222222222222222
"142",20,40,1,60,"higherDR","weibsd_uninf",100,0,0,0,0
"143",20,40,3,60,"higherDR","weibsd_uninf",67.4444444444444,32.4444444444444,0.111111111111111,0,0
"144",20,40,5,60,"higherDR","weibsd_uninf",2.77777777777778,35.6666666666667,51.2222222222222,9.88888888888889,0.444444444444444
"145",30,50,1,30,"null","weibsd_uninf",82,16.8888888888889,1.11111111111111,0,0
"146",30,50,3,30,"null","weibsd_uninf",17.7777777777778,50.8888888888889,25.2222222222222,5.44444444444444,0.666666666666667
"147",30,50,5,30,"null","weibsd_uninf",0.444444444444444,7.33333333333333,26.7777777777778,40.1111111111111,25.3333333333333
