"","dlttarget","drtarget","targetdose","n","DRscenario","generator","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec"
"1",30,50,1,100,"null","const_uninf",100,0,0,0,0
"2",30,50,3,100,"null","const_uninf",0,71.25,28.75,0,0
"3",30,50,5,100,"null","const_uninf",0,0,2.5,69.25,28.25
"4",20,40,1,100,"null","const_uninf",100,0,0,0,0
"5",20,40,3,100,"null","const_uninf",0.125,76.25,23.625,0,0
"6",20,40,5,100,"null","const_uninf",0,0,5.125,66.625,28.25
"7",30,50,1,100,"lowerDR","const_uninf",99.875,0.125,0,0,0
"8",30,50,3,100,"lowerDR","const_uninf",0,37.625,61.25,1.125,0
"9",30,50,5,100,"lowerDR","const_uninf",0,0,0.5,36.875,62.625
"10",20,40,1,100,"lowerDR","const_uninf",100,0,0,0,0
"11",20,40,3,100,"lowerDR","const_uninf",0,35.25,62.5,2.25,0
"12",20,40,5,100,"lowerDR","const_uninf",0,0,1.125,33.125,65.75
"13",30,50,1,100,"higherDR","const_uninf",100,0,0,0,0
"14",30,50,3,100,"higherDR","const_uninf",11.75,88.125,0.125,0,0
"15",30,50,5,100,"higherDR","const_uninf",0,1,70.25,28.75,0
"16",20,40,1,100,"higherDR","const_uninf",100,0,0,0,0
"17",20,40,3,100,"higherDR","const_uninf",12,87.875,0.125,0,0
"18",20,40,5,100,"higherDR","const_uninf",0,1.25,68.75,29.75,0.25
"19",30,50,1,60,"null","const_uninf",100,0,0,0,0
"20",30,50,3,60,"null","const_uninf",0.5,64.125,35.375,0,0
"21",30,50,5,60,"null","const_uninf",0,0,8.625,58.5,32.875
"22",20,40,1,60,"null","const_uninf",100,0,0,0,0
"23",20,40,3,60,"null","const_uninf",1.25,68.625,29.875,0.25,0
"24",20,40,5,60,"null","const_uninf",0,0.125,12.5,51.875,35.5
"25",30,50,1,60,"lowerDR","const_uninf",99.25,0.75,0,0,0
"26",30,50,3,60,"lowerDR","const_uninf",0.125,30,63.75,6.125,0
"27",30,50,5,60,"lowerDR","const_uninf",0,0,0.875,26.375,72.75
"28",20,40,1,60,"lowerDR","const_uninf",98.875,1.125,0,0,0
"29",20,40,3,60,"lowerDR","const_uninf",0.125,30,58.625,10.875,0.375
"30",20,40,5,60,"lowerDR","const_uninf",0,0,1.75,27.375,70.875
"31",30,50,1,60,"higherDR","const_uninf",100,0,0,0,0
"32",30,50,3,60,"higherDR","const_uninf",17.875,81.25,0.875,0,0
"33",30,50,5,60,"higherDR","const_uninf",0,2.625,60.75,35.75,0.875
"34",20,40,1,60,"higherDR","const_uninf",100,0,0,0,0
"35",20,40,3,60,"higherDR","const_uninf",17.25,80.625,2.125,0,0
"36",20,40,5,60,"higherDR","const_uninf",0.125,4,60.125,33.625,2.125
"37",30,50,1,30,"null","const_uninf",96.875,3.125,0,0,0
"38",30,50,3,30,"null","const_uninf",3.75,45,42.125,8.5,0.625
"39",30,50,5,30,"null","const_uninf",0,0.75,13.875,38,47.375
"40",20,40,1,30,"null","const_uninf",96.75,3.25,0,0,0
"41",20,40,3,30,"null","const_uninf",5.25,41,39.375,11.375,3
"42",20,40,5,30,"null","const_uninf",0.125,1.25,13.625,31.375,53.625
"43",30,50,1,30,"lowerDR","const_uninf",88.25,11.5,0.125,0.125,0
"44",30,50,3,30,"lowerDR","const_uninf",0.75,21.875,44.625,25.875,6.875
"45",30,50,5,30,"lowerDR","const_uninf",0,0.375,1.875,15.75,82
"46",20,40,1,30,"lowerDR","const_uninf",78.625,20.125,1,0.125,0.125
"47",20,40,3,30,"lowerDR","const_uninf",0.75,15.375,41.5,28.625,13.75
"48",20,40,5,30,"lowerDR","const_uninf",0,0.25,4.125,15.875,79.75
"49",30,50,1,30,"higherDR","const_uninf",100,0,0,0,0
"50",30,50,3,30,"higherDR","const_uninf",19.5,67.875,12.125,0.5,0
"51",30,50,5,30,"higherDR","const_uninf",0,6.5,36.375,41.75,15.375
"52",20,40,1,30,"higherDR","const_uninf",99.375,0.625,0,0,0
"53",20,40,3,30,"higherDR","const_uninf",20.75,60.375,16.625,1.875,0.375
"54",20,40,5,30,"higherDR","const_uninf",0.375,8.75,33.25,36.375,21.25
"55",30,50,1,100,"null","const_inf",NA,NA,NA,NA,NA
"56",30,50,3,100,"null","const_inf",NA,NA,NA,NA,NA
"57",30,50,5,100,"null","const_inf",NA,NA,NA,NA,NA
"58",20,40,1,100,"null","const_inf",NA,NA,NA,NA,NA
"59",20,40,3,100,"null","const_inf",NA,NA,NA,NA,NA
"60",20,40,5,100,"null","const_inf",NA,NA,NA,NA,NA
"61",30,50,1,100,"lowerDR","const_inf",NA,NA,NA,NA,NA
"62",30,50,3,100,"lowerDR","const_inf",NA,NA,NA,NA,NA
"63",30,50,5,100,"lowerDR","const_inf",NA,NA,NA,NA,NA
"64",20,40,1,100,"lowerDR","const_inf",NA,NA,NA,NA,NA
"65",20,40,3,100,"lowerDR","const_inf",NA,NA,NA,NA,NA
"66",20,40,5,100,"lowerDR","const_inf",NA,NA,NA,NA,NA
"67",30,50,1,100,"higherDR","const_inf",NA,NA,NA,NA,NA
"68",30,50,3,100,"higherDR","const_inf",NA,NA,NA,NA,NA
"69",30,50,5,100,"higherDR","const_inf",NA,NA,NA,NA,NA
"70",20,40,1,100,"higherDR","const_inf",NA,NA,NA,NA,NA
"71",20,40,3,100,"higherDR","const_inf",NA,NA,NA,NA,NA
"72",20,40,5,100,"higherDR","const_inf",NA,NA,NA,NA,NA
"73",30,50,1,60,"null","const_inf",NA,NA,NA,NA,NA
"74",30,50,3,60,"null","const_inf",NA,NA,NA,NA,NA
"75",30,50,5,60,"null","const_inf",NA,NA,NA,NA,NA
"76",20,40,1,60,"null","const_inf",NA,NA,NA,NA,NA
"77",20,40,3,60,"null","const_inf",NA,NA,NA,NA,NA
"78",20,40,5,60,"null","const_inf",NA,NA,NA,NA,NA
"79",30,50,1,60,"lowerDR","const_inf",NA,NA,NA,NA,NA
"80",30,50,3,60,"lowerDR","const_inf",NA,NA,NA,NA,NA
"81",30,50,5,60,"lowerDR","const_inf",NA,NA,NA,NA,NA
"82",20,40,1,60,"lowerDR","const_inf",NA,NA,NA,NA,NA
"83",20,40,3,60,"lowerDR","const_inf",NA,NA,NA,NA,NA
"84",20,40,5,60,"lowerDR","const_inf",NA,NA,NA,NA,NA
"85",30,50,1,60,"higherDR","const_inf",NA,NA,NA,NA,NA
"86",30,50,3,60,"higherDR","const_inf",NA,NA,NA,NA,NA
"87",30,50,5,60,"higherDR","const_inf",NA,NA,NA,NA,NA
"88",20,40,1,60,"higherDR","const_inf",NA,NA,NA,NA,NA
"89",20,40,3,60,"higherDR","const_inf",NA,NA,NA,NA,NA
"90",20,40,5,60,"higherDR","const_inf",NA,NA,NA,NA,NA
"91",30,50,1,30,"null","const_inf",NA,NA,NA,NA,NA
"92",30,50,3,30,"null","const_inf",NA,NA,NA,NA,NA
"93",30,50,5,30,"null","const_inf",NA,NA,NA,NA,NA
"94",20,40,1,30,"null","const_inf",NA,NA,NA,NA,NA
"95",20,40,3,30,"null","const_inf",NA,NA,NA,NA,NA
"96",20,40,5,30,"null","const_inf",NA,NA,NA,NA,NA
"97",30,50,1,30,"lowerDR","const_inf",NA,NA,NA,NA,NA
"98",30,50,3,30,"lowerDR","const_inf",NA,NA,NA,NA,NA
"99",30,50,5,30,"lowerDR","const_inf",NA,NA,NA,NA,NA
"100",20,40,1,30,"lowerDR","const_inf",NA,NA,NA,NA,NA
