"","dlttarget","situation","targetdose","truedrprob_targetdose","truedltprob_targetdose","n","dr_bias","dlt_bias","dr_variance","dlt_variance"
"1",20,"higherDR",1,55.1,20.3,10,0.0299254187376417,-0.00548527703557631,0.00651245562105314,0.00783831398652687
"2",20,"higherDR",1,55.1,20.3,20,-0.0180080096972996,-0.018822394473363,0.0107500252601018,0.0128047110029808
"3",20,"higherDR",1,55.1,20.3,30,-0.022844850332325,-0.0167747927766998,0.00915982447247625,0.00841593478598068
"4",20,"higherDR",1,55.1,20.3,40,-0.0214192775945766,-0.0104539174814182,0.0069385882175829,0.00563698350341242
"5",20,"higherDR",1,55.1,20.3,50,-0.0180400180308258,-0.0082694932251146,0.00522525104334413,0.00418767021995847
"6",20,"higherDR",1,55.1,20.3,60,-0.017034916388885,-0.00660633431449935,0.00435852941848692,0.00340926533976815
"7",20,"higherDR",1,55.1,20.3,70,-0.0168388899602923,-0.00577478000443781,0.00378851783438095,0.00269662421672829
"8",20,"higherDR",1,55.1,20.3,80,-0.0171335769144351,-0.0043615588375405,0.003309175781009,0.00235549614391263
"9",20,"higherDR",1,55.1,20.3,90,-0.0164742915537097,-0.00420229853106257,0.00292785293134299,0.00198430753672119
"10",20,"higherDR",1,55.1,20.3,100,-0.0142197897060075,-0.00411259512497767,0.00259044939940314,0.00174419383641641
"11",20,"higherDR",2,35.3,11.3,10,0.327287068439743,0.122131422011145,0.00485038862097878,0.00519124553823109
"12",20,"higherDR",2,35.3,11.3,20,0.240402015098859,0.0781846557745758,0.0138525020668427,0.0100086687821824
"13",20,"higherDR",2,35.3,11.3,30,0.210684361033026,0.0791346620418752,0.0133859230984004,0.0108179490958506
"14",20,"higherDR",2,35.3,11.3,40,0.194365114360569,0.0881817009061466,0.011331325526809,0.00901502525817553
"15",20,"higherDR",2,35.3,11.3,50,0.186996167662263,0.089251120593407,0.0103076468946258,0.00762450125392645
"16",20,"higherDR",2,35.3,11.3,60,0.185412273779617,0.0917885958860228,0.00980740436127108,0.006201545180718
"17",20,"higherDR",2,35.3,11.3,70,0.182277350920033,0.0914329303384762,0.00911182149800371,0.00516805207934855
"18",20,"higherDR",2,35.3,11.3,80,0.180659593861376,0.0903354483321888,0.00881742858704441,0.00446069283308532
"19",20,"higherDR",2,35.3,11.3,90,0.177231414249451,0.0893817353115068,0.00839233371070004,0.00396345632459451
"20",20,"higherDR",2,35.3,11.3,100,0.175272122075767,0.088359434030322,0.00801343229717501,0.00361453685149126
"21",20,"higherDR",3,30,9.2,10,0.410020442798762,0.17016992949304,0.00574481909427062,0.00665250744288361
"22",20,"higherDR",3,30,9.2,20,0.293450653265107,0.0968708533224931,0.018359106189899,0.00829366389360756
"23",20,"higherDR",3,30,9.2,30,0.231129684319717,0.0781294944421386,0.0199167821298604,0.00813786857090005
"24",20,"higherDR",3,30,9.2,40,0.203691837409657,0.0709655789142249,0.0176723740417979,0.00673008483640466
"25",20,"higherDR",3,30,9.2,50,0.183488947477764,0.0649069851139968,0.0161613955265767,0.0057707775803919
"26",20,"higherDR",3,30,9.2,60,0.165948093654805,0.0623906703551857,0.0135369222531917,0.00482849334909306
"27",20,"higherDR",3,30,9.2,70,0.155338729300871,0.0567401426396883,0.0118281597965748,0.00410171127455961
