"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,143.894285714283,100,28.74,46.14,31,68,1,0,0,30.48,57.3,10.24,2.18,0.8
"2",30,3,146.305714285711,100,25.73,44.19,0,2,84,14,0,3.13,10.09,58.78,22.27,6.73
"3",30,5,142.797142857139,100,21.79,39.33,0,0,1,16,83,1.37,1.68,4.56,20.62,72.77
"4",20,1,145.385714285712,100,19.06,37.38,38,62,0,0,0,34.84,54.88,8.58,1.85,0.85
"5",20,3,145.515714285711,100,17.26,33.45,0,7,79,14,0,4.32,15.46,55.83,19.36,6.03
"6",20,5,145.299999999996,100,15.06,30.28,0,0,2,27,71,2.25,2.64,8.6,24.16,63.35
"7",30,1,147.701428571425,100,32.65,39.01,1,37,62,0,0,5.25,33.64,52.69,6.95,2.47
"8",30,3,147.98714285714,100,31.08,35.38,0,0,19,72,9,1.78,2.74,21.76,52.71,22.01
"9",30,5,145.654285714282,100,23.93,27.77,0,0,0,0,100,1.12,0.82,1.64,4.53,92.89
"10",20,1,144.809999999996,100,23.5,28.79,1,47,52,0,0,7.22,39.3,45.41,6.67,2.4
"11",20,3,145.665714285711,100,22.14,27.22,0,0,11,59,30,1.77,2.68,12.83,42.33,41.39
"12",20,5,147.521428571424,100,16.01,20.3,0,0,0,1,99,1.68,1.29,2.86,6.13,89.04
"13",30,1,143.991428571425,100,25.33,56.76,99,1,0,0,0,88.55,8.75,2.85,0.67,0.18
"14",30,3,145.484285714282,100,20.84,48.87,13,76,11,0,0,17.09,57.6,21.35,3.06,1.9
"15",30,5,146.688571428569,100,18.36,46.97,0,1,54,43,2,2.23,5.77,42.57,37.41,13.02
"16",20,1,148.649999999996,100,17.38,47.46,97,3,0,0,0,90.35,8.57,1.45,0.46,0.17
"17",20,3,147.482857142854,100,14.44,38.54,15,67,18,0,0,19.09,52.32,24.78,3.11,1.7
"18",20,5,146.982857142854,100,12.66,37.85,0,0,46,49,5,2.72,4.93,32.99,41.69,18.67
"19",30,1,87.2028571428567,60,15.31,25.23,35,59,6,0,0,34.3666666666667,48.1166666666667,14.45,3.18333333333333,1.55
"20",30,3,87.324285714285,60,13.93,23.42,0,10,67,23,0,4.46666666666667,14.5666666666667,47.7166666666667,25.25,9.66666666666667
"21",30,5,86.4585714285705,60,11.43,20.25,0,0,2,19,79,1.95,2.43333333333333,7.25,21.25,68.7833333333333
"22",20,1,88.6371428571421,60,9.81,20.09,35,57,8,0,0,37.8666666666667,43.3666666666667,16.3,3,1.13333333333333
"23",20,3,87.3471428571421,60,8.58,17.72,0,17,59,21,3,7.8,20.2,41.7333333333333,22.2166666666667,9.71666666666667
"24",20,5,89.2157142857136,60,7.5,15.6,0,0,1,28,71,2.8,2.61666666666667,6.66666666666667,23.4,66.1833333333333
"25",30,1,88.3171428571418,60,18.37,20.91,1,38,59,2,0,7.76666666666667,28.5666666666667,46.2166666666667,13.3166666666667,5.8
"26",30,3,87.9857142857136,60,16.36,18.74,0,0,14,67,19,2.18333333333333,3.08333333333333,16.65,43.0833333333333,36.6666666666667
"27",30,5,88.5914285714281,60,12,14.87,0,0,0,3,97,1.61666666666667,1.65,3.46666666666667,8.18333333333333,86.75
"28",20,1,86.7828571428567,60,12.69,15.61,1,31,61,7,0,8.21666666666667,25.9,44.35,16.55,6.65
"29",20,3,87.2214285714282,60,11.4,13.91,0,0,11,57,32,2.85,3.7,13.0833333333333,37.3,44.7333333333333
"30",20,5,88.5328571428563,60,7.64,9.93,0,0,0,2,98,2.13333333333333,2.51666666666667,4.2,7.75,85.0666666666667
"31",30,1,86.8214285714277,60,13.21,31.67,95,4,1,0,0,77.25,17.4166666666667,4.68333333333333,1.81666666666667,0.5
"32",30,3,87.0799999999991,60,11.42,26.56,16,61,23,0,0,19.0833333333333,49.4,26.15,5.13333333333333,1.9
"33",30,5,88.304285714285,60,9.89,25.12,0,1,51,43,5,2.63333333333333,7.51666666666667,38.65,32.15,20.7166666666667
"34",20,1,89.9742857142853,60,8.56,25.92,92,8,0,0,0,78.35,17.5833333333333,4.21666666666667,1.05,0.466666666666667
"35",20,3,87.2814285714278,60,7.53,20.99,17,63,19,1,0,20.75,47.65,26.25,4.41666666666667,2.6
"36",20,5,88.2957142857137,60,5.97,18.85,0,5,44,42,9,5.5,11.5666666666667,32.9833333333333,30.5,21.1166666666667
"37",30,1,44.8814285714289,30,5.18,9.89,33,49,17,1,0,36.3,36.7666666666667,22.5,5.4,2.36666666666667
"38",30,3,45.677142857143,30,4.67,8.58,0,11,38,35,16,7.3,14.8333333333333,30.3666666666667,28,22.8333333333333
"39",30,5,45.3857142857146,30,3.57,6.94,0,0,7,18,75,3.56666666666667,3.36666666666667,11,21.2,64.2
"40",20,1,43.6600000000002,30,3.34,6.61,19,51,27,3,0,29.9333333333333,39.8,24.4666666666667,6.86666666666667,2.26666666666667
"41",20,3,43.2357142857146,30,2.61,5.92,2,11,42,32,13,11.5,17.8,29.9333333333333,22.9,21.2
"42",20,5,45.4771428571433,30,2.21,4.45,0,3,11,23,63,5.8,8.76666666666667,17.0333333333333,20.7666666666667,50.9666666666667
"43",30,1,45.2871428571431,30,6.23,7.65,7,36,42,14,1,16.9333333333333,29.9,34.5666666666667,14.9333333333333,7
"44",30,3,44.5128571428574,30,5.41,6.59,0,1,10,41,48,4,5.36666666666667,14.7,27.0666666666667,52.2
"45",30,5,44.1157142857147,30,3.49,4.81,0,0,3,6,91,3.5,3.93333333333333,6.66666666666667,12.7,76.5333333333333
"46",20,1,44.5857142857144,30,3.93,5.46,4,26,44,17,9,14.1333333333333,27.7333333333333,32.0666666666667,16.5,12.9
"47",20,3,44.7728571428575,30,3.08,4.14,0,4,9,32,55,7.23333333333333,10.1666666666667,17.6333333333333,23.6,44.7
"48",20,5,46.224285714286,30,2.33,2.99,0,0,4,5,91,4.4,4.36666666666667,8.93333333333333,14.8666666666667,70.7666666666667
"49",30,1,46.7514285714287,30,4.75,12.27,75,22,1,1,1,61.4,29.0666666666667,9.26666666666667,2.8,0.8
"50",30,3,44.2871428571433,30,3.59,10.12,15,49,30,6,0,23,38.9333333333333,26.8,9.36666666666667,5.23333333333333
"51",30,5,45.7742857142861,30,3.04,8.61,0,5,22,41,32,5.93333333333333,9.86666666666667,23.1666666666667,26.9333333333333,37.4333333333333
"52",20,1,44.4728571428574,30,2.8,9.36,78,20,2,0,0,71.0666666666667,22.0333333333333,7.73333333333333,1.86666666666667,0.633333333333333
"53",20,3,44.7742857142861,30,2.42,7.2,14,45,29,10,2,22.0333333333333,37,28.7,9.93333333333333,5.66666666666667
"54",20,5,43.5657142857146,30,1.78,5.63,0,12,23,32,33,9.46666666666667,15.4,26.3666666666667,23.4666666666667,28.6333333333333
