"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,145.340571428569,100,29.958,48.2,26,63.2,10.6,0.2,0,26.091,48.663,18.192,5.7,2.354
"2",30,3,144.943142857141,100,26.286,44.039,0.2,7.2,66.8,24.6,1.2,2.892,13.977,48.793,25.895,9.443
"3",30,5,143.554285714284,100,22.018,38.992,0,0,1,25.1,73.9,0.708,2.968,7.469,27.098,62.757
"4",20,1,145.42257142857,100,17.309,34.805,75,24.5,0.5,0,0,77.155,22.069,1.052,0.528,0.196
"5",20,3,144.273714285712,100,14.251,28.971,1.6,31.6,58.5,8,0.3,17.502,36.528,36.247,8.516,2.207
"6",20,5,144.064857142855,100,12.878,26.828,0,0.1,4.4,37.3,58.2,5.89,7.365,13.772,34.34,39.633
"7",30,1,143.627999999998,100,31.806,35.869,9.7,66.7,23.5,0.1,0,12.931,50.539,30.276,5.5,1.754
"8",30,3,144.404142857141,100,28.239,32.425,0.1,2.3,51.6,43.3,2.7,2.023,8.286,39.867,38.652,12.172
"9",30,5,144.610857142856,100,22.914,27.664,0,0,0.2,8.4,91.4,0.586,2.511,5.206,15.27,77.427
"10",20,1,143.683571428569,100,18.883,23.112,32.9,59.3,7.6,0.2,0,44.812,44.291,10.37,1.222,0.305
"11",20,3,144.324142857141,100,17.039,21.046,0,6.2,55.7,35.5,2.6,9.669,16.092,40.077,27.951,7.211
"12",20,5,144.404428571427,100,13.814,17.644,0,0.1,0.6,14.7,84.6,4.541,5.39,7.672,20.204,63.193
"13",30,1,144.884142857141,100,29.257,60.584,34.7,51.6,13.6,0.1,0,31.676,42.362,17.249,6.869,2.844
"14",30,3,144.236714285712,100,25.506,55.358,1.5,22.5,55.4,19.5,1.1,5.312,25.25,41.54,20.13,8.768
"15",30,5,144.465142857141,100,21.224,51.267,0,0.1,5.1,38.3,56.5,0.909,3.902,13.977,33.886,48.326
"16",20,1,144.035428571427,100,16.823,47.24,90.6,9.2,0.2,0,0,91.368,7.29,0.942,1.017,0.383
"17",20,3,144.575428571426,100,12.434,35.709,20.9,62.5,15.8,0.6,0.2,43.203,46.309,9.047,1.698,0.743
"18",20,5,144.147142857141,100,10.878,33.502,0,3.1,30.5,48,18.4,9.443,15.601,30.958,30.051,14.947
"19",30,1,87.0397142857143,60,16.33,26.404,24.2,55.1,18.6,1.6,0.5,25.0866666666667,43.1083333333333,19.66,9.58999999999999,4.22166666666667
"20",30,3,87.2742857142857,60,14.023,23.637,0.4,10.2,57,27.9,4.5,4.41166666666667,16.8966666666667,40.3033333333333,26.3,13.755
"21",30,5,87.2422857142857,60,10.927,19.892,0,0,2.7,27.7,69.6,1.21166666666667,4.79,12.0833333333333,27.1316666666667,56.45
"22",20,1,87.0771428571427,60,8.947,18.039,73.6,25.5,0.9,0,0,79.3883333333333,19.1983333333333,1.86,0.931666666666668,0.288333333333333
"23",20,3,86.9301428571428,60,6.915,13.848,5.2,39.7,43.9,8.7,2.5,29.1766666666667,37.3183333333333,24.4666666666667,8.04999999999999,2.655
"24",20,5,86.4404285714286,60,5.692,12.379,0,1.4,11.7,40.1,46.8,10.4883333333333,12.4866666666667,19.3033333333333,29.1533333333333,30.235
"25",30,1,87.3377142857142,60,17.141,19.851,9.8,53.3,34.9,1.7,0.3,14.9416666666667,40.6566666666667,32.4616666666667,9.96000000000001,3.64666666666667
"26",30,3,86.1374285714286,60,14.773,16.829,0,3.9,43.2,44,8.9,3.07666666666667,11.7233333333333,33.7266666666667,35.5833333333333,17.5566666666667
"27",30,5,87.4414285714285,60,11.333,13.607,0,0,1,11.4,87.6,0.991666666666667,4.24166666666667,8.47666666666667,18.0016666666667,69.955
"28",20,1,87.5204285714285,60,9.611,11.69,33.7,54,11.7,0.6,0,51.265,38.8366666666667,9.285,1.79166666666667,0.488333333333333
"29",20,3,86.9022857142856,60,7.963,10.045,1.1,11.8,45.6,34,7.5,16.6766666666667,22.4433333333333,32.9983333333333,21.7333333333333,7.815
"30",20,5,86.8771428571429,60,6.366,8.161,0,0.2,3.8,18.8,77.2,7.69833333333334,8.86666666666666,12.7383333333333,22.3133333333333,50.05
"31",30,1,87.6155714285713,60,16.222,33.616,34.2,44.4,17.7,3.4,0.3,32.33,34.6383333333333,18.61,10.9116666666667,5.17666666666667
"32",30,3,87.7815714285713,60,13.652,30.175,1.6,23.6,47.3,22.5,5,6.64166666666667,26.6116666666667,34.4116666666667,21.0883333333333,12.9133333333333
"33",30,5,88.0032857142856,60,10.563,26.329,0,0.4,11,41.7,46.9,1.77666666666667,7.31166666666667,19.235,31.7833333333333,41.56
"34",20,1,86.5017142857142,60,8.863,24.895,91.1,8,0.8,0,0.1,92.3916666666667,5.85666666666667,1.28166666666667,1.60666666666667,0.53
"35",20,3,86.6791428571429,60,6.214,18.213,30.7,55.9,11.1,1.3,1,54.105,37.4033333333334,6.89666666666667,2.24,1.02166666666667
"36",20,5,87.0415714285713,60,5.044,15.605,0.3,11.8,39.9,31.2,16.8,17.1816666666667,24.1883333333333,26.8283333333333,21.01,12.4583333333333
"37",30,1,44.2267142857144,30,5.811,10.227,22.6,40.4,20.1,9.7,7.2,25.01,33.4266666666667,23.2966666666667,14.5733333333333,7.02666666666667
"38",30,3,44.4118571428573,30,4.444,8.113,1.6,14.1,35.4,29.1,19.8,7.90666666666667,21.8066666666667,31.4466666666667,25.1566666666667,17.0166666666667
"39",30,5,44.3845714285716,30,3.081,6.14,0,0.7,6.8,27,65.5,2.61,9.47333333333333,18.8033333333333,27.12,45.3266666666667
"40",20,1,43.9755714285716,30,2.743,5.971,75.4,20.1,1.8,1.2,1.5,86.3666666666667,12.38,2.75666666666667,1.43333333333333,0.396666666666667
"41",20,3,44.430142857143,30,1.93,4.063,18.7,44.1,23,9.9,4.3,52.0533333333333,30.1666666666667,12.66,6.06333333333333,2.39
"42",20,5,44.2595714285715,30,1.424,3.037,1.8,14.6,27,29.8,26.8,26.3966666666667,24.5566666666667,20.4066666666667,17.4266666666667,14.5466666666667
"43",30,1,44.4374285714287,30,5.798,6.962,12.6,34.2,36,12.3,4.9,18.9866666666667,32.8266666666667,30.85,14.2333333333333,6.43666666666667
"44",30,3,44.4495714285715,30,4.609,5.441,0.8,6.6,28.7,39.9,24,6.06666666666667,17.77,29.4833333333333,28.65,21.3633333333333
"45",30,5,44.6237142857144,30,3.209,4.062,0,0.2,3.6,18.2,78,2.29333333333333,8.68666666666667,15.5333333333333,23.3,53.52
"46",20,1,43.879142857143,30,2.896,3.593,37.6,43.3,13.4,3.3,2.4,65.3066666666666,26.6,7.85333333333334,2.76,0.813333333333332
"47",20,3,44.1260000000001,30,2.081,2.623,3.7,25.6,33.2,25.4,12.1,33.2666666666667,29.3066666666667,21.2766666666667,12.7366666666667,6.74666666666667
"48",20,5,44.1240000000001,30,1.444,1.943,0.1,4.2,13.6,29.1,53,18.3766666666667,18.48,19.6733333333333,20.5366666666667,26.2666666666667
"49",30,1,44.4952857142858,30,5.739,13.506,32.1,33.6,12,13.2,9.1,31.7466666666666,28.2733333333333,19.09,16.5033333333333,7.72
"50",30,3,44.1807142857144,30,4.414,11.055,6.3,25,29.9,18.6,20.2,11.9666666666667,25.9133333333333,28.1233333333333,22.05,15.28
"51",30,5,44.1008571428573,30,3.119,8.475,0.1,3.2,21.5,28.4,46.8,3.98333333333333,13.4333333333333,24.6166666666667,27.4666666666667,33.8333333333333
"52",20,1,44.0678571428573,30,2.879,8.812,88.7,6.2,0.4,2.7,2,91.6066666666667,5.49,2.35333333333333,3.05,0.833333333333333
"53",20,3,44.8634285714287,30,1.811,5.723,51.1,36.2,7.1,2.4,3.2,72.4933333333334,21.55,5.20666666666667,3.02,1.06333333333333
"54",20,5,44.4112857142858,30,1.241,4.188,6.7,29.2,28.4,18.8,16.9,37.5766666666667,28.0533333333333,17.3266666666666,12.61,7.76666666666667
