"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,143.991428571426,100,29.28,48.32,21,69,10,0,0,22.41,51.15,18.41,6.51,2.52
"2",30,3,144.851428571427,100,26.69,45.14,0,5,66,29,0,2.68,12.52,48.87,26.93,10
"3",30,5,143.221428571427,100,22.81,37.96,0,0,2,28,70,0.55,2.96,9.11,29.13,59.25
"4",20,1,144.844285714284,100,17.84,33.82,78,22,0,0,0,78.47,21.05,0.83,0.5,0.15
"5",20,3,145.192857142855,100,13.96,29.23,4,37,52,6,1,20.04,38.19,31.26,9.06,2.45
"6",20,5,143.488571428569,100,13.31,27.64,0,0,3,38,59,5.08,6.07,14.9,37.6,37.35
"7",30,1,145.459999999998,100,31.86,35.46,10,67,23,0,0,12.07,51.01,30.75,5.52,1.65
"8",30,3,144.449999999998,100,28.36,32.37,0,4,55,39,2,2.16,8.98,41.4,37.7,10.76
"9",30,5,143.872857142855,100,22.64,27.8,0,0,0,4,96,0.53,2.42,4.73,13.17,80.15
"10",20,1,143.922857142855,100,18.57,23.4,27,66,7,0,0,39.94,48.08,10.96,1.73,0.29
"11",20,3,144.875714285713,100,16.5,20.93,0,12,46,39,3,11.35,20.01,33.18,28.13,8.33
"12",20,5,144.317142857141,100,13.63,17.78,0,0,0,12,88,4.57,4.67,6.5,20.31,64.95
"13",30,1,144.395714285712,100,29.63,61.77,33,47,19,1,0,27.26,41.16,21.12,7.51,3.95
"14",30,3,146.324285714284,100,25.55,54.15,3,23,59,14,1,5.11,28.72,44.76,16.37,6.04
"15",30,5,144.072857142855,100,21.43,50.37,0,0,5,39,56,1.26,4.81,13.21,33.42,48.3
"16",20,1,144.345714285713,100,16.71,47.31,94,6,0,0,0,93.59,4.91,0.97,1.08,0.45
"17",20,3,143.075714285712,100,12.43,35.56,26,56,17,1,0,48.06,41.18,9.66,1.37,0.73
"18",20,5,142.189999999998,100,11.51,34.72,0,0,28,46,26,8.11,11.74,27.43,31.26,22.46
"19",30,1,88.3314285714284,60,16.56,27.01,26,53,19,2,0,26.5833333333333,39.7833333333333,20.6333333333333,10.0833333333333,4.58333333333333
"20",30,3,87.2785714285715,60,13.68,23.73,0,9,62,26,3,4.46666666666667,19.2666666666667,40.65,24.7333333333333,12.55
"21",30,5,86.9071428571431,60,10.76,19.58,0,0,2,30,68,1.1,5.25,11.8333333333333,29.4833333333333,54
"22",20,1,85.2157142857142,60,8.39,17.57,69,31,0,0,0,78.3333333333333,20.2166666666667,2.21666666666667,0.633333333333333,0.266666666666667
"23",20,3,86.7999999999997,60,7.11,14.04,7,43,40,8,2,33.3,37.0666666666667,21.1333333333333,7.88333333333333,2.28333333333333
"24",20,5,88.49,60,5.39,12.69,0,0,12,39,49,11.6,11.55,17.8833333333333,30.05,30.5833333333333
"25",30,1,88.1914285714282,60,16.9,20.05,8,56,35,1,0,14.7166666666667,42.6333333333333,33.05,9.01666666666667,2.25
"26",30,3,87.4685714285713,60,14.94,16.75,0,5,39,45,11,2.81666666666667,10.9666666666667,32.3,36.4166666666667,19.1666666666667
"27",30,5,87.7828571428571,60,11.13,14.09,0,0,1,12,87,0.833333333333333,3.75,9.53333333333333,21.6333333333333,65.9166666666667
"28",20,1,86.6014285714286,60,9.63,11.76,35,55,9,1,0,52.3333333333333,38.85,8.31666666666667,1.65,0.516666666666667
"29",20,3,86.1542857142857,60,7.92,10.57,0,14,51,33,2,18,24.45,31.5333333333333,21.3666666666667,6.31666666666667
"30",20,5,85.747142857143,60,6.27,8.16,0,0,5,23,72,7.66666666666667,8.83333333333333,14.75,23.9666666666667,46.45
"31",30,1,88.3828571428569,60,16.21,33.09,37,38,22,3,0,35.5666666666667,31.9166666666667,19.3,10.3833333333333,4.5
"32",30,3,87.4657142857144,60,14.36,30.34,1,25,51,19,4,4.28333333333333,26.5166666666667,36.0833333333333,21.35,13.4333333333333
"33",30,5,88.8714285714281,60,10.91,26.33,0,1,11,48,40,2.1,8.06666666666667,19.1166666666667,31.4333333333333,40.95
"34",20,1,87.6399999999999,60,8.85,25.03,92,7,1,0,0,92.9166666666667,5.88333333333333,1.46666666666667,1.21666666666667,0.183333333333333
"35",20,3,86.8171428571431,60,6.33,18.31,31,56,13,0,0,55.1333333333333,36.6333333333333,6.71666666666667,2.28333333333333,0.9
"36",20,5,86.7228571428574,60,5.02,15.26,0,12,36,38,14,17.0166666666667,26.3333333333333,25.45,20.4,12.4666666666667
"37",30,1,44.7057142857145,30,5.73,9.96,25,42,17,11,5,27,34.0333333333333,22.7666666666667,13.9,5.63333333333333
"38",30,3,44.6942857142859,30,4.62,8.33,0,11,41,22,26,6.1,19.8333333333333,32.2666666666667,25.3,19.8333333333333
"39",30,5,44.6400000000001,30,3.24,6.51,0,0,6,22,72,2.06666666666667,8.56666666666667,17.0666666666667,27.1,48.5333333333333
"40",20,1,43.5100000000001,30,2.81,6.1,74,22,2,1,1,86.0333333333333,12.1,2.96666666666667,1.83333333333333,0.4
"41",20,3,43.6685714285716,30,1.82,4.08,15,54,21,9,1,53.7333333333333,30.2333333333333,12.6666666666667,4.93333333333333,1.76666666666667
"42",20,5,44.2785714285716,30,1.43,2.76,1,10,31,35,23,24.4666666666667,24.6666666666667,21.7666666666667,17.8333333333333,14.6
"43",30,1,44.4714285714287,30,5.82,6.44,6,44,36,10,4,17.9333333333333,34.2333333333333,30.3666666666667,14.9,5.9
"44",30,3,43.6885714285716,30,4.6,5.66,1,9,27,39,24,5.9,19.2333333333333,28.9,30.6666666666667,18.6333333333333
"45",30,5,44.8814285714287,30,3.05,4.01,0,0,4,15,81,2.53333333333333,8.2,14.9333333333333,19.3666666666667,58.3
"46",20,1,43.6171428571429,30,2.81,3.69,41,41,7,6,5,63.7333333333333,28.2,7.5,2.86666666666667,1.03333333333333
"47",20,3,44.2228571428572,30,2.12,2.64,7,20,38,23,12,34.4333333333333,28.1666666666667,22.8,12.7333333333333,5.2
"48",20,5,43.8585714285716,30,1.31,2.02,0,3,16,22,59,18.0333333333333,18.4,18.5333333333333,19.2666666666667,29.1
"49",30,1,45.1000000000002,30,6.02,13.34,32,31,16,11,10,30.3333333333333,27.6333333333333,18.4333333333333,18.5,8.43333333333333
"50",30,3,44.0328571428573,30,4.66,10.97,3,25,38,13,21,8.6,25.6333333333333,33.5333333333333,22.4333333333333,13.1333333333333
"51",30,5,44.8685714285715,30,3.45,8.13,0,4,28,32,36,4.3,15.2333333333333,25.4333333333333,29.2333333333333,29.1333333333333
"52",20,1,43.4942857142858,30,2.67,9.05,90,5,1,1,3,90.5333333333333,4.96666666666667,3.63333333333333,2.7,1.5
"53",20,3,44.7342857142858,30,2.09,5.64,54,36,6,2,2,72.3666666666667,23.3333333333333,4.93333333333333,2.16666666666667,0.533333333333333
"54",20,5,45.2128571428572,30,1.13,4.65,6,32,29,15,18,35.5666666666667,31.4333333333333,17.1333333333333,12.4,6.8
