"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,145.145892857139,100,31.8475,49.96,12,71,16.625,0.375,0,11.7675,50.4475,25.89375,8.03,4.86125
"2",30,3,145.924821428568,100,29.0025,46.96125,0,1.625,62.5,34.875,1,1.1175,4.29625,42.35625,35.955,17.275
"3",30,5,145.869821428568,100,23.7025,41.19875,0,0,0.25,14.625,85.125,0.54,0.70125,1.95125,14.82875,82.97875
"4",20,1,146.058392857139,100,19.9475,39.12625,31.375,62.625,6,0,0,30.7225,50.86625,13.4375,3.6325,2.34125
"5",20,3,145.868928571425,100,18.755,36.54125,0.125,6.5,69,23.5,0.875,3.13875,10.73875,47.0875,27.31875,12.71625
"6",20,5,145.38589285714,100,15.365,31.34875,0,0,0.5,25.875,73.625,1.38875,1.43125,3.795,23.18,71.205
"7",30,1,146.381607142854,100,35.0525,38.5825,2.125,55.875,42,0,0,3.75,35.92125,45.51125,9.29,6.5275
"8",30,3,146.898571428568,100,31.74875,35.44875,0,0.125,37.75,58.25,3.875,0.77125,1.7725,25.01375,46.88125,26.56125
"9",30,5,145.967321428568,100,24.0375,28.3975,0,0,0,4.75,95.25,0.5125,0.6375,1.345,6.84,91.665
"10",20,1,145.851071428568,100,23.89375,28.19,6.5,58.625,34.75,0.125,0,10.04625,40.66125,37.5275,7.79875,4.96625
"11",20,3,147.266428571425,100,21.33875,26.01,0,1,37.5,55.25,6.25,2.24625,3.3375,24.84,43.74625,26.83
"12",20,5,146.895535714283,100,15.66125,19.6075,0,0,0,7.875,92.125,1.13375,1.13625,2.0825,9.04625,87.60125
"13",30,1,144.385178571425,100,30.49,61.62625,27.75,50.75,21.125,0.375,0,22.315,41.82125,23.8025,8.55,4.51125
"14",30,3,146.437142857139,100,28.11125,58.10625,0.125,10.875,61.875,25.75,1.375,1.64,11.75875,45.275,27.43125,14.895
"15",30,5,146.04089285714,100,22.4375,53.82125,0,0.125,0.875,31.125,67.875,0.58,1.145,5.03375,27.84,66.40125
"16",20,1,145.761249999997,100,18.06625,48.95625,76.875,22.125,1,0,0,67.34625,26.605,4.06375,1.945,1.04
"17",20,3,145.849107142854,100,16.1125,43.4025,2.25,41.625,49.5,6.625,0,7.4575,37.36,39.135,11.5025,5.545
