"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,146.912857142854,100,31.97,49.9,17,66,17,0,0,12.48,47.48,29.33,6.88,4.83
"2",30,3,146.884285714282,100,28.9,47.19,0,2,60,37,1,0.96,4.27,42.35,35.52,17.9
"3",30,5,148.835714285711,100,24.03,41.12,0,0,0,17,83,0.5,0.68,2.05,17.22,80.55
"4",20,1,145.352857142854,100,19.57,40.39,18,72,10,0,0,23.62,54.16,16.17,4.34,2.71
"5",20,3,142.712857142854,100,19.02,36.11,0,7,74,19,0,3.14,11.93,46.72,27.04,12.17
"6",20,5,148.092857142854,100,15.54,32.6,0,0,2,25,73,1.1,1.22,3.44,21.05,74.19
"7",30,1,147.422857142854,100,35.89,38.11,3,53,44,0,0,4.25,30.68,49.24,10.16,6.67
"8",30,3,144.852857142853,100,31.02,35.45,0,0,36,58,6,0.79,2.65,24.1,46.61,26.85
"9",30,5,148.88714285714,100,24.13,28.37,0,0,0,4,96,0.47,0.98,1.81,8.14,89.6
"10",20,1,145.318571428568,100,23.37,27.74,7,62,31,0,0,9.87,44.09,35.93,6.64,4.47
"11",20,3,148.032857142854,100,21.99,25.42,0,2,39,54,5,2.34,3.56,23.65,45.78,25.67
"12",20,5,147.658571428568,100,15.06,20.47,0,0,0,9,91,1.15,0.9,2,9.34,87.61
"13",30,1,142.592857142854,100,30.17,60.69,30,49,21,0,0,24.73,40.86,21.89,9.04,4.48
"14",30,3,145.435714285711,100,28.4,58.59,0,8,61,31,0,1.65,9.08,44.36,29.83,16.08
"15",30,5,142.90714285714,100,22.76,53.71,0,0,1,34,65,0.57,1.31,3.87,28.28,66.97
"16",20,1,145.905714285711,100,17.84,48.25,88,12,0,0,0,72.45,22.44,3.78,1.43,0.9
"17",20,3,147.701428571426,100,15.86,43.96,5,41,49,5,0,9.33,38.33,36.11,11.98,5.25
"18",20,5,144.348571428568,100,13.92,40.42,0,0,7,49,44,1.54,2.78,14.29,41.48,40.91
"19",30,1,87.9499999999993,60,18.21,26.93,14,54,31,1,0,13.45,36.3833333333333,30.45,11.7333333333333,9.65
"20",30,3,89.3742857142854,60,15.73,25.16,0,7,49,37,7,1.36666666666667,7.76666666666667,34.7,32.0833333333333,25.75
"21",30,5,86.4485714285712,60,11.88,21.06,0,0,0,20,80,1,1.06666666666667,3.58333333333333,13.9,82.1166666666667
"22",20,1,89.2128571428568,60,11.38,21.02,28,62,9,1,0,26.7333333333333,46.5,18.8,6.33333333333333,3.3
"23",20,3,88.5399999999994,60,10.03,19.19,1,10,53,33,3,5.75,13.35,36.2666666666667,26.8833333333333,19.4166666666667
"24",20,5,87.7328571428562,60,7.77,15.83,0,0,2,19,79,1.75,2.33333333333333,5.71666666666667,19.4833333333333,72.3833333333333
