"","dlttarget","situation","targetdose","truedrprob_targetdose","truedltprob_targetdose","n","dr_bias","dlt_bias","dr_variance","dlt_variance"
"1",20,"higherDR",1,38.2,13.4,10,-0.136918426017704,-0.0538102044490675,0.0233414799728812,0.00429884334234222
"2",20,"higherDR",1,38.2,13.4,20,-0.168032234574309,-0.0645407447336138,0.0145448769998895,0.003015499546461
"3",20,"higherDR",1,38.2,13.4,30,-0.15634072714776,-0.0581634929025478,0.00989740027389425,0.00233153816099342
"4",20,"higherDR",1,38.2,13.4,40,-0.146376302106884,-0.0539952035805209,0.00767567595908542,0.00178163894783895
"5",20,"higherDR",1,38.2,13.4,50,-0.139953918030729,-0.052833956815458,0.00685571305728773,0.00133782552839808
"6",20,"higherDR",1,38.2,13.4,60,-0.136014651889321,-0.051527230812864,0.00586892317022703,0.00116974060058912
"7",20,"higherDR",1,38.2,13.4,70,-0.132604037437968,-0.0513478970484184,0.00549366420497029,0.00102213729762386
"8",20,"higherDR",1,38.2,13.4,80,-0.13036816574828,-0.0508168131084395,0.00521211558903182,0.000928649029833598
"9",20,"higherDR",1,38.2,13.4,90,-0.12756308596421,-0.0503995498038026,0.00504949763115253,0.000871533501009158
"10",20,"higherDR",1,38.2,13.4,100,-0.126052904240362,-0.0501201393276725,0.00479451598884487,0.000805317849591315
"11",20,"higherDR",1,55,20.1,10,-0.174902891884453,-0.0712184396574439,0.0357915367837185,0.00897548009793626
"12",20,"higherDR",1,55,20.1,20,-0.152587141554342,-0.0721608314570452,0.0227122282294305,0.00672310998568305
"13",20,"higherDR",1,55,20.1,30,-0.115072953350411,-0.0508213440861127,0.0150872225942555,0.00558932331340507
"14",20,"higherDR",1,55,20.1,40,-0.0906975977320693,-0.0406477915446184,0.0118703474805395,0.00429011073941244
"15",20,"higherDR",1,55,20.1,50,-0.0746035977257203,-0.0355993524067291,0.0100991939536066,0.00358022399754991
"16",20,"higherDR",1,55,20.1,60,-0.0642160685720883,-0.0313370861297268,0.00837330692515634,0.00320324493358733
"17",20,"higherDR",1,55,20.1,70,-0.0558306010397605,-0.0291124529877395,0.00707382604765664,0.00279107914711113
"18",20,"higherDR",1,55,20.1,80,-0.0501121246548588,-0.0261835935731071,0.00609634393221585,0.00240192586090078
"19",20,"higherDR",1,55,20.1,90,-0.0439678117161027,-0.0242459654757217,0.00541769419127223,0.00221124345390528
