"","dlttarget","situation","targetdose","truedrprob_targetdose","truedltprob_targetdose","n","dr_bias","dlt_bias","dr_variance","dlt_variance"
"1",20,"higherDR",1,55.1,20.3,10,0.0696891369330929,0.0249752428922162,0.0064963632783743,0.0150686527627392
"2",20,"higherDR",1,55.1,20.3,20,0.054271495777229,0.0239242124937064,0.00878187271107065,0.0151921044655644
"3",20,"higherDR",1,55.1,20.3,30,0.03954843412754,0.0230013134232958,0.00769446563712604,0.0101997076427248
"4",20,"higherDR",1,55.1,20.3,40,0.0315045027824306,0.0160049363486867,0.00624031622735347,0.00606952479434734
"5",20,"higherDR",1,55.1,20.3,50,0.0283429511321542,0.0129553715367701,0.00512701079916857,0.00456478850334355
"6",20,"higherDR",1,55.1,20.3,60,0.0246392392870254,0.0119522416481176,0.00466658121442747,0.00364831391537501
"7",20,"higherDR",1,55.1,20.3,70,0.0243036715050888,0.00893612316972057,0.00393418645816811,0.00305279018075696
"8",20,"higherDR",1,55.1,20.3,80,0.0229923639037319,0.00811352489923099,0.00327329667760512,0.00248431724094201
"9",20,"higherDR",1,55.1,20.3,90,0.0218564176468432,0.0074414265120192,0.00296149154308994,0.00209757622321136
"10",20,"higherDR",1,55.1,20.3,100,0.0214414438622324,0.0073509646012259,0.00267663336613019,0.00184803511558973
"11",20,"higherDR",2,35.3,11.3,10,0.349065413086117,0.141301831788526,0.00451033811738975,0.00852131869863855
"12",20,"higherDR",2,35.3,11.3,20,0.295469258780159,0.109439083044154,0.0103956045252977,0.0142369904130287
"13",20,"higherDR",2,35.3,11.3,30,0.266985801091128,0.109974263669985,0.011371054550084,0.0132126957257766
"14",20,"higherDR",2,35.3,11.3,40,0.252348534755252,0.112554054849099,0.0103513378080677,0.009960142968555
"15",20,"higherDR",2,35.3,11.3,50,0.242355672905161,0.110280070957324,0.0087035329833727,0.00791448607629726
"16",20,"higherDR",2,35.3,11.3,60,0.233978484216651,0.108993553381689,0.0078631450280097,0.00621464214288437
"17",20,"higherDR",2,35.3,11.3,70,0.226764395543941,0.107503067720998,0.0072970476563646,0.00517180715750177
"18",20,"higherDR",2,35.3,11.3,80,0.223367424695806,0.106901352737055,0.00686422552867742,0.0045888372053811
"19",20,"higherDR",2,35.3,11.3,90,0.222342676907695,0.105923667592592,0.00652087231371292,0.00410366571879503
"20",20,"higherDR",2,35.3,11.3,100,0.220941336262194,0.104240746450217,0.00615954359165354,0.00366591652635479
"21",20,"higherDR",3,30,9.2,10,0.432916120641753,0.197378496413041,0.00456721614835487,0.0092413831375817
"22",20,"higherDR",3,30,9.2,20,0.366152302636254,0.121622474265208,0.0147257546407747,0.00975271812223548
"23",20,"higherDR",3,30,9.2,30,0.315557411684995,0.102219204906427,0.0174366575194454,0.0104267942913084
"24",20,"higherDR",3,30,9.2,40,0.281322073971988,0.0907434610032054,0.0170456424205197,0.008110211117116
"25",20,"higherDR",3,30,9.2,50,0.256431432736928,0.0875934715435873,0.0155108403425805,0.00707936109025591
"26",20,"higherDR",3,30,9.2,60,0.235588748640326,0.0836279947922956,0.014329931942332,0.00618635524148002
"27",20,"higherDR",3,30,9.2,70,0.21858587588151,0.0796486913251458,0.0131120572306511,0.00540116551901184
"28",20,"higherDR",3,30,9.2,80,0.205933226817752,0.0748114636314347,0.0121222600448426,0.00450027929033846
"29",20,"higherDR",3,30,9.2,90,0.195813038508068,0.0709416645190337,0.0109359807584528,0.00384760206680681
"30",20,"higherDR",3,30,9.2,100,0.187631219141125,0.0670904244383015,0.0100235184155886,0.0032674892625605
"31",20,"lowerDR",1,25,20.2,10,0.274891314497629,-0.00525343536934404,0.00838952564343671,0.00886164483626745
"32",20,"lowerDR",1,25,20.2,20,0.154984744901306,-0.0233927804757725,0.00998589259514075,0.00881954454951574
"33",20,"lowerDR",1,25,20.2,30,0.0939538348336039,-0.0209403356247818,0.00814189026734551,0.00652585309970271
"34",20,"lowerDR",1,25,20.2,40,0.0600887624782835,-0.020611745621331,0.00595330187355258,0.00444212679035867
"35",20,"lowerDR",1,25,20.2,50,0.0398008365043476,-0.0228018135838179,0.00484197697076701,0.00338306237629976
"36",20,"lowerDR",1,25,20.2,60,0.0266736076490243,-0.0238631831791011,0.00430128643926169,0.00291527473154725
"37",20,"lowerDR",1,25,20.2,70,0.0146771106408831,-0.0257577595594338,0.00396312446660385,0.00264559967957373
"38",20,"lowerDR",1,25,20.2,80,0.00672187612280292,-0.0275833017640095,0.00367748817337174,0.00249032548792179
"39",20,"lowerDR",1,25,20.2,90,0.000330377564175044,-0.0289856742175754,0.0035005282973152,0.00239727469613553
"40",20,"lowerDR",1,25,20.2,100,-0.00470024554501972,-0.0300860055869499,0.00334475022462755,0.00226220321298606
"41",20,"lowerDR",3,25,20,10,0.438640130494827,0.0840084546199482,0.00692831452451574,0.0117817784605453
"42",20,"lowerDR",3,25,20,20,0.312745209979523,0.0409515832199644,0.0171526482842463,0.0146772110122695
"43",20,"lowerDR",3,25,20,30,0.23710428605345,0.0349281757003761,0.0152936622914597,0.0111999611883044
"44",20,"lowerDR",3,25,20,40,0.180773339828439,0.0339599297789149,0.0124849715906286,0.00922066862683644
"45",20,"lowerDR",3,25,20,50,0.145965639553466,0.0308344847346758,0.0107484860340237,0.0071090948085244
"46",20,"lowerDR",3,25,20,60,0.118706757535287,0.0280680399944815,0.00877851578213096,0.0054188685565241
"47",20,"lowerDR",3,25,20,70,0.0990209206665248,0.0242823815889742,0.00717078820204893,0.00453064994932991
"48",20,"lowerDR",3,25,20,80,0.0834604983894894,0.0218429348589305,0.00592623490160914,0.00411071705545984
"49",20,"lowerDR",3,25,20,90,0.0716002252029926,0.0185827144983242,0.0050042995794723,0.00353025888620461
"50",20,"lowerDR",3,25,20,100,0.0613056272760142,0.0149196694188027,0.00428883133026541,0.00294126206124876
"51",20,"lowerDR",5,25.1,20.2,10,0.472393668600535,0.235349616207454,0.00427667933170382,0.0269307272532035
"52",20,"lowerDR",5,25.1,20.2,20,0.344541423339915,0.110175278061567,0.0151117279054977,0.0220854976005997
"53",20,"lowerDR",5,25.1,20.2,30,0.246646107064989,0.0705742519827925,0.016697498500487,0.0154588968300369
"54",20,"lowerDR",5,25.1,20.2,40,0.191634300931506,0.0554980374896993,0.0134284536331654,0.0110429235037033
"55",20,"lowerDR",5,25.1,20.2,50,0.150482854068876,0.0421347616639,0.0102313883559189,0.00792907619303623
"56",20,"lowerDR",5,25.1,20.2,60,0.119963722945926,0.0327429953234128,0.00820785209252195,0.0060515361490456
"57",20,"lowerDR",5,25.1,20.2,70,0.098870890562985,0.0255370795297096,0.00651221259254816,0.00482165709360927
"58",20,"lowerDR",5,25.1,20.2,80,0.0836528107944036,0.0212011273880902,0.00535857835022252,0.003980669652616
"59",20,"lowerDR",5,25.1,20.2,90,0.0713406429676492,0.0182414056688761,0.00428294628983229,0.00338684563460707
"60",20,"lowerDR",5,25.1,20.2,100,0.0622488803771502,0.0154245715265461,0.00368511174596875,0.00295372070129519
"61",20,"null",1,39.9,20.2,10,0.182561024919945,0.0141023429615797,0.00652785989318629,0.0100336171994319
"62",20,"null",1,39.9,20.2,20,0.112793692532432,0.0102516018875541,0.00973316742708043,0.0127890988792453
"63",20,"null",1,39.9,20.2,30,0.0719571256783195,0.00660426424682999,0.0090260788606289,0.0081189504141384
"64",20,"null",1,39.9,20.2,40,0.0493679940832315,0.00819113890922658,0.00714208095891772,0.00508987268434597
"65",20,"null",1,39.9,20.2,50,0.0352966813358515,0.00819419124802773,0.00572070839603635,0.00376833972741937
"66",20,"null",1,39.9,20.2,60,0.0285507649779964,0.00693161251797148,0.00509442384623292,0.00309025690649174
"67",20,"null",1,39.9,20.2,70,0.0227933644123314,0.00626867722815005,0.00455088028732018,0.00270843434908806
"68",20,"null",1,39.9,20.2,80,0.0210690851539716,0.00581076582716663,0.00410057946182279,0.00238249684862641
"69",20,"null",1,39.9,20.2,90,0.0192663720095631,0.00456780628454036,0.00380714204290085,0.00208626908269007
"70",20,"null",1,39.9,20.2,100,0.018476552285134,0.00382749198787124,0.00340489846145365,0.0018997308552107
"71",20,"null",3,40.9,20.2,10,0.328896705535949,0.123523776701723,0.00409590599819174,0.0140653326910935
"72",20,"null",3,40.9,20.2,20,0.274244595799671,0.0697420286534929,0.0104917740229816,0.0197638101236265
"73",20,"null",3,40.9,20.2,30,0.227728066341625,0.0629064283848224,0.0128316584313002,0.0187215610935754
"74",20,"null",3,40.9,20.2,40,0.19745285422859,0.0739244174951379,0.0114311952441223,0.0161390593317609
"75",20,"null",3,40.9,20.2,50,0.175681084788678,0.0780903502288788,0.0101703130635628,0.0140818929651794
"76",20,"null",3,40.9,20.2,60,0.158911769681721,0.0818633744871791,0.0102927041564352,0.0121766261072675
"77",20,"null",3,40.9,20.2,70,0.145713166474032,0.0819516785619088,0.00963291256756689,0.0109861615912612
"78",20,"null",3,40.9,20.2,80,0.133863509536836,0.0809567154518467,0.00915407936406852,0.0092615043398395
