"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,131.629428571426,100,27.84,46.9022222222222,53.1111111111111,46.6666666666667,0.222222222222222,0,0,51.5533333333333,43.6166666666667,4.91444444444444,0.76,0.155555555555556
"2",30,3,131.186285714283,100,25.2522222222222,42.7644444444444,0.111111111111111,13.7777777777778,80.5555555555556,5.55555555555556,0,4.67444444444444,21.3644444444444,59.9377777777778,12.6688888888889,2.35444444444444
"3",30,5,131.211428571426,100,22.5888888888889,40.4744444444445,0,0,1.11111111111111,29.6666666666667,69.2222222222222,1.54,2.51777777777778,8.11111111111111,30.4366666666667,58.3944444444444
"4",20,1,130.722999999997,100,18.5088888888889,37.3211111111111,62.2222222222222,37.4444444444444,0.333333333333333,0,0,60.2122222222222,36.0155555555556,4.02666666666667,0.567777777777778,0.177777777777778
"5",20,3,130.217714285711,100,16.6144444444444,33.0111111111111,0.777777777777778,18.3333333333333,74.1111111111111,6.77777777777778,0,7.10888888888889,24.9066666666667,54.0555555555556,12.2166666666667,2.71222222222222
"6",20,5,130.95314285714,100,14.9311111111111,30.6644444444444,0,0,1.22222222222222,35.2222222222222,63.5555555555556,2.25444444444444,3.17222222222222,9.30555555555556,32.5011111111111,53.7666666666667
"7",30,1,130.846857142854,100,32.4544444444444,37.5111111111111,3.66666666666667,58.4444444444444,37.8888888888889,0,0,10.7755555555556,48.51,37.0711111111111,3.66777777777778,0.975555555555555
"8",30,3,130.812285714283,100,30.9511111111111,35.4277777777778,0,0.222222222222222,25,70.2222222222222,4.55555555555556,2.08666666666667,4.42,26.6255555555556,52.1566666666667,15.7111111111111
"9",30,5,130.854714285711,100,24.3544444444445,29.1477777777778,0,0,0.111111111111111,1.77777777777778,98.1111111111111,1.03222222222222,1.28111111111111,2.82,7.36777777777778,88.4988888888889
"10",20,1,131.519857142854,100,23.0022222222222,27.6566666666667,5.77777777777778,53.5555555555556,40.6666666666667,0,0,14.71,45.4966666666667,35.8466666666667,3.83777777777778,1.10888888888889
