"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,145.011428571425,100,27.42,46.24,59,41,0,0,0,58.63,37.41,4.13,0.71,0.12
"2",30,3,145.842857142853,100,25.32,42.9,0,8,88,4,0,3.89,16.95,65.23,12.22,2.71
"3",30,5,146.791428571425,100,23.33,40.6,0,0,1,21,78,1.19,1.59,7.82,24.19,66.21
"4",20,1,144.501428571425,100,19.43,37.29,50,49,1,0,0,49.08,43.65,7.13,0.96,0.18
"5",20,3,145.359999999996,100,17.23,32.77,1,14,77,8,0,7.4,21.88,55.37,12.37,3.98
"6",20,5,145.462857142854,100,15.33,31.07,0,0,1,28,71,2.14,2.68,7.51,29.39,59.28
"7",30,1,145.471428571425,100,31.56,36.56,1,71,28,0,0,8.88,60.51,27.73,3,0.88
"8",30,3,147.181428571426,100,31.02,34.86,0,1,33,63,3,2.65,5.2,30.56,47.84,14.75
"9",30,5,146.192857142854,100,25.17,29.04,0,0,0,3,97,1.03,1.54,3.03,7.78,87.62
"10",20,1,146.002857142853,100,23.23,27.87,4,57,39,0,0,12.24,49.47,33.71,4.46,1.12
"11",20,3,147.262857142854,100,21.63,26.31,0,0,16,65,19,3.24,5.54,23.13,41.34,27.75
"12",20,5,146.299999999996,100,15.58,19.95,0,0,0,0,100,1.48,1.64,3.42,7.27,87.19
"13",30,1,145.834285714283,100,26.01,58.62,100,0,0,0,0,92.22,5.22,2.14,1.23,0.19
"14",30,3,142.488571428569,100,20.53,48.37,21,72,7,0,0,29.38,56.65,13.11,1.37,0.49
"15",30,5,145.158571428568,100,17.67,45.15,0,3,47,50,0,3.46,9.49,46.81,34.68,6.56
"16",20,1,143.231428571425,100,17.3,48.16,100,0,0,0,0,95.45,4.56,0.82,0.14,0.03
"17",20,3,145.879999999997,100,12.77,37.8,26,69,5,0,0,31.46,55.96,12.18,1.11,0.29
"18",20,5,144.372857142853,100,11.25,35.7,0,7,56,35,2,4.57,11.7,45.23,32.76,6.74
"19",30,1,89.248571428571,60,15.3,25.12,52,47,1,0,0,54.2333333333333,41.0166666666667,5.61666666666667,0.566666666666667,0.233333333333333
"20",30,3,87.851428571428,60,12.72,23.15,1,24,62,13,0,10.4,27.9666666666667,45.0333333333333,15.3166666666667,2.95
"21",30,5,88.0371428571419,60,12.31,20.9,0,0,6,34,60,3.2,3.56666666666667,11.5166666666667,32.1333333333333,51.25
"22",20,1,86.688571428571,60,9.95,20.39,66,34,0,0,0,66.7666666666667,27.8,5.53333333333333,1.28333333333333,0.283333333333333
"23",20,3,88.3042857142851,60,8.87,18.23,1,16,73,9,1,9.05,23.0333333333333,49.7666666666667,15.7,4.11666666666667
"24",20,5,87.1557142857134,60,7.62,15.2,0,0,3,36,61,3.76666666666667,5.08333333333333,16.2833333333333,28.5333333333333,48
"25",30,1,85.9828571428565,60,17.76,20.75,3,60,36,1,0,15.1666666666667,45.9666666666667,32.05,6.61666666666667,1.86666666666667
"26",30,3,87.9857142857137,60,16.69,18.52,0,0,29,62,9,4.23333333333333,7.68333333333333,27.3166666666667,40.9666666666667,21.4666666666667
"27",30,5,87.3557142857135,60,12.57,15.82,0,0,0,8,92,2.31666666666667,2,4.28333333333333,11.9166666666667,81.15
"28",20,1,87.3342857142852,60,11.74,14.84,1,55,43,1,0,15.1166666666667,43.55,36,5.51666666666667,1.48333333333333
"29",20,3,87.2185714285707,60,10.84,13.35,0,3,24,40,33,5.81666666666667,9.91666666666667,24.35,30.7666666666667,30.8166666666667
"30",20,5,89.1057142857138,60,8.27,9.98,0,0,0,3,97,2.33333333333333,3.01666666666667,5.23333333333333,9.35,81.7333333333333
"31",30,1,87.9114285714281,60,14.03,32.5,93,7,0,0,0,84.3333333333333,12.2,3.53333333333333,1.33333333333333,0.266666666666667
"32",30,3,87.5742857142852,60,11.26,26.36,30,57,13,0,0,36.85,48.4333333333333,13.8,2,0.583333333333333
"33",30,5,89.0014285714278,60,9.4,24.86,1,7,59,31,2,5.81666666666667,16.45,44.2333333333333,23.8166666666667,11.35
"34",20,1,88.6028571428567,60,9.54,26.37,99,1,0,0,0,92.4,8.01666666666667,0.9,0.333333333333333,0.0166666666666667
"35",20,3,89.1985714285708,60,7.14,21.25,32,60,8,0,0,35.95,45.8666666666667,15.8666666666667,3.03333333333333,0.95
"36",20,5,89.6157142857137,60,6.1,18.94,1,12,49,31,7,6.48333333333333,17.5833333333333,36.1666666666667,28.6166666666667,12.8166666666667
"37",30,1,44.6757142857146,30,6.05,10.1,49,47,4,0,0,49.1666666666667,37.8333333333333,12.4333333333333,3.13333333333333,0.766666666666667
"38",30,3,44.6785714285718,30,4.75,8.9,2,33,43,20,2,15.0666666666667,30.7,34.2333333333333,15.2,8.13333333333333
"39",30,5,45.8928571428574,30,3.8,7.76,0,1,9,38,52,4.83333333333333,8.43333333333333,16.2666666666667,27.4666666666667,46.3333333333333
"40",20,1,45.3728571428575,30,4.01,7.59,52,41,6,0,1,60.1666666666667,30.8,9.03333333333333,2.3,1.03333333333333
"41",20,3,45.6728571428573,30,2.92,6.06,5,36,42,13,4,18.6,35.5333333333333,30.7666666666667,12.8666666666667,5.56666666666667
"42",20,5,45.4957142857145,30,2.22,5.26,0,2,18,36,44,8.63333333333333,9.76666666666667,24,25.4,35.5333333333333
"43",30,1,44.2500000000003,30,6.43,8.02,12,46,38,4,0,22.4666666666667,36.6666666666667,31.0333333333333,11.0333333333333,2.13333333333333
"44",30,3,45.004285714286,30,5.6,7.01,0,1,17,48,34,5.43333333333333,7.53333333333333,25.8666666666667,30.1666666666667,34.3333333333333
"45",30,5,44.0500000000003,30,4.06,5.34,0,0,1,11,88,4.03333333333333,3.8,9.73333333333333,16.6333333333333,69.1333333333333
"46",20,1,43.9257142857145,30,4.46,5.39,11,35,40,12,2,24.3,30.8666666666667,31.3,11.9666666666667,4.9
"47",20,3,45.1557142857146,30,3.45,4.69,0,7,20,38,35,8.46666666666667,14.1333333333333,26.4,26.9,27.4333333333333
"48",20,5,44.7985714285716,30,2.44,3.31,0,0,1,10,89,5.76666666666667,5.06666666666667,10.7,15.7,66.1
"49",30,1,43.5371428571432,30,5.51,13.95,89,9,1,1,0,78.7,16.1333333333333,5.46666666666667,2.83333333333333,0.2
"50",30,3,42.7042857142861,30,4.06,9.88,25,58,12,5,0,39.0666666666667,40.2,16.6,5.53333333333333,1.93333333333333
"51",30,5,43.5214285714288,30,3.41,8.74,1,10,34,41,14,9.43333333333333,16.6666666666667,34.0666666666667,26.6,16.5666666666667
"52",20,1,45.1942857142859,30,3.62,10.22,94,5,1,0,0,85.2,14.2,3.3,0.533333333333333,0.1
"53",20,3,44.2785714285718,30,2.57,7.49,33,44,19,4,0,44,36.9666666666667,16.7666666666667,4.16666666666667,1.43333333333333
"54",20,5,42.8028571428575,30,1.8,6.25,1,23,36,22,18,14.4666666666667,26,28.0666666666667,19.7,15.1
