"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,144.696142857141,100,29.139,48.04,53.1,42,4.7,0.2,0,48.603,36.045,10.322,4.651,1.379
"2",30,3,144.039857142855,100,25.264,42.301,1.6,24.2,63.2,10.5,0.5,7.14,27.694,46.005,14.879,5.282
"3",30,5,144.546857142855,100,21.448,38.947,0,0.1,3.3,42.7,53.9,1.354,4.44,13.399,37.305,44.502
"4",20,1,144.54357142857,100,17.393,35.159,87.9,12,0.1,0,0,89.965,9.688,0.677,0.533,0.137
"5",20,3,144.638999999998,100,13.415,27.194,6.7,53.4,37.2,2.6,0.1,29.606,46.006,21.29,3.169,0.929
"6",20,5,143.432428571427,100,12.076,25.812,0,0.6,13.6,51.6,34.2,8.566,11.448,22.482,36.126,22.378
"7",30,1,144.320285714284,100,29.764,34.315,34.2,60.4,5.4,0,0,35.544,50.234,11.646,2.814,0.762
"8",30,3,143.970857142855,100,26.633,31.078,0.1,6.3,68.5,24.9,0.2,3.732,15.531,50.754,25.612,5.371
"9",30,5,144.001285714284,100,22.557,27.342,0,0,0.5,21.9,77.6,0.968,3.537,8.08,26.325,62.09
"10",20,1,144.775857142855,100,18.401,22.87,55.9,42.7,1.4,0,0,65.905,31.837,2.846,0.344,0.068
"11",20,3,144.574285714284,100,15.579,19.781,0.7,14,60.7,23.7,0.9,14.88,25.318,40.562,17.38,2.86
"12",20,5,144.422571428569,100,13.624,17.239,0,0,2.9,24.8,72.3,5.828,6.87,12.276,26.557,49.469
"13",30,1,145.261428571427,100,29.164,61.768,53.5,32.6,13.3,0.6,0,50.662,26.78,15.828,5.871,1.859
"14",30,3,144.564857142855,100,24.862,54.139,8.2,35.1,45.5,11,0.2,14.607,32.73,32.841,15.523,5.299
"15",30,5,144.802285714284,100,20.438,50.797,0,0.1,12.1,43.2,44.6,1.715,6.887,22.74,33.736,35.922
"16",20,1,143.878428571427,100,17.739,48.957,93,6.3,0.7,0,0,93.578,4.434,1.364,1.226,0.398
"17",20,3,144.538857142855,100,11.907,35.422,41.5,52.5,5.7,0.3,0,63.734,32.053,3.483,1.118,0.612
"18",20,5,143.568428571426,100,9.806,31.032,0,10.3,48.3,31.8,9.6,15.063,26.092,34.917,17.913,7.015
"19",30,1,86.9582857142857,60,16.071,26.686,48.1,41.1,9.1,1.7,0,46.8566666666667,32.1,13.8283333333333,6.89833333333333,1.98333333333333
"20",30,3,86.8774285714285,60,13.772,22.681,2.3,29.4,53.7,12.3,2.3,9.43,30.39,37.7566666666667,16.8866666666667,7.20333333333333
"21",30,5,87.0599999999999,60,10.855,20.228,0,0.8,8.9,42,48.3,2.20166666666667,7.43666666666667,20.1083333333333,33.9933333333333,37.9266666666667
"22",20,1,86.9328571428571,60,9.355,18.751,88.5,11.1,0.4,0,0,91.6466666666667,7.99333333333333,1.03333333333333,0.803333333333333,0.19
"23",20,3,86.566,60,6.512,13.801,13,56.8,26.1,3.3,0.8,43.01,40.325,13.5933333333333,3.48166666666667,1.25666666666667
"24",20,5,86.8224285714286,60,5.52,11.892,0,4.1,29.4,39.6,26.9,15.9783333333333,19.4483333333333,27.0933333333333,24.05,15.0966666666667
"25",30,1,86.6561428571428,60,16.436,18.905,33.8,55.5,10.4,0.3,0,36.0366666666667,43.5133333333333,16.22,4.7,1.19666666666667
"26",30,3,87.0217142857142,60,14.164,16.79,1.1,10.9,58.3,26.4,3.3,6.70166666666667,19.8083333333333,41.785,24.3433333333333,9.02833333333334
"27",30,5,87.4718571428572,60,11.385,13.837,0,0,3.1,26,70.9,1.70833333333333,6.04166666666667,13.12,28.3616666666667,52.435
"28",20,1,87.3965714285714,60,9.666,12.2,58.5,37.5,3.9,0,0.1,71.7933333333333,25.945,3.18833333333333,0.598333333333333,0.141666666666667
"29",20,3,87.1178571428571,60,7.507,9.727,2.2,23.8,51.3,19.6,3.1,24.725,30.1433333333333,30.185,12.77,3.84333333333333
"30",20,5,86.7271428571429,60,6.334,8.057,0.1,1,9.8,32,57.1,10.9266666666667,12.2883333333333,18.78,26.8466666666667,32.825
"31",30,1,86.6794285714285,60,16.164,34.895,48.4,33.2,15.5,2.8,0.1,47.34,26.0566666666667,15.7833333333333,9.28333333333334,3.20333333333333
"32",30,3,87.3798571428571,60,13.579,30.077,9.3,36.1,35.8,16.2,2.6,17.24,33.105,26.3533333333333,16.9433333333333,8.025
"33",30,5,86.9612857142856,60,10.277,26.521,0,2.3,22.8,36.8,38.1,3.22333333333333,11.31,27.58,28.775,30.7783333333333
"34",20,1,87.0142857142857,60,9.511,26.883,92.3,6,1.6,0,0.1,93.275,3.43333333333333,1.935,2.25166666666667,0.771666666666666
"35",20,3,86.9720000000001,60,6.172,18.557,56,40.2,3.2,0.4,0.2,74.8066666666667,22.0583333333333,2.535,1.5,0.766666666666666
"36",20,5,86.5364285714284,60,4.585,14.694,1.2,29.2,43.8,17.8,8,27.4416666666667,33.98,23.3866666666667,11.55,5.30833333333333
"37",30,1,44.3801428571429,30,6.121,11.058,46.5,31.4,9.7,8.8,3.6,45.42,27.13,16.0366666666667,11.14,3.60666666666667
"38",30,3,44.173142857143,30,4.768,8.654,7.3,31,29.4,17.4,14.9,16.0666666666667,29.7733333333333,28.5033333333333,18.6466666666667,10.3433333333333
"39",30,5,44.762142857143,30,3.516,6.976,0,2.9,18.7,33.9,44.5,4.46333333333333,13.44,24.73,29.7266666666667,30.9733333333333
"40",20,1,44.311142857143,30,3.326,7.022,87.5,9.9,0.4,1.5,0.7,93.9266666666667,5.49333333333333,1.95666666666667,1.61666666666667,0.34
"41",20,3,44.6930000000001,30,2.164,4.607,44.1,40.2,9.7,3.6,2.4,71.0833333333333,22.5466666666667,5.92333333333333,2.92,0.859999999999999
"42",20,5,44.6147142857144,30,1.516,3.326,4,29,33.8,18.7,14.5,37.5033333333333,29.4666666666667,18.14,11.2633333333333,6.96
"43",30,1,44.1692857142859,30,6.128,7.473,34.6,41.5,16.2,5.4,2.3,37.69,35.2033333333333,19.5133333333333,8.62666666666667,2.3
"44",30,3,44.480142857143,30,4.786,5.82,2.4,18.9,40.6,25.7,12.4,11.97,27.24,33.3366666666667,20.3033333333333,10.4833333333333
"45",30,5,44.3174285714287,30,3.503,4.548,0.2,1.2,9.8,32,56.8,3.95666666666667,11.87,22.9733333333333,27.7366666666667,36.7966666666667
"46",20,1,43.6917142857144,30,3.214,4.185,64.8,30.3,4,0.5,0.4,82.7566666666667,16.3833333333333,2.89333333333333,1.10333333333333,0.196666666666667
"47",20,3,44.2048571428573,30,2.208,2.906,13.6,40.7,28,11.3,6.4,49.66,30.1366666666667,14.0133333333333,6.78666666666667,2.73666666666667
"48",20,5,44.4984285714288,30,1.625,2.223,1,10.6,26.8,30.5,31.1,25.74,22.8366666666667,20.8266666666667,18.1733333333333,15.7566666666667
"49",30,1,44.3717142857144,30,6.305,14.858,50.4,23.3,13,8.1,5.2,48.0166666666666,20.5233333333333,16.2133333333333,13.3833333333333,5.19666666666667
"50",30,3,44.1877142857144,30,4.96,12.074,16.1,31.7,20.2,17.6,14.4,22.8633333333333,27.9933333333333,22.1466666666667,19.7066666666667,10.6233333333333
"51",30,5,44.4174285714287,30,3.44,9.571,1.1,11.5,23.9,25.2,38.3,7.16666666666667,18.9266666666667,26.53,25.29,25.42
"52",20,1,44.7944285714287,30,3.44,10.49,92.7,2.8,0.2,2.8,1.5,93.0166666666667,2.63666666666667,2.75333333333333,3.85,1.07666666666667
"53",20,3,44.1757142857144,30,2.112,6.663,75.1,19.6,1.2,1.4,2.7,87.3866666666667,10.1833333333333,2.52,2.51,0.733333333333333
"54",20,5,43.9082857142858,30,1.34,4.372,18.3,42.8,19.8,10.8,8.3,54.1166666666667,28.0133333333333,11.1366666666667,6.60333333333333,3.46333333333333
