"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,144.571428571427,100,29.46,47.15,58,38,4,0,0,51.14,33.98,10.01,4.52,1.35
"2",30,3,142.051428571426,100,26.13,42.81,1,28,60,11,0,6.5,27.13,44.57,16.72,6.08
"3",30,5,144.852857142856,100,21.01,38.65,0,0,1,39,60,1.47,4.13,11.5,39.85,44.05
"4",20,1,142.969999999998,100,17.2,35.56,92,8,0,0,0,92.49,7.09,0.66,0.65,0.11
"5",20,3,146.591428571427,100,13.57,27.36,9,47,39,5,0,31.47,43.58,20.78,4.06,1.11
"6",20,5,143.641428571426,100,12.09,24.88,0,2,11,55,32,8.4,12.96,22.24,34.02,23.38
"7",30,1,144.077142857141,100,29.95,35.52,33,60,7,0,0,33.71,47.54,14.6,4.12,1.03
"8",30,3,148.182857142855,100,27.34,30.71,0,6,72,22,0,3.26,15.59,54.18,23.48,4.49
"9",30,5,144.327142857141,100,22.63,27.22,0,0,0,22,78,1.3,2.81,7.47,26.78,62.64
"10",20,1,144.807142857141,100,18.38,22.22,58,42,0,0,0,67.83,31.22,1.8,0.15,0
"11",20,3,144.055714285712,100,15.99,19.26,0,18,61,21,0,14.89,25.74,42.65,16.3,1.42
"12",20,5,147.16857142857,100,13.62,17,0,0,3,25,72,6.06,6.98,12.84,29.1,46.02
"13",30,1,144.385714285712,100,28.92,61.4,58,27,15,0,0,53.66,23.15,17.07,5.14,1.98
"14",30,3,145.211428571426,100,25.49,55.53,10,30,44,15,1,15.21,27.61,31.28,19.49,7.41
"15",30,5,144.261428571427,100,20.89,52.02,0,0,11,41,48,1.32,6.55,18.62,37.11,37.4
"16",20,1,145.191428571427,100,18.07,48.89,93,7,0,0,0,92.87,4.84,1.54,1.25,0.5
"17",20,3,147.254285714284,100,12.1,35.41,36,61,3,0,0,60.75,36.31,2.48,0.64,0.82
"18",20,5,140.942857142855,100,9.89,31.36,0,7,43,40,10,15.33,24.82,31.65,20.59,8.61
"19",30,1,85.0942857142859,60,15.43,28.02,37,51,9,3,0,38.2166666666667,35.5,16.4,8.96666666666667,2.58333333333333
"20",30,3,86.9542857142857,60,13.84,22.43,2,37,52,7,2,10.05,35.6,36.0333333333333,14.8333333333333,5.15
