"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,144.666428571425,100,31.23,49.885,22.75,67.125,9.875,0.25,0,21.44875,50.945,19.825,6.03,2.75125
"2",30,3,144.970714285711,100,28.64625,46.43875,0.25,7.5,67,24.875,0.375,2.3075,9.935,48.4975,29.37875,10.88125
"3",30,5,145.613214285711,100,23.9525,42.06375,0,0,0.75,20.5,78.75,0.695,1.14,4.05375,22.045,73.06625
"4",20,1,146.016607142854,100,19.3425,38.16625,48.75,49.75,1.5,0,0,49.2425,42.64875,6.71125,1.66375,0.73375
"5",20,3,146.138571428568,100,17.78,35.08,0.625,13.125,70.625,14.875,0.75,5.45375,18.845,50.61625,19.19125,6.89375
"6",20,5,146.71071428571,100,15.67375,31.36625,0,0.125,2,30.375,67.5,1.69625,2.275,6.82,28.205,62.00375
"7",30,1,145.903035714282,100,33.68,38.02,8.125,64.5,27.375,0,0,10.05875,46.81125,34.63,6.25625,3.24375
"8",30,3,146.208928571425,100,31.005,35.6075,0,0.5,40.875,56.25,2.375,1.15875,3.44375,31.4625,45.59125,19.34375
"9",30,5,146.084464285711,100,24.7075,29.07125,0,0,0,6.5,93.5,0.59625,0.84375,2.075,9.4175,88.0675
"10",20,1,145.547678571425,100,22.37875,27.18375,15,64.75,20.25,0,0,18.55375,50.405,25.9075,4.3325,1.80125
"11",20,3,145.781428571425,100,20.7175,25.70875,0,1.25,45.125,49,4.625,2.63875,5.7,33.1275,41.27,18.26375
"12",20,5,145.008928571425,100,15.81,20.35125,0,0,0.125,7.125,92.75,1.285,1.37,2.89375,10.73,84.72125
"13",30,1,146.198214285711,100,29.89,62.495,39.875,47.5,12.125,0.5,0,35.51625,38.95375,18.07,6.21625,2.24375
"14",30,3,145.834285714282,100,26.9575,58.18375,1.375,21,56.75,19.625,1.25,4.42,20.78875,44.3575,22.2175,9.21625
"15",30,5,145.873571428568,100,22.6,54.4425,0,0,3.5,37.25,59.25,0.8625,2.02,10.195,33.23875,54.68375
"16",20,1,145.328214285711,100,18.06125,49.49125,88.875,10.875,0.25,0,0,83.3175,14.20125,2.175,0.98625,0.32
"17",20,3,145.298928571425,100,14.75875,42.00375,6.5,57.25,31.375,4.625,0.25,15.77125,48.5975,26.825,6.985,2.82125
"18",20,5,146.197857142854,100,13.23875,40.82,0,0.75,17.75,50.75,30.75,2.525,5.77375,21.71125,38.87,32.12
"19",30,1,87.905178571428,60,17.615,28.605,17.75,57.25,22.625,2.375,0,19.3979166666667,41.45625,25.625,10.25,4.9375
"20",30,3,87.9746428571423,60,16.045,25.99875,0.5,6.875,57.5,29.875,5.25,3.51666666666667,11.225,39.0520833333333,29.8854166666667,17.9875
"21",30,5,88.1521428571422,60,12.6075,22.69,0,0,1.625,22.625,75.75,1.05416666666667,1.89583333333333,5.925,20.2520833333333,72.5395833333334
"22",20,1,88.0407142857137,60,10.59625,21.2225,45.5,48.125,6.25,0.125,0,46.2895833333333,39.5666666666667,11.05625,3.34375,1.41041666666667
"23",20,3,87.9212499999994,60,9.5875,18.88625,1.375,15.875,55.375,25.375,2,8.37499999999999,19.9916666666666,39.6229166666667,22.6333333333333,11.04375
"24",20,5,87.2151785714279,60,7.795,16.21875,0,0,4.75,31.125,64.125,3.01666666666667,3.73541666666667,10.5291666666667,26.975,57.4104166666666
"25",30,1,87.5387499999993,60,19.12,21.0725,9.625,51.875,37,1.5,0,12.50625,37.3125,35.6208333333333,11,5.22708333333333
"26",30,3,87.7323214285709,60,17.04125,19.6325,0,1.5,33.5,53.875,11.125,1.73333333333333,4.97916666666667,25.8020833333333,39.8104166666667,29.3416666666667
"27",30,5,88.193035714285,60,12.9275,15.755,0,0,0,9.125,90.875,0.95,1.36666666666667,3.05,10.7145833333333,85.5854166666667
"28",20,1,88.403035714285,60,12.525,15.2975,13.5,57,28,1.25,0.25,19.9895833333333,41.6791666666667,28.9479166666667,7.4625,3.5875
"29",20,3,87.7626785714281,60,11.20875,13.81,0,2.625,35.375,46.875,15.125,4.26041666666667,7.9625,27.0541666666667,34.5229166666667,27.8666666666667
"30",20,5,88.7471428571421,60,8.19625,10.6025,0,0,0.5,9.125,90.375,2.225,2.40625,5.0625,12.6041666666667,79.36875
"31",30,1,87.2262499999996,60,16.68,35.335,38.25,40.75,18.25,2.75,0,35.7895833333333,33.2541666666667,19.2895833333333,9.84375,3.48958333333333
"32",30,3,88.2496428571422,60,15.13375,32.29625,1.75,19.75,51.375,24.25,2.875,6.08541666666667,19.8375,37.4333333333333,24.4041666666667,13.90625
"33",30,5,88.1410714285707,60,12.02625,29.535,0,0,7.625,37.125,55.25,1.38958333333333,2.97916666666667,12.5354166666667,28.7020833333333,56.0604166666667
"34",20,1,87.705178571428,60,9.72375,27.32,82.875,16,1.125,0,0,77.1,18.4958333333333,3.43958333333333,1.90625,0.725
"35",20,3,88.1735714285708,60,8.0575,22.92625,9.375,49.375,33.75,6.625,0.875,20.175,40.6333333333334,26.6375,9.32083333333333,4.9
"36",20,5,87.7642857142851,60,6.9475,21.4525,0.125,1.625,23.875,45.5,28.875,4.02291666666667,8.13125,23.9979166666667,33.1020833333333,32.4125
"37",30,1,45.1071428571432,30,7.055,12.3075,17.75,40.875,28.75,8.375,4.25,20.7041666666667,30.9,27.1708333333333,15.7458333333333,8.8125
"38",30,3,44.2057142857146,30,6.02875,10.37125,1.125,10.125,36.375,32.75,19.625,5.68333333333333,12.2875,28.8916666666667,28.4083333333333,28.0625
"39",30,5,44.533035714286,30,4.3125,8.145,0,0.25,4.875,18.125,76.75,2.275,3.39583333333333,9.57916666666666,19.425,68.6583333333333
"40",20,1,44.9053571428574,30,3.9875,8.07125,44.75,41.75,9.625,2.625,1.25,49.175,33.9375,12.5958333333333,5.31666666666667,2.30833333333333
"41",20,3,44.3512500000003,30,3.36875,6.79125,3.125,20.375,40.125,24.5,11.875,14.7125,23.4125,28.3,20.9708333333333,15.9375
"42",20,5,45.111785714286,30,2.5225,5.70125,0,1.5,10.125,27.5,60.875,6.45416666666667,7.5875,14.3333333333333,23.7625,51.1958333333333
"43",30,1,44.619285714286,30,7.56875,8.87125,6.75,37.125,39.375,14.125,2.625,12.6833333333333,28.4333333333333,33.0333333333333,18.2208333333333,10.9625
"44",30,3,44.8264285714289,30,6.32875,7.5075,0.125,3.75,22.25,42.375,31.5,3.96666666666667,7.50833333333333,20.7416666666667,29.5958333333333,41.5208333333333
"45",30,5,44.7641071428574,30,4.405,5.58,0,0.125,0.625,8.875,90.375,2.13333333333333,2.67083333333333,6.09166666666667,12.6958333333333,79.7416666666667
"46",20,1,44.8248214285717,30,4.63625,5.7625,15.625,36.75,35.125,10.125,2.375,26.6,31.9791666666667,26.1958333333333,12.1875,6.37083333333333
"47",20,3,44.5275000000003,30,3.91625,4.84,0.375,5.75,22.75,39.375,31.75,7.9375,11.7041666666667,22.0833333333333,26.9291666666667,34.6791666666667
"48",20,5,44.9864285714289,30,2.61375,3.44125,0,0.5,1.875,11.875,85.75,4.55833333333333,4.67916666666667,7.99583333333333,15.3958333333333,70.7041666666667
"49",30,1,45.0035714285717,30,6.5875,15.75,31.75,32.625,20.75,9.5,5.375,31.1625,27.1458333333333,21.85,15.45,7.725
"50",30,3,44.3873214285718,30,5.60375,13.245,4.75,20.5,34,21.25,19.5,9.96249999999999,20.5458333333333,27.6416666666667,23.3916666666667,21.7916666666667
"51",30,5,44.816785714286,30,4.15,11.11625,0.125,1.25,13,29.375,56.25,2.89583333333333,5.5375,16.3125,25.5083333333333,53.0791666666667
"52",20,1,44.978035714286,30,3.75375,10.77625,75.375,20.625,1.5,1.875,0.625,71.0166666666667,20.8666666666666,6.775,3.5375,1.1375
"53",20,3,44.7387500000003,30,2.78375,8.48125,17.625,42.625,26.375,9.375,4,31.3416666666667,33.5791666666667,21.0625,11.0875,6.2625
"54",20,5,44.6626785714288,30,2.34625,7.31875,0.875,6,26.875,32,34.25,9.14166666666667,13.1916666666667,22.625,25.75,32.625
