"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,145.021428571425,100,31.84,49.47,23,71,6,0,0,18.59,53.08,21.36,5.65,2.32
"2",30,3,146.348571428568,100,28.87,46.92,0,6,70,24,0,1.45,9.06,49.89,29.57,11.03
"3",30,5,145.235714285711,100,23.79,42.22,0,0,0,24,76,0.7,1.03,3.42,23.84,72.01
"4",20,1,147.785714285711,100,19.71,38.05,49,49,2,0,0,50.5,42.67,5.53,1.57,0.73
"5",20,3,146.162857142854,100,17.65,34.84,0,14,71,15,0,4.83,21.45,49.78,19.58,5.36
"6",20,5,146.467142857139,100,16.01,31.61,0,0,2,30,68,1.64,2.05,5.38,31.46,60.47
"7",30,1,147.985714285711,100,33.97,38.37,9,57,34,0,0,11.7,40.5,39.49,6.04,3.27
"8",30,3,145.63714285714,100,31.25,35.57,0,0,42,56,2,0.96,2.62,31.34,46.48,19.6
"9",30,5,147.562857142854,100,25.11,28.22,0,0,0,3,97,0.76,0.95,2.33,7.36,89.6
"10",20,1,144.01571428571,100,22.45,27.42,11,67,22,0,0,14.68,54.71,26.27,3.57,1.77
"11",20,3,143.478571428568,100,21.33,25.28,0,1,55,40,4,2.41,4.79,37.1,38.88,17.82
"12",20,5,145.535714285711,100,16.1,20.72,0,0,0,6,94,1.1,1.13,2.03,9.99,86.75
"13",30,1,147.302857142854,100,30.01,62.45,37,51,11,1,0,32.37,42.07,18.56,6.04,1.96
"14",30,3,145.628571428568,100,26.59,58,2,29,50,19,0,5.25,25.08,39.69,21.65,9.33
"15",30,5,149.001428571425,100,22.49,55.22,0,0,3,35,62,0.78,1.92,10.86,34.29,53.15
"16",20,1,147.561428571425,100,18.42,49.09,88,12,0,0,0,82.62,15.1,2.03,1.01,0.24
"17",20,3,142.098571428568,100,15.05,40.97,11,57,27,5,0,20.09,46.1,24.53,7.21,3.07
"18",20,5,145.512857142855,100,12.9,39.83,0,2,21,54,23,2.82,6.35,25.58,40.09,26.16
"19",30,1,87.9571428571419,60,17.53,29.44,12,65,22,1,0,16.6,41.55,29.4166666666667,9.31666666666667,4.78333333333333
"20",30,3,86.9457142857137,60,16.3,26.24,0,8,54,33,5,2.41666666666667,11.3833333333333,37.7666666666667,31.6833333333333,18.4166666666667
"21",30,5,87.5942857142849,60,12.63,22.98,0,0,1,20,79,1.01666666666667,1.48333333333333,5.6,18.0666666666667,75.5
"22",20,1,86.7999999999993,60,10.1,20.77,45,50,5,0,0,47.6333333333333,41.35,8.5,2.63333333333333,1.55
"23",20,3,86.1157142857138,60,9.6,18.25,2,20,60,18,0,8.66666666666667,23.3333333333333,41.45,20.1333333333333,8.08333333333333
"24",20,5,87.1457142857137,60,7.84,16.92,0,0,7,29,64,3.15,3.53333333333333,9.2,27.05,58.7333333333333
"25",30,1,88.2028571428563,60,19.35,21.6,12,45,38,5,0,14,33.4166666666667,32.2833333333333,14.0333333333333,7.93333333333333
"26",30,3,87.7057142857136,60,17.14,18.68,0,2,37,50,11,1.28333333333333,5.1,27.6166666666667,37.4,30.2666666666667
"27",30,5,87.6857142857135,60,12.84,15.91,0,0,0,11,89,0.983333333333333,1.56666666666667,3.61666666666667,10.6,84.9
"28",20,1,87.6928571428565,60,12.23,15.65,11,62,26,1,0,19.5166666666667,42.5166666666667,28.8166666666667,7.83333333333333,2.98333333333333
"29",20,3,87.6799999999998,60,11.07,13.81,0,2,22,63,13,4.1,7.35,23.2333333333333,37.8666666666667,29.1166666666667
"30",20,5,87.7599999999991,60,8.44,10.26,0,0,1,11,88,1.83333333333333,2.45,4.61666666666667,14.5666666666667,78.2
"31",30,1,86.9528571428568,60,17.01,35.91,34,47,14,5,0,34.2,33.3333333333333,19.8,10.9833333333333,3.35
"32",30,3,90.3571428571421,60,15.48,32.72,3,17,55,24,1,7.51666666666667,18.2333333333333,38.15,24.9666666666667,12.8
"33",30,5,88.0728571428563,60,11.89,29.91,0,0,4,40,56,1.55,2.9,10.1666666666667,30.5333333333333,56.5166666666667
