"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,143.76399999999,100,28.643,46.52,92.4,7.6,0,0,0,80.792,11.481,4.482,3.736,0.509
"2",30,3,144.353999999989,100,24.295,41.201,0,8.4,71.4,20,0.2,7.289,16.775,47.792,25.003,4.141
"3",30,5,144.044285714275,100,19.545,35.839,0,0,0.1,35.4,64.5,1.783,2.638,7.817,38.111,50.651
"4",20,1,143.665285714277,100,20.114,38.025,93.3,6.7,0,0,0,80.04,15.593,3.319,1.83,0.218
"5",20,3,143.922999999989,100,15.741,31.862,0.1,14.8,67.7,17.3,0.1,8.146,25.099,42.721,20.805,4.229
"6",20,5,143.804857142848,100,11.508,24.846,0,0,2.4,47.7,49.9,2.746,8.082,11.007,39.698,39.467
"7",30,1,86.4444285714247,60,16.441,25.861,85.2,14.5,0.3,0,0,74.3933333333333,12.8366666666667,7.40833333333333,6.14166666666667,0.886666666666667
"8",30,3,87.2714285714231,60,12.528,21.441,0.4,18.4,52.7,27.9,0.6,12.6916666666667,19.76,34.82,27.5516666666667,6.84333333333333
"9",30,5,86.8075714285673,60,9.215,17.468,0,0.1,2.5,39.8,57.6,2.825,4.37166666666667,12.965,38.5,43.005
"10",20,1,87.0041428571384,60,11.624,21.85,87,12.9,0.1,0,0,71.3133333333333,20.795,5.665,3.40166666666667,0.491666666666667
"11",20,3,87.4867142857097,60,7.797,16.4,1.2,21.2,51.8,25.3,0.5,11.995,28.94,31.4033333333333,22.875,6.45333333333333
"12",20,5,87.0372857142812,60,5.226,11.491,0,0.6,7.8,49.5,42.1,4.86166666666667,13.3416666666667,14.885,35.265,33.3133333333333
"13",30,1,44.1512857142862,30,6.922,11.153,84.3,12.8,2.4,0.5,0,65.54,10.35,13.8033333333333,11.9566666666667,1.68333333333333
"14",30,3,44.4467142857156,30,4.382,7.945,13.3,26.4,29.7,26.4,4.2,20.3366666666667,17.74,25.27,27.87,12.1166666666667
"15",30,5,44.2778571428582,30,2.68,5.63,0.5,3.3,12.1,38.2,45.9,5.51333333333333,7.37666666666667,19.5533333333333,35.43,35.46
"16",20,1,43.9624285714294,30,4.412,8.942,79.5,17,2.5,0.7,0.3,58.8833333333333,26.8366666666667,10.1966666666667,6.63333333333333,0.783333333333333
"17",20,3,44.2448571428583,30,2.312,5.24,14,27.5,28.1,21.7,8.7,21.4866666666667,31.8966666666667,20.54,18.9566666666667,10.4533333333333
"18",20,5,44.2971428571438,30,1.241,2.777,1.1,7.8,18.3,34.4,38.4,10.2533333333333,24.88,19.1166666666667,24.5,24.5833333333333
