"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,144.500285714284,100,28.7,46.38,59,35.9,4.9,0.2,0,53.945,27.128,11.822,6.517,1.588
"2",30,3,144.124285714284,100,24.381,41.49,3,26.9,49.2,20.1,0.8,12.479,24.867,34.84,23.46,5.354
"3",30,5,144.184285714284,100,20.29,36.762,0,0.5,7.6,50.7,41.2,2.729,4.615,14.947,43.343,35.366
"4",20,1,144.796714285712,100,19.316,37.648,58.2,35.1,6.5,0.2,0,51.9,31.916,11.367,4.561,1.256
"5",20,3,144.470428571427,100,15.57,31.029,6.5,29.1,45.7,17.9,0.8,16.032,30.037,31.299,19.3,4.332
"6",20,5,144.213857142855,100,12.168,25.695,0,2.1,16.9,54.9,26.1,5.003,12.33,19.912,39.802,23.953
"7",30,1,144.908857142856,100,28.128,46.916,69.7,26.8,3.5,0,0,66.251,21.328,8.362,4.288,0.771
"8",30,3,144.174285714284,100,23.528,39.058,8.3,38.8,43.9,8.7,0.3,22.856,31.495,30.737,13.566,2.346
"9",30,5,144.387714285713,100,19.537,35.623,0,0.7,14.9,57.8,26.6,5.988,7.925,20.3,44.497,22.29
"10",20,1,144.303857142855,100,19.068,37.967,68.7,26.2,4.8,0.3,0,63.423,26.182,8.033,2.859,0.503
"11",20,3,144.534285714284,100,14.94,30.061,10,36.7,42.4,10.4,0.5,22.385,35.514,28.052,12.736,2.313
"12",20,5,144.124142857141,100,11.923,25.208,0,4.4,20.2,57.8,17.6,7.272,15.292,22.68,39.475,16.281
"13",30,1,144.208428571427,100,28.528,47.606,84.3,14.3,1.4,0,0,81.746,11.724,5.011,2.305,0.214
"14",30,3,144.04957142857,100,22.392,39.064,11.7,44.7,37.4,6.1,0.1,32.972,32.615,25.376,8.911,1.126
"15",30,5,144.013857142855,100,18.948,34.49,0.1,3.3,23.8,56.9,15.9,10.638,12.605,26.008,38.114,13.635
"16",20,1,144.962142857141,100,19.226,38,81.6,16.8,1.6,0,0,78.409,17.176,3.974,1.268,0.173
"17",20,3,143.58857142857,100,14.444,29.352,17.2,43.2,33,6.4,0.2,33.717,36.123,22.738,7.411,1.011
"18",20,5,144.011999999998,100,11.485,24.703,0.4,6.7,28.4,53.4,11.1,11.613,18.442,26.423,34.172,10.35
"19",30,1,87.1514285714285,60,15.846,25.121,56.3,33.8,9.3,0.5,0.1,51.0633333333333,23.3883333333333,14.2316666666667,9.90666666666666,3.07666666666667
"20",30,3,86.9515714285715,60,12.733,21.937,6.2,29.1,38.5,23.9,2.3,17.5583333333333,21.9866666666667,28.9866666666667,24.9216666666667,8.21333333333333
"21",30,5,87.3577142857142,60,10.093,18.534,0.2,2.3,12.7,47.4,37.4,4.76666666666667,6.80666666666667,17.6233333333333,38.2766666666667,34.1933333333333
"22",20,1,87.374,60,10.531,20.405,58.5,29.2,10.5,1.7,0.1,50.81,29.32,12.3783333333333,7.015,2.14333333333333
"23",20,3,86.9688571428571,60,7.935,15.872,11.9,31.6,35.4,18.9,2.2,21.4133333333333,30.9033333333333,25.16,18.0316666666667,6.15833333333333
"24",20,5,86.849,60,5.822,12.464,0.6,6.6,23.1,45.9,23.8,8.19833333333333,18.39,21.3716666666667,31.6433333333333,22.0633333333333
"25",30,1,87.3878571428571,60,15.552,25.916,68.3,25.9,5.4,0.4,0,65.675,17.5783333333333,10.4916666666667,6.75166666666667,1.17
"26",30,3,87.573857142857,60,12.644,21.404,15.2,39.5,31.8,13,0.5,29.71,26.47,24.5316666666667,16.9133333333333,4.04166666666667
"27",30,5,87.1002857142858,60,9.79,18.625,0.1,4.4,18.9,50.8,25.8,8.865,10.64,21.265,38.5783333333333,22.3183333333333
"28",20,1,87.493,60,10.291,20.524,67.7,27.2,4.8,0.3,0,63.655,25.3583333333333,8.05833333333333,3.74333333333333,0.851666666666667
"29",20,3,86.6422857142857,60,7.899,16.153,16.5,36.2,31.6,14.6,1.1,28.9816666666667,32.4333333333333,21.5533333333333,14.3533333333333,4.345
"30",20,5,86.931,60,5.923,12.477,1.3,10.1,25.6,45.2,17.8,11.36,20.97,22.835,30.285,16.2166666666667
"31",30,1,87.4467142857142,60,16.074,27.216,84.8,12.8,2.4,0,0,81.7433333333333,9.18166666666667,6.92666666666667,3.43833333333333,0.376666666666667
"32",30,3,86.7574285714286,60,12.247,21.353,26,43.3,24.1,6.3,0.3,45.5083333333333,25.5633333333333,18.8,10.0266666666667,1.76833333333333
"33",30,5,86.7248571428571,60,9.736,18.091,1.4,12.5,32,40.5,13.6,17.1966666666667,16.5416666666667,25.6083333333333,30,12.32
