"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,143.577142857141,100,28.78,45.88,58,37,5,0,0,55.83,24.9,12.69,5.69,1.89
"2",30,3,144.61857142857,100,24.54,41.71,3,16,59,21,1,10.59,19.25,39.8,24.48,6.88
"3",30,5,144.012857142855,100,20.21,37.82,0,0,4,49,47,2.1,3.92,12.63,43.2,39.15
"4",20,1,145.581428571427,100,19.34,37.46,52,41,7,0,0,46.87,36.12,12.47,4.2,1.34
"5",20,3,143.838571428569,100,15.89,32.58,5,23,53,18,1,14.48,24.97,34.32,22.39,4.84
"6",20,5,142.778571428569,100,12.39,25.72,0,3,14,61,22,4.7,12.1,19.2,43.3,21.7
"7",30,1,143.755714285713,100,27.56,47.15,57,39,4,0,0,59.81,28.51,7.71,4.27,0.7
"8",30,3,146.678571428569,100,23.2,37.53,10,46,38,6,0,25.38,35.42,28.27,10.82,1.11
"9",30,5,146.71857142857,100,20.14,36.49,0,0,9,66,25,4.43,6.45,19.24,48.95,21.93
"10",20,1,144.724285714284,100,19.25,38.57,62,27,9,2,0,56.29,27.56,11.8,4.7,0.65
"11",20,3,144.967142857141,100,14.96,29.64,8,39,46,7,0,20.92,39.11,30.29,9.74,0.94
"12",20,5,143.047142857141,100,12.12,25.8,0,5,22,51,22,6.52,14.05,21.73,38.96,19.74
"13",30,1,143.468571428569,100,28.79,47.7,84,15,1,0,0,81.36,11.98,5.23,2.23,0.2
"14",30,3,145.674285714284,100,22.43,39.81,14,39,42,5,0,35.05,30.23,24.86,9.93,0.93
"15",30,5,143.742857142855,100,19.62,35.86,0,1,22,56,21,8.57,9.52,25.24,40.38,17.29
"16",20,1,143.474285714284,100,19.41,38.25,85,15,0,0,0,79.92,16.58,3.01,1.19,0.3
"17",20,3,142.954285714284,100,13.97,28.67,17,44,35,4,0,34.29,38.34,21.9,5.83,0.64
"18",20,5,142.005714285712,100,11.94,24.72,0,4,33,57,6,10.06,18.67,28.36,37.27,6.64
"19",30,1,85.6685714285716,60,15.53,24.25,57,31,12,0,0,49.05,25.35,14.2833333333333,9.8,3.18333333333333
"20",30,3,87.1885714285714,60,12.53,22.39,5,30,36,25,4,15.9166666666667,21.6166666666667,30.9666666666667,23.9833333333333,9.18333333333333
"21",30,5,87.9500000000001,60,10.12,18.79,1,3,10,43,43,4.23333333333333,6.63333333333333,15.4333333333333,38.3833333333333,36.9833333333333
"22",20,1,87.0457142857142,60,10.3,20.22,55,34,8,3,0,49.3,32.9666666666667,11.4,5.96666666666667,2.03333333333333
"23",20,3,87.5771428571428,60,7.88,15.73,13,29,37,17,4,20.8166666666667,31.6333333333333,24.9333333333333,17.1333333333333,7.15
"24",20,5,87.5771428571429,60,6.01,11.95,1,10,22,43,24,8.51666666666667,18.4166666666667,21.8666666666667,30.8166666666667,22.05
"25",30,1,88.4128571428573,60,15.94,25.82,75,21,4,0,0,69.8666666666667,16.05,10.05,4.95,0.75
"26",30,3,88.4357142857144,60,13.13,21.04,14,48,28,9,1,29.9833333333333,27.9333333333333,23.9666666666667,16.3833333333333,3.4
"27",30,5,88.6642857142859,60,9.55,19.15,0,2,17,54,27,6.81666666666667,10.1833333333333,20.5833333333333,40.5833333333333,23.5
"28",20,1,87.45,60,10.48,21.03,73,21,6,0,0,66.4666666666667,23.7666666666667,7.41666666666667,3.66666666666667,0.35
"29",20,3,86.1285714285715,60,7.77,16.17,18,33,38,10,1,29.2833333333333,33.5833333333333,22.6666666666667,12.4333333333333,3.7
"30",20,5,86.6085714285713,60,5.97,12.22,1,11,27,42,19,11.95,21.5666666666667,23.55,27.8833333333333,16.7166666666667
"31",30,1,87.9585714285713,60,15.79,27.37,83,15,2,0,0,80.3333333333333,11.45,6.56666666666667,3,0.316666666666667
"32",30,3,87.0399999999999,60,12.45,21.22,24,43,27,6,0,40.2666666666667,29.5666666666667,20.1833333333333,9.66666666666667,1.98333333333333
"33",30,5,87.65,60,9.53,18.72,0,6,36,37,21,12.7,14.2666666666667,27.85,30.7666666666667,16.0833333333333
"34",20,1,87.2557142857143,60,10.49,21.26,77,21,2,0,0,76.5833333333333,19.5,4.08333333333333,1.45,0.05
"35",20,3,85.6585714285716,60,7.27,14.8,22,47,22,8,1,42.7666666666667,33.55,15.5833333333333,8.08333333333333,1.68333333333333
"36",20,5,86.6842857142854,60,5.5,12.66,3,17,34,31,15,19.9666666666667,24.1833333333333,25.6333333333333,20.2,11.6833333333333
"37",30,1,45.2457142857144,30,5.86,9.99,63,21,7,8,1,47.0333333333333,15.2333333333333,17.5666666666667,18.1666666666667,5.33333333333333
"38",30,3,44.0642857142859,30,4.21,8.27,17,25,19,29,10,20.4,13.7333333333333,21.3666666666667,29.7666666666667,18.0666666666667
"39",30,5,43.9114285714287,30,3.01,5.71,3,8,13,43,33,7.83333333333333,9.56666666666667,20.0333333333333,38.2,27.7
"40",20,1,45.4971428571429,30,3.45,7.04,57,27,11,4,1,49.5666666666667,29.0333333333333,13.2666666666667,9.36666666666667,2.1
"41",20,3,44.647142857143,30,2.33,4.92,26,23,29,13,9,30.4333333333333,30.8,18.4333333333333,16,7.66666666666667
"42",20,5,43.5728571428573,30,1.5,3.3,8,10,24,27,31,14.9333333333333,27,20.8,21.4,19.2
"43",30,1,44.837142857143,30,6.22,10.97,68,21,7,3,1,61.7,12.6333333333333,15.5,11.0333333333333,2.46666666666667
"44",30,3,44.2057142857145,30,4.59,8.35,41,26,14,15,4,40.1,17.9666666666667,18.9333333333333,18.8,7.53333333333333
"45",30,5,44.1057142857144,30,3.49,6.18,12,18,18,31,21,16.4333333333333,12.9333333333333,22.3333333333333,31.4333333333333,20.2
"46",20,1,44.7942857142858,30,4.19,8.13,74,19,6,1,0,63.9,25.0333333333333,9.43333333333333,4.33333333333333,0.633333333333333
"47",20,3,45.0385714285716,30,2.59,5.92,36,27,22,11,4,38.6666666666667,31.1333333333333,15.8333333333333,12.7333333333333,4.96666666666667
"48",20,5,45.12,30,1.96,4.04,14,19,27,25,15,23.5666666666667,28.4333333333333,20.9333333333333,18.9666666666667,11.4333333333333
"49",30,1,46.0700000000001,30,6.81,12.55,83,10,5,2,0,72.6,8.2,13.3,8.13333333333333,1.1
"50",30,3,43.0171428571429,30,5.39,8.87,64,17,12,6,1,58.5666666666667,11.4666666666667,16.1666666666667,14.8666666666667,2.26666666666667
"51",30,5,43.1571428571431,30,3.97,6.76,16,30,27,21,6,30.7666666666667,17.9666666666667,22.8,22.8,9
"52",20,1,42.8800000000002,30,4.3,9.24,84,7,5,4,0,69.7,21.0333333333333,7.36666666666667,4.93333333333333,0.3
"53",20,3,45.3685714285715,30,3.19,6.84,53,25,15,6,1,48.5,30.8666666666667,13.1,8.7,2.16666666666667
"54",20,5,44.7228571428572,30,1.93,4.95,14,21,25,34,6,24.7,30.6333333333333,20.8333333333333,19.0333333333333,8.13333333333333
