"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,144.435285714284,100,27.015,46.346,99.9,0.1,0,0,0,98.854,0.623,0.704,0.727,0.092
"2",30,3,143.433999999998,100,19.311,34.052,20.9,71.6,7.5,0,0,53.301,43.617,3.764,0.26,0.058
"3",30,5,143.854999999998,100,15.623,29.843,0,3.8,45.9,47.3,3,15.991,22.888,39.959,20.464,1.698
"4",20,1,144.111857142855,100,17.913,36.454,99.6,0.4,0,0,0,100.615,0.346,0.011,0.028,0
"5",20,3,143.724142857141,100,11.999,24.943,27.4,66.4,6.2,0,0,61.21,36.865,2.887,0.038,0
"6",20,5,144.304142857141,100,9.783,21.24,0,5,44.6,46.2,4.2,19.055,23.945,36.869,19.164,1.967
"7",30,1,144.221857142855,100,27.184,32.198,77.9,22,0.1,0,0,86.018,14.262,0.502,0.2,0.018
"8",30,3,143.763428571426,100,22.297,26.437,0.4,21.7,70.5,7.4,0,21.299,36.169,38.795,4.704,0.033
"9",30,5,143.799999999998,100,20.026,24.69,0,0,1.7,41.3,57,8.239,9.921,18.303,35.825,28.712
"10",20,1,144.909857142855,100,18.609,22.942,67.3,32.2,0.5,0,0,82.926,17.717,0.349,0.008,0
"11",20,3,143.922428571427,100,14.536,18.357,0.2,20.9,62.2,16.2,0.5,24.365,35.162,34.071,7.195,0.207
"12",20,5,144.836571428569,100,12.808,16.614,0,0,3.7,26.2,70.1,10.747,10.807,18.754,27.553,33.139
"13",30,1,144.19557142857,100,27.404,61.436,93.3,4.9,1.6,0.2,0,89.68,5.722,3.488,1.767,0.343
"14",30,3,144.873142857141,100,18.933,45.811,96.7,3.3,0,0,0,95.48,3.256,0.951,1.041,0.272
"15",30,5,144.386571428569,100,12.594,34.575,8.3,57.3,33.8,0.6,0,37.582,46.725,16.003,0.647,0.043
"16",20,1,144.505857142855,100,18.138,49.787,100,0,0,0,0,100.711,0.017,0.03,0.223,0.019
"17",20,3,144.261428571427,100,11.77,34.396,95.4,4.6,0,0,0,98.182,2.771,0.01,0.037,0
"18",20,5,143.780142857141,100,7.694,24.81,7.6,56.1,34.7,1.6,0,40.139,45.085,14.993,0.775,0.008
"19",30,1,87.1332857142857,60,15.165,26.134,99.6,0.3,0.1,0,0,97.9816666666667,0.933333333333334,1.25833333333333,1.29333333333333,0.2
"20",30,3,86.6294285714286,60,10.178,18.542,42.4,52.7,4.9,0,0,71.2133333333333,27.3683333333333,2.66,0.356666666666667,0.0683333333333333
"21",30,5,87.2661428571428,60,7.674,14.477,0.5,18.5,54.8,24.5,1.7,26.92,32.21,31.9983333333333,9.74333333333333,0.795
"22",20,1,86.894,60,10.094,20.209,99.7,0.3,0,0,0,101.365,0.231666666666667,0.00500000000000001,0.065,0
"23",20,3,86.8614285714286,60,6.359,13.336,48.3,47.8,3.9,0,0,77.1466666666667,22.8516666666667,1.65166666666667,0.0166666666666667,0
"24",20,5,86.6338571428571,60,4.407,9.853,1.3,28.3,49.2,18.7,2.5,35.075,32.975,26.005,6.75666666666667,0.855
"25",30,1,87.6387142857143,60,15.054,17.894,81.1,18.6,0.3,0,0,90.0366666666667,10.655,0.645,0.288333333333333,0.0416666666666666
"26",30,3,87.1244285714285,60,11.257,13.46,3,46.5,44.2,6.2,0.1,36.62,41.96,21.0416666666667,1.99,0.055
"27",30,5,86.6137142857143,60,9.288,11.414,0,1.5,18,46.3,34.2,15.975,17.6283333333333,27.3883333333333,27.4233333333333,13.2516666666667
"28",20,1,86.5725714285714,60,9.995,12.65,77.3,22.3,0.4,0,0,91.1233333333333,10.3366666666667,0.201666666666667,0.005,0
