"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,144.095714285712,100,26.82,45.56,100,0,0,0,0,99.23,0.36,0.65,0.64,0.12
"2",30,3,143.101428571426,100,18.87,34.02,19,75,6,0,0,53.45,44.16,3.11,0.26,0.02
"3",30,5,142.324285714283,100,15.92,29.2,0,1,51,46,2,16.98,20.7,44.23,17.84,1.25
"4",20,1,144.091428571427,100,17.76,36.36,99,1,0,0,0,100.26,0.69,0,0.05,0
"5",20,3,144.531428571427,100,11.69,25.57,37,59,4,0,0,66.07,32.66,2.01,0.26,0
"6",20,5,143.649999999998,100,10.03,21.68,0,3,44,48,5,17.1,23.97,38.43,19.59,1.91
"7",30,1,143.25857142857,100,26.82,32.2,82,18,0,0,0,90.33,10.06,0.31,0.28,0.02
"8",30,3,144.009999999999,100,22.48,27,1,19,74,6,0,19.97,34.75,42.38,3.86,0.04
"9",30,5,145.987142857141,100,20.09,24.5,0,0,2,41,57,8.33,10.09,18.8,36.08,27.7
"10",20,1,144.464285714284,100,17.94,23.24,69,31,0,0,0,84.44,16.53,0.03,0,0
"11",20,3,140.281428571427,100,14.53,18.43,0,24,55,18,3,23.33,34.91,33.04,8.91,0.81
"12",20,5,145.779999999998,100,13.06,16.53,0,0,6,25,69,11.74,10.78,18.44,24.78,35.26
"13",30,1,144.604285714284,100,26.96,61.82,89,9,2,0,0,87.75,6.47,4.36,2.02,0.4
"14",30,3,143.639999999998,100,18.7,45.74,98,2,0,0,0,96.5,2.79,0.76,0.78,0.17
"15",30,5,146.081428571427,100,13.22,34.76,9,56,35,0,0,36.04,45.63,18.75,0.56,0.02
"16",20,1,145.735714285712,100,17.75,50.14,100,0,0,0,0,100.81,0,0.03,0.16,0
"17",20,3,142.352857142855,100,11.56,34.37,98,2,0,0,0,99.97,1.01,0,0.02,0
"18",20,5,143.472857142855,100,7.83,24.81,7,62,28,3,0,42.45,43.84,13.72,0.99,0
"19",30,1,89.3971428571429,60,15.02,26.26,99,1,0,0,0,98.1833333333333,1.1,1.03333333333333,1.18333333333333,0.166666666666667
"20",30,3,88.9785714285715,60,10.3,18.37,42,55,3,0,0,71.1166666666667,28.6,1.71666666666667,0.166666666666667,0.0666666666666667
"21",30,5,88.1857142857144,60,7.78,14.26,0,20,55,22,3,27.5166666666667,32.4166666666667,31.6,9,1.13333333333333
"22",20,1,86.1685714285714,60,9.64,20.53,100,0,0,0,0,101.466666666667,0.133333333333333,0.0166666666666667,0.05,0
"23",20,3,87.3457142857144,60,6.02,13.55,50,45,5,0,0,76.0833333333333,22.8666666666667,2.68333333333333,0.0333333333333333,0
"24",20,5,84.8485714285712,60,4.3,10.08,4,32,47,16,1,38.6333333333333,33.1,23.6333333333333,5.63333333333333,0.666666666666667
"25",30,1,87.5285714285714,60,15.24,18.1,84,14,2,0,0,92.6,7.91666666666667,0.966666666666667,0.183333333333333,0
"26",30,3,87.1871428571428,60,11.47,13.29,3,44,45,8,0,35.7333333333333,41.7166666666667,21.9333333333333,2.28333333333333,0
"27",30,5,85.562857142857,60,8.91,11.57,0,3,20,42,35,16.4666666666667,19.0333333333333,27.0833333333333,26.2833333333333,12.8
"28",20,1,87.8557142857141,60,10.59,12.1,78,21,1,0,0,91.4333333333333,9.68333333333333,0.55,0,0
"29",20,3,89.4685714285712,60,7.34,8.87,7,42,40,10,1,43.7666666666667,34.2833333333333,20.0666666666667,3.41666666666667,0.133333333333333
"30",20,5,86.1114285714288,60,5.69,7.54,0,3,18,33,46,19.05,16.7166666666667,24.2,25.15,16.55
"31",30,1,86.5371428571428,60,16.29,35.03,91,6,3,0,0,89.4,5.86666666666667,3.95,2.25,0.2
"32",30,3,86.6542857142856,60,10.36,26.3,99,1,0,0,0,94.6666666666667,1.83333333333333,2.11666666666667,2.18333333333333,0.866666666666667
"33",30,5,87.652857142857,60,6.36,18.55,33,54,13,0,0,66.6166666666667,28.6833333333333,5.65,0.683333333333333,0.0333333333333333
"34",20,1,89.0042857142857,60,9.69,28.64,100,0,0,0,0,101.35,0.0166666666666667,0.0333333333333333,0.266666666666667,0
"35",20,3,86.8728571428569,60,6.11,18.91,98,2,0,0,0,100.6,1.05,0,0.0166666666666667,0
"36",20,5,89.4599999999998,60,3.79,12.98,26,66,8,0,0,65,33,3.46666666666667,0.2,0
"37",30,1,44.9957142857144,30,6.32,11.34,100,0,0,0,0,96.9,1.13333333333333,2.36666666666667,2.46666666666667,0.466666666666667
"38",30,3,44.5728571428573,30,3.92,7.44,66,30,3,1,0,83.9333333333333,15.8,2.36666666666667,1.06666666666667,0.166666666666667
"39",30,5,46.2428571428572,30,2.6,5.04,15,47,29,9,0,54.5666666666667,32.9666666666667,13.1666666666667,2.56666666666667,0.0666666666666667
"40",20,1,44.6471428571431,30,3.93,8.32,100,0,0,0,0,103.166666666667,0.0666666666666667,0.0333333333333333,0.0666666666666667,0
"41",20,3,44.4428571428573,30,2.33,4.95,83,17,0,0,0,97.9,5.16666666666667,0.266666666666667,0,0
"42",20,5,44.0371428571429,30,1.71,3.16,37,42,19,2,0,73.1,22.5,7,0.733333333333333,0
