"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat","dose1_crmmc_selec","dose2_crmmc_selec","dose3_crmmc_selec","dose4_crmmc_selec","dose5_crmmc_selec"
"1",30,1,1.48075714285714,100,NA,NA,100,0,0,0,0,97.855,1.558,0.757,0.736,0.094,100,0,0,0,0
"2",30,3,1.42201428571428,100,NA,NA,98.2,1.8,0,0,0,92.755,5.124,1.481,1.286,0.354,98.3,1.7,0,0,0
"3",30,5,1.38198571428571,100,NA,NA,4.3,51.4,43.4,0.9,0,30.91,40.521,25.18,3.33,1.059,4.2,51.8,43.2,0.8,0
"4",20,1,1.47127142857143,100,NA,NA,99.8,0.2,0,0,0,94.932,3.173,1.387,1.225,0.283,99.8,0.2,0,0,0
"5",20,3,1.40912857142857,100,NA,NA,17.3,66.3,16.3,0.1,0,43.615,41.857,12.58,2.131,0.817,17.4,66.2,16.3,0.1,0
"6",20,5,1.48447142857143,100,NA,NA,0,1.8,40.3,52,5.9,12.349,15.811,37.16,29.851,5.829,0,1.8,40,52.4,5.8
"7",30,1,1.41624285714286,100,NA,NA,100,0,0,0,0,96.204,2.396,1.094,1.07,0.236,100,0,0,0,0
"8",30,3,1.46945714285714,100,NA,NA,40,55.3,4.7,0,0,60.01,32.995,5.673,1.658,0.664,39.3,56.2,4.5,0,0
"9",30,5,1.49397142857143,100,NA,NA,0,5.9,60.2,33.3,0.6,15.095,21.351,41.134,20.833,2.587,0,5.5,59.5,34.4,0.6
"10",20,1,1.47801428571429,100,NA,NA,59.5,39.1,1.4,0,0,70.067,25.29,3.453,1.563,0.627,59.5,39.6,0.9,0,0
"11",20,3,1.4351,100,NA,NA,0.2,13.7,67.2,18.8,0.1,17.994,27.084,41.196,12.951,1.775,0.2,13.1,67.6,19,0.1
"12",20,5,1.45204285714286,100,NA,NA,0,0,4.1,41.3,54.6,7.289,9.516,19.084,35.927,29.184,0,0,4.2,40.7,55.1
"13",30,1,1.37931428571429,100,NA,NA,100,0,0,0,0,98.687,1.204,0.573,0.491,0.045,100,0,0,0,0
"14",30,3,1.39032857142857,100,NA,NA,100,0,0,0,0,96.99,1.983,0.945,0.947,0.135,100,0,0,0,0
"15",30,5,1.46327142857143,100,NA,NA,62.4,36.3,1.3,0,0,71.347,23.886,3.52,1.657,0.59,62.4,36.3,1.3,0,0
"16",20,1,1.48344285714286,100,NA,NA,100,0,0,0,0,97.589,1.639,0.819,0.807,0.146,100,0,0,0,0
"17",20,3,1.49788571428571,100,NA,NA,89.5,10.4,0.1,0,0,87.065,10.134,1.877,1.464,0.46,90.1,9.8,0.1,0,0
"18",20,5,1.4372,100,NA,NA,0.9,31.2,64.7,3.2,0,22.998,34.903,36.16,5.779,1.16,1,31.1,64.5,3.4,0
"19",30,1,0.814357142857143,60,NA,NA,100,0,0,0,0,96.4383333333333,2.56,1.29,1.24833333333333,0.13,100,0,0,0,0
