"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat","dose1_crmmc_selec","dose2_crmmc_selec","dose3_crmmc_selec","dose4_crmmc_selec","dose5_crmmc_selec"
"1",30,1,1.54985714285714,100,NA,NA,100,0,0,0,0,97.82,1.61,0.76,0.76,0.05,100,0,0,0,0
"2",30,3,1.59328571428571,100,NA,NA,96,4,0,0,0,91.65,6.18,1.56,1.16,0.45,97,3,0,0,0
"3",30,5,1.303,100,NA,NA,5,53,41,1,0,30.68,39.1,26.58,3.56,1.08,4,50,45,1,0
"4",20,1,1.30242857142857,100,NA,NA,100,0,0,0,0,95.91,2.26,1.27,1.29,0.27,100,0,0,0,0
"5",20,3,1.62428571428571,100,NA,NA,26,63,11,0,0,51.21,37.07,10.05,1.96,0.71,27,61,12,0,0
"6",20,5,1.55785714285714,100,NA,NA,0,0,39,55,6,12.11,15.36,38.88,29.54,5.11,0,0,41,54,5
"7",30,1,1.68,100,NA,NA,100,0,0,0,0,96.21,2.6,1.04,0.97,0.18,100,0,0,0,0
"8",30,3,1.34914285714286,100,NA,NA,34,61,5,0,0,54.44,37.97,5.72,2.03,0.84,35,59,6,0,0
"9",30,5,1.54328571428571,100,NA,NA,0,6,64,30,0,15.55,21.65,41.74,19.78,2.28,0,4,65,31,0
"10",20,1,1.73314285714286,100,NA,NA,62,35,3,0,0,70.66,24.13,3.82,1.63,0.76,62,36,2,0,0
"11",20,3,1.49271428571429,100,NA,NA,0,14,62,23,1,17.2,26.17,40.12,15.31,2.2,0,13,64,22,1
"12",20,5,1.49328571428571,100,NA,NA,0,0,4,45,51,7.85,9.86,19.39,34.88,29.02,0,0,4,45,51
"13",30,1,1.45742857142857,100,NA,NA,100,0,0,0,0,98.6,1.19,0.64,0.54,0.03,100,0,0,0,0
"14",30,3,1.51885714285714,100,NA,NA,100,0,0,0,0,97.24,1.81,0.88,0.96,0.11,100,0,0,0,0
"15",30,5,1.34671428571429,100,NA,NA,58,39,3,0,0,69.32,26.03,3.77,1.43,0.45,61,36,3,0,0
"16",20,1,1.32057142857143,100,NA,NA,100,0,0,0,0,97.47,1.92,0.77,0.73,0.11,100,0,0,0,0
"17",20,3,1.494,100,NA,NA,90,10,0,0,0,85,12.01,2.13,1.51,0.35,90,10,0,0,0
"18",20,5,1.572,100,NA,NA,1,31,65,3,0,22.46,36.22,35.64,5.75,0.93,1,32,65,2,0
"19",30,1,0.772285714285714,60,NA,NA,100,0,0,0,0,96.0333333333333,2.63333333333333,1.36666666666667,1.45,0.183333333333333,100,0,0,0,0
"20",30,3,0.922714285714286,60,NA,NA,98,2,0,0,0,90.4833333333333,6.51666666666667,2.2,1.86666666666667,0.6,98,2,0,0,0
"21",30,5,0.854142857142857,60,NA,NA,19,50,30,1,0,46.3666666666667,31.9333333333333,17.5166666666667,4.26666666666667,1.58333333333333,18,50,32,0,0
"22",20,1,1.092,60,NA,NA,100,0,0,0,0,92.5833333333333,4.81666666666667,2.2,1.76666666666667,0.3,100,0,0,0,0
