"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,144.002714285712,100,27.565,46.665,97.7,2.3,0,0,0,87.314,13.684,0.002,0,0
"2",30,3,144.030714285712,100,20.52,36.564,4.8,80.1,15.1,0,0,14.238,78.087,8.672,0.003,0
"3",30,5,144.923285714284,100,16.57,31.198,0,1,41.6,55.1,2.3,2.157,29.095,44.54,24.198,1.01
"4",20,1,144.582285714284,100,17.975,36.498,100,0,0,0,0,100.775,0.225,0,0,0
"5",20,3,144.948714285712,100,12.113,25.189,29.8,63.4,6.8,0,0,60.701,37.636,2.641,0.022,0
"6",20,5,143.755428571426,100,9.222,20.452,0,7,48,41.5,3.5,18.591,30.314,34.972,15.795,1.328
"7",30,1,143.92057142857,100,29.176,34.183,37.2,62.6,0.2,0,0,38.196,62.165,0.638,0.001,0
"8",30,3,143.822142857141,100,23.733,28.138,0,13.6,80.3,6.1,0,2.928,44.97,49.846,3.189,0.067
"9",30,5,143.772428571427,100,20.246,24.624,0,0,1.6,46.3,52.1,0.544,16.463,19.767,39.674,24.552
"10",20,1,144.752428571426,100,18.396,23.053,70.6,29.1,0.3,0,0,84.881,16.005,0.114,0,0
"11",20,3,144.463428571427,100,14.239,17.698,0.1,23,63.7,13.2,0,24.085,39.803,31.863,5.151,0.098
"12",20,5,144.570857142855,100,12.277,16.154,0,0,4.1,35.6,60.3,9.67,15.966,20.456,29.481,25.427
"13",30,1,145.266999999998,100,26.645,61.163,99.9,0.1,0,0,0,95.058,5.942,0,0,0
"14",30,3,145.601285714284,100,19.098,46.759,81.7,18.3,0,0,0,72.507,28.456,0.037,0,0
"15",30,5,143.673714285712,100,13.613,36.881,1.6,47.8,49.6,1,0,8.736,63.689,28.135,0.431,0.009
"16",20,1,144.019714285712,100,18.085,49.937,100,0,0,0,0,100.987,0.013,0,0,0
"17",20,3,145.227428571427,100,11.462,34.815,96.3,3.7,0,0,0,98.43,2.567,0.003,0,0
"18",20,5,143.68757142857,100,7.617,24.431,7.6,60.5,30.2,1.7,0,39.999,47.215,13.058,0.717,0.011
"19",30,1,87.3028571428572,60,15.363,26.719,94.3,5.7,0,0,0,80.0433333333333,21.6116666666667,0.0116666666666667,0,0
"20",30,3,87.1828571428571,60,11.188,19.904,8.9,79,12.1,0,0,19.4,76.47,5.78,0.0166666666666667,0
"21",30,5,87.8532857142857,60,8.132,15.729,0.2,9.1,59,30.3,1.4,3.03833333333333,46.49,40.32,11.355,0.463333333333333
"22",20,1,87.4844285714285,60,9.998,20.2,99.8,0.2,0,0,0,101.328333333333,0.338333333333333,0,0,0
"23",20,3,87.7731428571428,60,6.506,13.308,51.9,46.2,1.9,0,0,79.5733333333334,21.225,0.826666666666666,0.0383333333333333,0.00333333333333334
"24",20,5,86.6091428571429,60,4.189,9.428,1.1,32,51.2,15,0.7,33.5283333333333,41.3283333333333,22.1016666666667,4.34333333333333,0.365
"25",30,1,87.2317142857142,60,16.201,19.049,40.4,58.7,0.9,0,0,38.7033333333333,62.32,0.643333333333333,0,0
"26",30,3,87.0039999999999,60,12.188,14.849,0.2,30.6,64.5,4.7,0,4.555,61.97,33.1333333333333,1.97666666666667,0.0316666666666667
"27",30,5,86.5142857142856,60,9.423,11.877,0,0.3,13.6,56.8,29.3,0.89,28.5383333333333,30.49,30.3083333333333,11.44
"28",20,1,87.4868571428572,60,10.112,12.599,78.8,20.6,0.6,0,0,91.4833333333333,10.075,0.108333333333333,0,0
"29",20,3,86.8168571428571,60,6.714,8.65,5.1,50.7,39.2,4.5,0.5,42.6816666666667,42.98,14.375,1.46333333333333,0.166666666666667
"30",20,5,87.6562857142857,60,5.237,7.001,0,1.9,24.9,43.5,29.7,17.7616666666667,26.8083333333333,26.7083333333333,19.935,10.4533333333333
"31",30,1,86.9584285714285,60,14.727,34.94,100,0,0,0,0,91.8516666666667,9.79999999999999,0.00333333333333333,0.0116666666666667,0
"32",30,3,86.5489999999999,60,10.676,26.531,78.5,21.5,0,0,0,67.7716666666667,33.8366666666667,0.0583333333333334,0,0
"33",30,5,86.9804285714285,60,7.056,19.784,6.4,59.6,33.4,0.6,0,14.31,71.07,15.9266666666667,0.355,0.005
"34",20,1,87.2125714285714,60,10.178,28.232,100,0,0,0,0,101.648333333334,0.0183333333333333,0,0,0
"35",20,3,86.8622857142857,60,6.409,19.253,96.3,3.7,0,0,0,99.4266666666667,2.235,0.005,0,0
"36",20,5,87.0674285714285,60,3.906,12.725,26.3,60.2,13.1,0.3,0.1,61.475,35.1333333333333,4.89833333333333,0.0949999999999999,0.065
"37",30,1,43.9035714285716,30,6.499,11.521,90.7,9.3,0,0,0,67.76,35.5666666666667,0.00666666666666666,0,0
"38",30,3,44.4804285714287,30,4.546,8.193,27.3,68.6,4,0.1,0,26.1533333333333,75.4333333333333,1.73666666666667,0.01,0
"39",30,5,44.7272857142859,30,2.796,5.547,2.9,46.6,44.5,5.5,0.5,6.63333333333333,75.46,19.25,1.82666666666667,0.163333333333333
"40",20,1,44.6291428571429,30,4.087,8.349,99.6,0.4,0,0,0,103.153333333333,0.18,0,0,0
"41",20,3,44.5510000000001,30,2.466,5.151,83.4,15.6,1,0,0,96.19,6.95,0.193333333333333,0,0
"42",20,5,43.7630000000001,30,1.45,3.228,33.6,55.3,9.8,1.3,0,71.9733333333333,28.2033333333333,2.92333333333333,0.23,0.00333333333333333
"43",30,1,44.7262857142858,30,6.541,8.081,48.9,49.8,1.3,0,0,37.88,64.9333333333333,0.52,0,0
"44",30,3,44.3255714285716,30,4.437,5.547,6.8,60.8,30.8,1.6,0,9.41,81.0366666666666,12.3233333333333,0.536666666666667,0.0266666666666667
"45",30,5,43.8717142857144,30,3.061,3.771,0.3,16.3,53.6,24.9,4.9,1.64666666666667,60.72,31.0066666666666,8.33,1.63
"46",20,1,44.3627142857144,30,4.008,4.983,92.5,7.3,0.2,0,0,99.6100000000001,3.68333333333333,0.04,0,0
"47",20,3,44.0408571428573,30,2.442,3.084,47.6,46.3,6,0.1,0,79.5633333333333,22.2466666666667,1.48333333333333,0.04,0
"48",20,5,44.5024285714287,30,1.472,1.994,6.3,51.2,33,7.7,1.8,49.6066666666667,40.0666666666667,11.1933333333333,1.94333333333333,0.523333333333333
"49",30,1,43.8564285714287,30,6.256,15.405,99.6,0.4,0,0,0,84.4833333333333,18.85,0,0,0
"50",30,3,44.3955714285715,30,4.363,11.293,74.8,25.1,0.1,0,0,57.2966666666666,45.9666666666667,0.07,0,0
"51",30,5,44.2554285714287,30,2.708,7.636,15.8,68.5,15.4,0.2,0.1,18.1066666666667,79.4133333333333,5.69333333333333,0.116666666666667,0.00333333333333333
"52",20,1,44.3944285714287,30,3.996,11.885,100,0,0,0,0,103.313333333333,0.02,0,0,0
"53",20,3,44.5655714285716,30,2.403,7.734,97.8,2.2,0,0,0,102.21,1.12333333333333,0,0,0
"54",20,5,44.0888571428573,30,1.463,4.743,67,30.4,2.4,0.2,0,88.7333333333333,14.02,0.563333333333334,0.0166666666666666,0
