"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,143.962857142855,100,26.83,46.65,97,3,0,0,0,88.75,12.23,0.02,0,0
"2",30,3,144.039999999998,100,20,36.14,12,71,17,0,0,20.06,72.17,8.77,0,0
"3",30,5,145.628571428569,100,16.33,31.14,0,2,41,55,2,1.99,30.02,44.96,23.36,0.67
"4",20,1,144.549999999997,100,17.82,36.47,100,0,0,0,0,100.57,0.43,0,0,0
"5",20,3,145.419999999998,100,11.38,24.64,23,65,12,0,0,57.12,41.28,2.6,0,0
"6",20,5,143.048571428569,100,8.46,20.2,0,14,48,36,2,21.85,35.6,31.85,11.01,0.69
"7",30,1,145.432857142855,100,28.25,34.79,35,65,0,0,0,36.76,63.54,0.7,0,0
"8",30,3,143.611428571427,100,23.93,27.9,0,21,74,5,0,3.47,48.48,45.91,2.74,0.4
"9",30,5,145.407142857141,100,20.79,24.51,0,0,1,44,55,0.73,15.74,18.11,40.29,26.13
"10",20,1,145.351428571427,100,18.45,22.73,74,25,1,0,0,88.26,12.39,0.35,0,0
"11",20,3,144.389999999999,100,14.88,17.67,0,23,66,11,0,24.13,38.57,33.2,5.06,0.04
"12",20,5,144.631428571427,100,12.3,15.81,0,0,6,31,63,9.27,16.47,20.03,29.03,26.2
"13",30,1,146.18857142857,100,26.28,61.41,100,0,0,0,0,95.99,5.01,0,0,0
"14",30,3,146.272857142855,100,19.39,46.41,79,21,0,0,0,71.91,29.04,0.05,0,0
"15",30,5,141.03857142857,100,13.68,36.8,0,51,49,0,0,7.13,67.05,26.71,0.11,0
"16",20,1,143.741428571427,100,17.91,49.41,100,0,0,0,0,101,0,0,0,0
"17",20,3,141.734285714284,100,11.39,34.7,95,5,0,0,0,98.43,2.57,0,0,0
"18",20,5,142.512857142855,100,7.63,23.47,3,59,34,4,0,38.6,47.51,13.49,1.39,0.01
"19",30,1,89.4485714285714,60,15.01,26.54,91,9,0,0,0,77.2,24.4666666666667,0,0,0
"20",30,3,86.6542857142855,60,11.46,19.45,9,81,10,0,0,23.7,73.2333333333333,4.73333333333333,0,0
"21",30,5,87.5699999999995,60,8.16,15.52,0,6,61,32,1,2.76666666666667,47.2333333333333,38.9833333333333,12.2833333333333,0.4
"22",20,1,87.43,60,9.71,19.7,99,1,0,0,0,101.05,0.616666666666667,0,0,0
"23",20,3,90.3428571428571,60,6.72,13.86,54,43,3,0,0,79.8833333333333,21.05,0.733333333333333,0,0
"24",20,5,86.1400000000001,60,4.2,9.3,2,27,59,12,0,33.75,40.6666666666667,24.2833333333333,2.78333333333333,0.183333333333333
"25",30,1,87.7499999999998,60,15.78,19.3,36,64,0,0,0,35.5333333333333,65.8333333333333,0.3,0,0
"26",30,3,87.8728571428566,60,12.56,14.71,0,26,71,3,0,2.2,66.0833333333333,32.0833333333333,1.28333333333333,0.0166666666666667
"27",30,5,85.5457142857144,60,9.46,11.73,0,1,16,54,29,1.3,30.4333333333333,30.3833333333333,31.35,8.2
"28",20,1,89.1242857142855,60,10.74,12.76,81,19,0,0,0,92.0166666666667,9.63333333333333,0.0166666666666667,0,0
"29",20,3,86.5585714285713,60,6.87,8.32,5,53,37,5,0,43.4333333333333,43.3,13.15,1.76666666666667,0.0166666666666667
"30",20,5,88.5357142857142,60,5.32,6.94,0,2,22,53,23,17.7166666666667,28.1,27.2666666666667,20.7666666666667,7.81666666666667
"31",30,1,86.6528571428569,60,15.14,34.48,100,0,0,0,0,92.15,9.51666666666667,0,0,0
"32",30,3,86.8842857142853,60,10.59,26.14,73,27,0,0,0,62.9333333333333,38.6166666666667,0.116666666666667,0,0
"33",30,5,89.6885714285711,60,6.99,20.01,7,55,37,1,0,14.3166666666667,67.95,18.5833333333333,0.8,0.0166666666666667
"34",20,1,85.9500000000001,60,10.25,28.52,100,0,0,0,0,101.666666666667,0,0,0,0
"35",20,3,86.7742857142856,60,6.75,19.96,96,4,0,0,0,99.5666666666667,2.1,0,0,0
"36",20,5,86.9585714285712,60,3.94,12.48,29,58,12,0,1,63.3333333333333,32.9333333333333,4.66666666666667,0.233333333333333,0.5
"37",30,1,42.4300000000001,30,6.4,11.16,91,9,0,0,0,66.3333333333333,37,0,0,0
"38",30,3,44.5200000000002,30,4.46,8.05,33,63,4,0,0,28.7,72.5,2.13333333333333,0,0
"39",30,5,45.1428571428573,30,2.84,5.77,2,43,53,2,0,4.76666666666667,73.7666666666667,23.5,1.3,0
"40",20,1,44.4114285714286,30,4.21,8.25,99,1,0,0,0,103.1,0.233333333333333,0,0,0
"41",20,3,44.7714285714287,30,2.52,5.17,90,9,1,0,0,98.1333333333333,4.86666666666667,0.333333333333333,0,0
"42",20,5,43.3700000000002,30,1.45,3.05,31,60,9,0,0,69.0666666666667,32.1666666666667,2.06666666666667,0.0333333333333333,0
"43",30,1,45.7214285714286,30,6.83,8.16,47,52,1,0,0,35.0333333333333,68,0.3,0,0
"44",30,3,45.267142857143,30,4.54,5.77,9,61,29,1,0,10.3666666666667,80.7,12.1666666666667,0.1,0
"45",30,5,43.8014285714286,30,3.08,3.93,2,20,57,16,5,3.86666666666667,64.7333333333333,27.8333333333333,5.13333333333333,1.76666666666667
"46",20,1,43.8514285714287,30,4.34,4.76,91,9,0,0,0,99.9333333333333,3.4,0,0,0
"47",20,3,45.0785714285716,30,2.28,2.91,40,50,9,1,0,74.2,27.1333333333333,1.9,0.1,0
"48",20,5,43.6700000000001,30,1.36,1.91,8,47,34,11,0,49.6,40.8666666666667,10.9333333333333,1.9,0.0333333333333333
"49",30,1,44.9842857142858,30,5.93,15.21,100,0,0,0,0,82.7,20.6333333333333,0,0,0
"50",30,3,43.7442857142858,30,4.09,11.44,83,17,0,0,0,60.4333333333333,42.8666666666667,0.0333333333333333,0,0
"51",30,5,43.3200000000001,30,2.77,7.48,14,72,14,0,0,17.1333333333333,80.3,5.8,0.1,0
"52",20,1,43.7571428571431,30,4.07,11.95,100,0,0,0,0,103.333333333333,0,0,0,0
"53",20,3,44.3885714285716,30,2.44,7.3,97,3,0,0,0,101.8,1.53333333333333,0,0,0
"54",20,5,43.7128571428573,30,1.4,5.09,66,32,2,0,0,89.2,13.5333333333333,0.6,0,0
