"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,144.424142857141,100,25.955,43.14,84.2,15.8,0,0,0,85.114,15.367,0.377,0.13,0.012
"2",30,3,144.619428571427,100,20.435,36.642,1,37.2,59.7,2.1,0,18.353,43.276,36.378,2.892,0.101
"3",30,5,143.369999999998,100,19.065,34.714,0,0,3.8,46.2,50,5.729,8.375,17.334,38.078,31.484
"4",20,1,144.017285714284,100,16.845,33.947,88.5,11.5,0,0,0,89.948,10.832,0.215,0.005,0
"5",20,3,144.29257142857,100,12.802,26.52,2,44.5,50.9,2.6,0,23.864,44.851,29.513,2.652,0.12
"6",20,5,143.431714285713,100,11.527,24.459,0,0.3,8.4,53.4,37.9,9.111,11.102,22.409,36.416,21.962
"7",30,1,144.602285714284,100,28.295,32.848,13,72.4,14.6,0,0,30.631,55.842,14.155,0.352,0.02
"8",30,3,144.039285714284,100,25.649,30.131,0,1.8,44.2,51.9,2.1,8.806,13.577,39.476,35.396,3.745
"9",30,5,144.500285714284,100,21.468,25.901,0,0,0,5.5,94.5,3.982,5.245,7.773,15.579,68.421
"10",20,1,144.140999999998,100,18.674,23.124,16.7,69.3,14,0,0,39.77,50.919,10.136,0.171,0.004
"11",20,3,144.018714285712,100,16.789,20.966,0,1.7,37.4,52.4,8.5,11.489,15.551,36.334,31.045,6.581
"12",20,5,144.269857142855,100,13.393,17.068,0,0,0.1,5.7,94.2,6.326,6.454,9.668,15.654,62.898
"13",30,1,144.299857142855,100,24.949,56.423,99.9,0.1,0,0,0,98.504,1.204,0.437,0.664,0.191
"14",30,3,144.384571428569,100,18.275,44.437,52.3,46.5,1.2,0,0,63.246,35.702,1.9,0.135,0.017
"15",30,5,144.868142857141,100,14.308,38.525,0.3,12.1,64.1,23.4,0.1,12.822,25.894,46.005,15.444,0.835
"16",20,1,144.419714285712,100,16.651,46.587,100,0,0,0,0,100.422,0.557,0.012,0.007,0.002
"17",20,3,144.406714285712,100,11.366,33.129,61.2,38.1,0.7,0,0,72.487,27.461,1.036,0.016,0
