"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,143.464285714283,100,25.32,42.69,84,16,0,0,0,85.91,14.73,0.2,0.15,0.01
"2",30,3,143.042857142855,100,20.41,36.35,0,40,59,1,0,17.76,45.97,34.79,2.33,0.15
"3",30,5,142.621428571427,100,19.38,34.3,0,0,6,38,56,6.04,7.71,16.72,36.37,34.16
"4",20,1,147.319999999998,100,16.86,34.87,90,10,0,0,0,90.59,10.31,0.09,0.01,0
"5",20,3,146.137142857141,100,12.78,26.52,0,42,55,3,0,22.16,43.82,31.94,2.87,0.21
"6",20,5,141.711428571427,100,11.37,24.24,0,0,14,54,32,10.22,12.15,23,35.61,20.02
"7",30,1,143.397142857141,100,28.5,32.58,17,68,15,0,0,33.8,52.39,14.56,0.25,0
"8",30,3,142.269999999998,100,26.11,29.71,0,1,45,48,6,8.72,12.65,39.14,36.59,3.9
"9",30,5,145.38857142857,100,21.63,25.25,0,0,0,5,95,4.06,5.91,8.58,18.04,64.41
"10",20,1,143.191428571426,100,18.22,23.24,15,68,17,0,0,37.42,51.02,12.22,0.33,0.01
"11",20,3,145.62714285714,100,16.45,21.55,0,1,33,57,9,10.72,14.41,34.83,34.93,6.11
"12",20,5,146.124285714284,100,13.93,17,0,0,0,4,96,6.02,6.02,9.33,13.57,66.06
"13",30,1,144.231428571427,100,25.02,56.52,100,0,0,0,0,97.81,1.71,0.73,0.6,0.15
"14",30,3,144.765714285712,100,18.48,43.78,49,50,1,0,0,61.47,37.85,1.6,0.08,0
"15",30,5,143.132857142856,100,14.41,37.63,0,8,69,23,0,13.23,26.13,46.44,14.52,0.68
"16",20,1,143.649999999998,100,16.61,45.93,100,0,0,0,0,100.49,0.48,0,0.03,0
"17",20,3,144.342857142856,100,11.14,32.93,62,38,0,0,0,75.77,24.67,0.51,0.05,0
"18",20,5,145.799999999999,100,8.82,27.28,0,14,67,19,0,15.87,29.73,42.54,12.25,0.61
"19",30,1,85.842857142857,60,13.02,23.12,75,25,0,0,0,79.1333333333333,21.0333333333333,1.06666666666667,0.366666666666667,0.0666666666666667
"20",30,3,87.6414285714287,60,10.24,18.5,8,41,49,2,0,33.2166666666667,36.75,28.4166666666667,3.11666666666667,0.166666666666667
"21",30,5,87.3685714285714,60,8.28,15.94,0,0,19,50,31,10.1333333333333,16.6666666666667,27.2,30.9166666666667,16.75
"22",20,1,87.2299999999999,60,9.06,17.36,82,18,0,0,0,89.6333333333333,11.3166666666667,0.616666666666667,0.0333333333333333,0.0666666666666667
"23",20,3,89.1099999999998,60,6.05,12.71,8,54,36,2,0,40.5833333333333,39.6666666666667,18.8,2.5,0.116666666666667
"24",20,5,88.2728571428569,60,4.93,10.75,0,5,26,41,28,17.75,19.1666666666667,25.95,26.1833333333333,12.6166666666667
"25",30,1,86.77,60,14.26,17.18,24,61,14,1,0,46.25,43.7,11.2666666666667,0.433333333333333,0.0166666666666667
"26",30,3,87.2385714285715,60,11.74,14.74,0,4,42,51,3,12.7333333333333,21.3833333333333,36.0833333333333,27.8166666666667,3.65
"27",30,5,86.5657142857142,60,10.2,12.1,0,0,2,19,79,7,8.46666666666667,13.95,23.2166666666667,49.0333333333333
"28",20,1,87.855714285714,60,9.52,11.41,23,65,12,0,0,51.5166666666667,42.2833333333333,7.6,0.25,0.0166666666666667
"29",20,3,89.8357142857144,60,7.61,10.07,0,15,36,41,8,20.1333333333333,24.15,30.6166666666667,22,4.76666666666667
"30",20,5,88.3357142857144,60,5.98,7.7,0,0,1,9,90,10.8666666666667,9.28333333333333,14.1166666666667,19.0666666666667,48.3333333333333
"31",30,1,87.8257142857142,60,13.66,30.27,99,1,0,0,0,98.4333333333333,0.766666666666667,0.566666666666667,1.68333333333333,0.216666666666667
"32",30,3,86.5014285714287,60,9.6,23.24,60,36,4,0,0,71.9833333333333,26.45,2.8,0.316666666666667,0.116666666666667
"33",30,5,87.7199999999998,60,6.44,18.98,5,24,60,11,0,25.5833333333333,34.3666666666667,33.5833333333333,7.93333333333333,0.2
"34",20,1,86.6257142857141,60,9.11,23.88,100,0,0,0,0,100.9,0.766666666666667,0,0,0
"35",20,3,86.0971428571428,60,5.76,16.63,57,41,2,0,0,73.75,25.8,2.03333333333333,0.0833333333333333,0
"36",20,5,87.0257142857142,60,4,12.92,3,37,48,12,0,29.5833333333333,37.3666666666667,27.7,6.53333333333333,0.483333333333333
"37",30,1,45.1414285714287,30,4.41,7.95,85,15,0,0,0,90.2666666666667,12.5666666666667,0.333333333333333,0.133333333333333,0.0333333333333333
"38",30,3,45.2528571428573,30,2.87,5.57,14,56,25,5,0,49.6,38.3,12.9,2.36666666666667,0.166666666666667
"39",30,5,45.4214285714286,30,2.02,4.4,0,18,37,27,18,25.3,29.2,27.5,13.8333333333333,7.5
"40",20,1,44.1542857142859,30,2.63,5.65,90,10,0,0,0,96.3666666666667,6.9,0.0666666666666667,0,0
"41",20,3,42.8800000000001,30,1.66,3.54,36,47,15,1,1,67.5333333333333,29.0333333333333,5.9,0.733333333333333,0.133333333333333
"42",20,5,45.2728571428572,30,1.07,2.75,2,30,38,20,10,39.6666666666667,31.0333333333333,20.2666666666667,8.8,3.56666666666667
"43",30,1,43.2742857142859,30,4.22,5.3,33,49,18,0,0,62.4666666666667,32.1,8.4,0.333333333333333,0.0333333333333333
"44",30,3,43.0914285714288,30,3.29,3.61,1,25,46,26,2,31.6666666666667,33.4666666666667,26.0333333333333,9.83333333333333,2.33333333333333
"45",30,5,44.2128571428574,30,2.48,2.71,1,1,14,23,61,17.7666666666667,17.6,21.6666666666667,20.8,25.5
"46",20,1,43.9314285714287,30,2.72,3.41,45,49,6,0,0,78.0666666666667,23.0333333333333,2.2,0.0333333333333333,0
"47",20,3,43.5000000000001,30,1.78,2.27,6,45,36,11,2,51.6,33.5,14.8333333333333,2.9,0.5
"48",20,5,44.9000000000002,30,1.29,1.52,1,5,24,35,35,28.0666666666667,22.4666666666667,24.8666666666667,17.1666666666667,10.7666666666667
"49",30,1,45.4500000000003,30,4.09,11.6,95,4,1,0,0,97.6333333333333,2.36666666666667,0.9,1.76666666666667,0.666666666666667
"50",30,3,45.8742857142859,30,3.1,8.18,72,26,2,0,0,84.7333333333333,16.5,1.33333333333333,0.566666666666667,0.2
"51",30,5,43.0257142857144,30,1.83,5.2,14,37,37,11,1,47.3333333333333,32.6333333333333,18.9333333333333,3.86666666666667,0.566666666666667
"52",20,1,45.4914285714286,30,2.93,8.25,99,1,0,0,0,101.6,1.73333333333333,0,0,0
"53",20,3,43.867142857143,30,1.62,5.57,81,19,0,0,0,93.1666666666667,10.0333333333333,0.133333333333333,0,0
"54",20,5,42.7928571428572,30,0.99,3.2,16,48,32,4,0,57.8,31.5666666666667,12.4666666666667,1.36666666666667,0.133333333333333
