"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat","dose1_crmmc_selec","dose2_crmmc_selec","dose3_crmmc_selec","dose4_crmmc_selec","dose5_crmmc_selec"
"1",30,1,1.46062857142857,100,NA,NA,100,0,0,0,0,91.797,3.566,1.976,2.274,1.387,100,0,0,0,0
"2",30,3,1.46865714285714,100,NA,NA,93.7,6.2,0.1,0,0,75.339,14.921,4.549,3.319,2.872,93.4,6.5,0.1,0,0
"3",30,5,1.43647142857143,100,NA,NA,1.2,31.7,62.8,4.3,0,11.596,32.439,40.654,10.812,5.499,1.1,32.3,62.6,4,0
"4",20,1,1.42188571428571,100,NA,NA,98.8,1.2,0,0,0,83.181,8.722,3.566,3.12,2.411,98.9,1.1,0,0,0
"5",20,3,1.43334285714286,100,NA,NA,7.6,57.1,34.8,0.5,0,19.787,43.417,27.152,6.338,4.306,6.9,58.2,34.5,0.4,0
"6",20,5,1.45728571428571,100,NA,NA,0,0.1,22.9,65.9,11.1,4.298,9.349,28.294,41.941,17.118,0,0.1,22.8,65.7,11.4
"7",30,1,1.42761428571428,100,NA,NA,100,0,0,0,0,86.572,6.365,3.156,2.836,2.071,99.9,0.1,0,0,0
"8",30,3,1.40587142857143,100,NA,NA,20.5,67.9,11.6,0,0,30.267,44.602,17.133,4.939,4.059,21.2,67.3,11.5,0,0
"9",30,5,1.4256,100,NA,NA,0,2.2,44,49.6,4.2,4.945,12.391,36.745,34.856,12.063,0,1.8,44.2,49.8,4.2
"10",20,1,1.31717142857143,100,NA,NA,36.4,58.3,5.2,0.1,0,40.536,40.717,11.517,4.602,3.628,35.6,59,5.4,0,0
"11",20,3,1.40301428571429,100,NA,NA,0,4.5,57.9,36.9,0.7,6.037,15.452,42.846,28.14,8.525,0,4.3,58.4,36.7,0.6
"12",20,5,1.48275714285714,100,NA,NA,0,0.1,1.3,26.2,72.4,2.208,4.844,11.39,30.444,52.114,0,0.1,1,25.1,73.8
"13",30,1,1.39318571428571,100,NA,NA,100,0,0,0,0,93.987,2.525,1.605,1.996,0.887,100,0,0,0,0
"14",30,3,1.3485,100,NA,NA,100,0,0,0,0,89.69,4.664,2.553,2.394,1.699,100,0,0,0,0
"15",30,5,1.49244285714286,100,NA,NA,42.2,53.5,4.3,0,0,43.707,39.362,10.252,4.1,3.579,41.9,53.9,4.2,0,0
"16",20,1,1.40542857142857,100,NA,NA,100,0,0,0,0,90.684,4,2.274,2.426,1.616,100,0,0,0,0
"17",20,3,1.483,100,NA,NA,79.2,20.5,0.3,0,0,64.603,23.567,5.995,3.782,3.053,79.2,20.5,0.3,0,0
"18",20,5,1.39097142857143,100,NA,NA,0.3,17.9,71.9,9.7,0.2,9.012,26.014,45.145,14.405,6.424,0.1,18.1,71.4,10.3,0.1
"19",30,1,0.851914285714286,60,NA,NA,99.9,0.1,0,0,0,85.8316666666667,6.13166666666667,3.53166666666667,3.86666666666667,2.305,100,0,0,0,0
"20",30,3,0.848514285714286,60,NA,NA,88.4,11,0.6,0,0,67.1116666666667,17.5916666666667,7.23833333333333,5.27,4.455,88.5,11.1,0.4,0,0
"21",30,5,0.922471428571429,60,NA,NA,5.7,37.6,48.5,7.9,0.3,17.1,29.72,31.38,13.4366666666667,10.03,5.4,37.6,48.9,7.7,0.4
"22",20,1,0.865671428571429,60,NA,NA,95.5,4.4,0.1,0,0,73.485,13.2316666666667,5.96,4.95333333333333,4.03666666666667,95,4.9,0.1,0,0
"23",20,3,0.866557142857142,60,NA,NA,16.8,51.1,30.3,1.8,0,26.25,34.3933333333333,23.5033333333333,9.91,7.61,16.8,52.3,29.1,1.8,0
"24",20,5,0.938242857142856,60,NA,NA,0.1,4.5,29.2,55,11.2,7.15166666666667,14.2166666666667,27.4516666666667,32.2433333333333,20.6033333333333,0.1,4.3,29.6,53.3,12.7
"25",30,1,0.866514285714285,60,NA,NA,98.5,1.4,0.1,0,0,77.6516666666667,10.2133333333333,5.23833333333333,4.92,3.64333333333333,98.6,1.3,0.1,0,0
"26",30,3,0.8968,60,NA,NA,28.7,55.9,14.9,0.5,0,33.2283333333333,35.0283333333334,18.0383333333333,8.32,7.05166666666667,29.6,54.4,15.6,0.4,0
"27",30,5,0.879014285714286,60,NA,NA,0.4,9.2,43.4,41.5,5.5,7.775,16.7033333333333,31.9333333333333,28.4766666666667,16.7783333333334,0.1,8.3,44.3,42.2,5.1
