"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat","dose1_crmmc_selec","dose2_crmmc_selec","dose3_crmmc_selec","dose4_crmmc_selec","dose5_crmmc_selec"
"1",30,1,1.58885714285714,100,NA,NA,100,0,0,0,0,91.67,3.46,1.7,2.41,1.76,100,0,0,0,0
"2",30,3,1.59371428571429,100,NA,NA,93,7,0,0,0,75.49,14.61,4.59,3.57,2.74,92,8,0,0,0
"3",30,5,1.38185714285714,100,NA,NA,0,31,63,6,0,9.11,32.32,42.34,11.61,5.62,0,30,64,6,0
"4",20,1,1.51171428571429,100,NA,NA,99,1,0,0,0,82.48,8.89,3.54,3.36,2.73,99,1,0,0,0
"5",20,3,1.53471428571429,100,NA,NA,8,57,35,0,0,20.98,44.07,26.34,5.52,4.09,8,63,29,0,0
"6",20,5,1.83371428571429,100,NA,NA,0,0,30,61,9,5.21,11.34,30.82,37.07,16.56,0,0,31,60,9
"7",30,1,1.462,100,NA,NA,100,0,0,0,0,85.55,6.22,3.76,3.06,2.41,100,0,0,0,0
"8",30,3,1.56585714285714,100,NA,NA,21,70,9,0,0,30.95,45.13,16.7,4.37,3.85,20,70,10,0,0
"9",30,5,1.375,100,NA,NA,0,1,44,49,6,5.67,11.75,36.01,35.21,12.36,0,0,45,49,6
"10",20,1,1.19557142857143,100,NA,NA,40,56,4,0,0,40.9,40.32,11.48,4.07,4.23,39,56,5,0,0
"11",20,3,0.992428571428571,100,NA,NA,0,4,59,36,1,5.47,15.73,42.78,28.71,8.31,0,4,59,36,1
"12",20,5,1.27628571428571,100,NA,NA,0,0,0,30,70,2.28,4.48,12.02,30.39,51.83,0,0,0,28,72
"13",30,1,1.28271428571428,100,NA,NA,100,0,0,0,0,94.23,2.31,1.59,1.9,0.97,100,0,0,0,0
"14",30,3,1.26428571428571,100,NA,NA,100,0,0,0,0,90.49,4.41,2.43,2.24,1.43,100,0,0,0,0
"15",30,5,1.45914285714286,100,NA,NA,40,56,4,0,0,42.51,40.25,10.62,4.1,3.52,41,54,5,0,0
"16",20,1,1.42528571428571,100,NA,NA,100,0,0,0,0,90.4,3.93,2.35,2.64,1.68,100,0,0,0,0
"17",20,3,1.59857142857143,100,NA,NA,77,23,0,0,0,64,24.8,5.68,3.71,2.81,76,24,0,0,0
"18",20,5,1.38128571428571,100,NA,NA,0,14,76,10,0,7.39,23.49,46.94,15.71,7.47,0,14,76,10,0
"19",30,1,0.979285714285714,60,NA,NA,100,0,0,0,0,85.6,6.05,3.86666666666667,4.11666666666667,2.03333333333333,100,0,0,0,0
"20",30,3,0.896857142857143,60,NA,NA,89,10,1,0,0,63.9333333333333,19.8833333333333,7.68333333333333,5.55,4.61666666666667,88,12,0,0,0
