"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,144.857428571427,100,27.598,46.157,26.4,73.6,0,0,0,22.504,77.131,1.354,0.011,0
"2",30,3,144.568714285712,100,21.88,38.925,0.1,18.3,80,1.6,0,0.973,44.092,52.687,3.196,0.052
"3",30,5,143.469999999998,100,18.413,34.351,0,0,2.7,53.7,43.6,0.125,14.404,21.015,41.222,24.234
"4",20,1,144.241857142855,100,16.904,33.786,91.3,8.7,0,0,0,91.666,9.288,0.046,0,0
"5",20,3,145.030857142855,100,12.398,25.814,3.3,53.2,42.3,1.2,0,24.83,53.392,21.566,1.179,0.033
"6",20,5,144.753428571427,100,10.761,23.034,0,0.4,11.3,59.7,28.6,8.396,17.593,26.841,34.544,13.626
"7",30,1,143.761999999998,100,30.053,35.117,1.6,72.3,26.1,0,0,2.984,73.881,23.883,0.242,0.01
"8",30,3,143.580142857141,100,25.967,30.271,0,0.3,47.3,50.8,1.6,0.165,18.162,45.927,34.224,2.522
"9",30,5,144.111857142855,100,21.253,25.532,0,0,0,6.2,93.8,0.02,9.612,9.647,17.487,64.234
"10",20,1,144.25457142857,100,18.481,22.825,19.1,69.8,10.8,0.3,0,40.72,53.001,7.024,0.247,0.008
"11",20,3,144.964285714284,100,15.959,19.8,0,1.3,39.6,54.1,5,10.319,21.554,38.154,27.388,3.585
"12",20,5,144.143428571427,100,13.2,16.441,0,0,0.2,7.9,91.9,5.167,10.649,10.993,18.29,55.901
"13",30,1,144.403714285712,100,25.547,56.946,98.3,1.7,0,0,0,76.905,24.027,0.068,0,0
"14",30,3,144.096285714284,100,19.783,46.926,9.9,86.6,3.5,0,0,11.973,83.643,5.316,0.064,0.004
"15",30,5,145.176428571427,100,14.708,40.073,0.1,7.1,67.8,24.9,0.1,0.538,31.352,53.277,15.057,0.776
"16",20,1,144.347285714284,100,16.5,46.474,100,0,0,0,0,100.383,0.616,0.001,0,0
"17",20,3,143.733142857141,100,11.454,33.054,61.4,38.4,0.2,0,0,72.288,28.274,0.431,0.007,0
"18",20,5,144.017285714284,100,8.177,26.423,0.6,23.3,63.3,12.7,0.1,16.9,39.242,37.903,6.755,0.2
"19",30,1,87.5409999999999,60,14.617,24.633,26.8,72.7,0.5,0,0,21.345,78.4133333333333,1.90333333333333,0.00333333333333333,0.00166666666666667
"20",30,3,87.3467142857143,60,11.043,19.776,0,33.3,63,3.7,0,1.605,56.6666666666667,39.94,3.32166666666667,0.133333333333333
"21",30,5,87.4361428571428,60,8.565,16.218,0,0.5,14.7,52.4,32.4,0.286666666666667,23.6133333333333,29.345,32.8266666666667,15.595
"22",20,1,87.3655714285714,60,8.67,17.635,88.9,11.1,0,0,0,91.5816666666667,10.0183333333333,0.0666666666666666,0,0
"23",20,3,87.6657142857141,60,6.049,12.451,10.6,63.1,24.6,1.7,0,39.97,49.8616666666667,10.8516666666667,0.943333333333333,0.04
"24",20,5,86.6912857142857,60,4.498,9.689,0.1,5,37.2,41.3,16.4,15.96,29.37,30.7733333333333,18.9766666666667,6.58666666666666
