"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,145.771428571427,100,27.09,46.16,26,74,0,0,0,22.86,77.47,0.67,0,0
"2",30,3,144.104285714283,100,21.44,39.04,0,22,76,2,0,0.64,47.95,50.66,1.74,0.01
"3",30,5,145.985714285713,100,18.55,33.99,0,0,4,59,37,0.37,14.57,22.29,42.2,21.57
"4",20,1,144.76714285714,100,16.48,33.26,93,7,0,0,0,91.35,9.64,0.01,0,0
"5",20,3,144.197142857141,100,12.78,25.48,2,49,48,1,0,19.48,53.34,26.54,1.58,0.06
"6",20,5,146.512857142855,100,11.24,22.68,0,0,9,54,37,7.91,18.17,27.03,34.26,13.63
"7",30,1,142.588571428569,100,30.13,35.87,2,74,24,0,0,3.04,72.72,24.99,0.25,0
"8",30,3,143.159999999998,100,26.52,29.56,0,1,50,49,0,0.07,18.9,47.42,33.29,1.32
"9",30,5,146.187142857141,100,21.2,25.64,0,0,0,7,93,0.02,9.63,9.87,16.45,65.03
"10",20,1,143.755714285712,100,18.48,23.06,14,77,8,1,0,39.45,54.47,6.72,0.35,0.01
"11",20,3,145.002857142856,100,16.33,19.97,0,0,45,52,3,10.18,20.08,40.18,27.1,3.46
"12",20,5,145.538571428569,100,13.79,16.62,0,0,0,13,87,5.42,10.43,10.87,19.72,54.56
"13",30,1,143.50857142857,100,25.45,56.24,97,3,0,0,0,75.11,25.88,0.01,0,0
"14",30,3,145.862857142855,100,19.71,47.2,13,85,2,0,0,13.82,82.57,4.61,0,0
"15",30,5,141.967142857141,100,13.95,39.74,0,7,70,23,0,0.32,31.84,53.28,15.01,0.55
"16",20,1,140.905714285713,100,16.37,46.08,100,0,0,0,0,100.23,0.77,0,0,0
"17",20,3,144.017142857141,100,11.37,32.3,64,36,0,0,0,76.26,24.74,0,0,0
"18",20,5,144.512857142855,100,8.32,26.55,0,24,62,14,0,17.65,38.29,37.21,7.8,0.05
"19",30,1,88.0414285714285,60,14.58,25.06,29,70,1,0,0,23.7333333333333,75.7,2.23333333333333,0,0
"20",30,3,86.2971428571427,60,10.86,19.56,0,41,55,4,0,3.18333333333333,61.55,33.55,2.91666666666667,0.466666666666667
"21",30,5,89.2585714285711,60,8.85,16.37,0,1,10,52,37,0.65,22.15,27.4833333333333,33.7666666666667,17.6166666666667
"22",20,1,87.457142857143,60,8.64,18.2,97,3,0,0,0,94.15,7.38333333333333,0.133333333333333,0,0
"23",20,3,88.47,60,6.02,12.19,12,59,26,3,0,36.3,51.4833333333333,12.1833333333333,1.55,0.15
"24",20,5,87.0699999999996,60,4.4,9.82,0,5,51,33,11,17.5833333333333,33.1166666666667,33.3833333333333,13.8833333333333,3.7
