"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,144.38857142857,100,25.952,44.206,96.8,3.2,0,0,0,96.408,3.886,0.322,0.335,0.049
"2",30,3,143.881714285712,100,19.855,34.895,4.6,64,31.2,0.2,0,30.545,52.837,17.295,0.317,0.006
"3",30,5,143.999428571427,100,17.192,32.294,0,0.5,16.3,64.2,19,9.193,14.055,29.651,37.457,10.644
"4",20,1,144.516285714284,100,17.197,34.62,97.1,2.9,0,0,0,97.703,3.273,0.016,0.008,0
"5",20,3,144.328428571427,100,12.159,25.33,8.9,63.6,27.2,0.3,0,39.139,47.779,13.73,0.351,0.001
"6",20,5,143.787714285713,100,10.61,22.865,0,1.4,21.8,58.7,18.1,12.624,16.45,30.53,32.543,8.853
"7",30,1,144.429714285712,100,27.444,32.184,40.6,58.2,1.2,0,0,57.155,41.702,2.068,0.071,0.004
"8",30,3,144.499142857141,100,23.491,28.332,0,5.1,66.3,28.1,0.5,12.84,22.189,48.699,16.574,0.698
"9",30,5,144.134285714284,100,21.059,25.426,0,0,0.3,16.7,83,5.226,7.055,11.421,24.392,52.906
"10",20,1,143.951571428569,100,18.41,22.926,37.6,58.8,3.6,0,0,60.546,37.81,2.586,0.052,0.006
"11",20,3,143.772571428569,100,15.561,19.66,0,5.3,52,39.4,3.3,15.669,23.438,39.593,20.006,2.294
"12",20,5,144.28357142857,100,13.324,16.931,0,0,0.7,8.9,90.4,7.134,8.001,12.095,19.608,54.162
"13",30,1,145.175714285712,100,25.748,58.484,98.4,1.5,0.1,0,0,96.545,1.644,1.225,1.299,0.287
"14",30,3,144.710999999998,100,18.617,44.184,82,17.9,0.1,0,0,86.452,13.473,0.551,0.419,0.105
"15",30,5,144.35757142857,100,13.021,36.112,1.4,32.6,61.1,4.9,0,22.179,40.225,35.287,3.216,0.093
"16",20,1,144.341142857141,100,17.258,47.907,100,0,0,0,0,100.882,0.07,0.002,0.039,0.007
"17",20,3,143.86157142857,100,11.237,33.115,82.9,17.1,0,0,0,88.84,12.017,0.141,0.002,0
"18",20,5,144.276142857141,100,7.859,25.833,2,36,55.2,6.8,0,26.572,40.662,30.006,3.632,0.128
"19",30,1,87.3394285714285,60,13.763,24.251,95.9,4.1,0,0,0,95.9116666666667,4.29833333333333,0.683333333333334,0.641666666666667,0.131666666666667
"20",30,3,86.8691428571428,60,10.01,18.189,15.4,65.7,18.3,0.6,0,48.9633333333333,42.9366666666667,9.23833333333332,0.501666666666667,0.0266666666666667
"21",30,5,86.9555714285714,60,7.845,15.122,0.4,5.1,37.4,45.9,11.2,17.12,22.055,34.1566666666667,22.68,5.655
"22",20,1,87.5567142857142,60,9.023,18.679,97.3,2.7,0,0,0,98.9116666666666,2.71833333333333,0.035,0.00166666666666667,0
