"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,140.419999999998,100,26.46,44.16,94,6,0,0,0,93.94,6.55,0.26,0.23,0.02
"2",30,3,144.525714285712,100,19.51,34.97,6,62,32,0,0,33.3,50.66,16.59,0.41,0.04
"3",30,5,144.662857142855,100,17.4,32.53,0,0,23,59,18,9.88,13.87,30.37,36.39,10.49
"4",20,1,142.628571428569,100,17.22,34.17,98,2,0,0,0,97.52,3.46,0.02,0,0
"5",20,3,142.731428571427,100,12.02,25.47,5,68,26,1,0,35.92,48.25,15.84,0.99,0
"6",20,5,142.755714285712,100,10.21,22.47,0,3,23,55,19,13.99,16.69,31.1,29.44,9.78
"7",30,1,144.442857142855,100,27.55,32.41,35,64,1,0,0,52.21,45.56,3.16,0.07,0
"8",30,3,142.551428571426,100,23.75,27.97,0,3,77,20,0,12.43,21.86,52.9,13.51,0.3
"9",30,5,140.511428571426,100,21.37,25.53,0,0,0,20,80,5.54,7.07,10.9,25.87,51.62
"10",20,1,145.26857142857,100,18.66,23.34,45,52,3,0,0,67.34,31.46,2.19,0.01,0
"11",20,3,144.301428571427,100,15.91,20.2,0,3,54,40,3,15.94,22.55,38.1,21.48,2.93
"12",20,5,144.025714285712,100,12.93,16.53,0,0,1,11,88,7.62,8,12.66,21.68,51.04
"13",30,1,140.527142857141,100,25.4,58.2,97,3,0,0,0,95.36,2.7,1.28,1.35,0.31
"14",30,3,144.281428571426,100,17.93,44.38,87,13,0,0,0,89.1,11.08,0.4,0.33,0.09
"15",30,5,146.095714285712,100,12.85,35.65,0,33,64,3,0,22.28,41.2,35.75,1.69,0.08
"16",20,1,147.011428571427,100,17.81,47.63,100,0,0,0,0,100.99,0.01,0,0,0
"17",20,3,143.462857142855,100,11.12,32.88,81,19,0,0,0,88.46,12.36,0.17,0.01,0
"18",20,5,142.687142857141,100,7.3,25.29,3,40,51,6,0,29.27,41.46,27.25,2.99,0.03
"19",30,1,87.0471428571428,60,13.79,23.9,95,5,0,0,0,95.3833333333333,4.86666666666667,0.683333333333333,0.65,0.0833333333333333
"20",30,3,88.5214285714285,60,10.15,18.11,19,59,21,1,0,51.2333333333333,39.1333333333333,10.8,0.5,0
"21",30,5,87.6628571428572,60,7.98,14.7,0,7,33,47,13,17.35,22.2166666666667,32.8333333333333,23.0833333333333,6.18333333333333
"22",20,1,87.9385714285711,60,9.2,18.81,96,4,0,0,0,97.2666666666667,4.33333333333333,0.0666666666666667,0,0
"23",20,3,86.3900000000001,60,6.07,12.66,21,61,17,1,0,56.1166666666667,36.8166666666667,8.01666666666667,0.616666666666667,0.1
"24",20,5,88.5471428571429,60,5.02,9.95,0,11,47,33,9,22.3833333333333,28.0833333333333,30.45,17.4666666666667,3.28333333333333
"25",30,1,87.7599999999998,60,14.73,17.01,51,47,2,0,0,70.1333333333333,28.85,2.55,0.133333333333333,0
