"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat","dose1_crmmc_selec","dose2_crmmc_selec","dose3_crmmc_selec","dose4_crmmc_selec","dose5_crmmc_selec"
"1",30,1,1.44864285714286,100,NA,NA,100,0,0,0,0,95.106,2.478,1.392,1.538,0.486,100,0,0,0,0
"2",30,3,1.4591,100,NA,NA,94.7,5.3,0,0,0,84.175,10.472,2.842,2.276,1.235,94.8,5.2,0,0,0
"3",30,5,1.477,100,NA,NA,1,39.2,58.3,1.5,0,17.913,37.99,35.736,6.517,2.844,0.7,39.3,58.2,1.8,0
"4",20,1,1.41561428571429,100,NA,NA,99.6,0.4,0,0,0,89.852,5.672,2.357,2.04,1.079,99.5,0.5,0,0,0
"5",20,3,1.44032857142857,100,NA,NA,11.3,62.1,26.5,0.1,0,30.074,44.95,19.756,3.996,2.224,11.3,62.3,26.3,0.1,0
"6",20,5,1.50928571428571,100,NA,NA,0,0.5,28.7,63.7,7.1,7.313,12.189,33.655,37.75,10.093,0,0.6,28.2,64.1,7.1
"7",30,1,1.36518571428571,100,NA,NA,99.9,0.1,0,0,0,91.832,4.264,2.016,1.986,0.902,99.9,0.1,0,0,0
"8",30,3,1.42482857142857,100,NA,NA,29.1,62.6,8.3,0,0,42.72,41.772,11.115,3.242,2.151,29.1,62.7,8.2,0,0
"9",30,5,1.44084285714286,100,NA,NA,0,2.4,48.1,47.1,2.4,8.63,16.197,39.849,29.555,6.769,0,2.6,48,47.2,2.2
"10",20,1,1.39671428571429,100,NA,NA,47,49.8,3.2,0,0,53.615,34.867,7.756,2.916,1.846,46.8,50.2,3,0,0
"11",20,3,1.43971428571428,100,NA,NA,0.2,5.8,65.5,28,0.5,10.879,20.339,43.843,21.112,4.827,0.2,5.6,65.9,27.8,0.5
"12",20,5,1.4706,100,NA,NA,0,0,2.6,29.1,68.3,3.761,6.312,13.959,32.399,44.569,0,0,2.4,28.3,69.3
"13",30,1,1.48774285714286,100,NA,NA,100,0,0,0,0,96.791,1.801,0.988,1.177,0.243,100,0,0,0,0
"14",30,3,1.46241428571429,100,NA,NA,100,0,0,0,0,94.152,2.884,1.584,1.724,0.656,100,0,0,0,0
"15",30,5,1.44461428571429,100,NA,NA,52.5,44.3,3.2,0,0,57.463,32.169,6.576,2.937,1.855,51.1,46.2,2.7,0,0
"16",20,1,1.50557142857143,100,NA,NA,100,0,0,0,0,94.634,2.65,1.499,1.669,0.548,100,0,0,0,0
"17",20,3,1.45137142857143,100,NA,NA,84.8,15.2,0,0,0,76.403,16.915,3.648,2.539,1.495,84.6,15.3,0.1,0,0
"18",20,5,1.4245,100,NA,NA,0.9,22,70.3,6.8,0,14.193,30.244,42.925,10.202,3.436,1,21.4,70.6,7,0
"19",30,1,0.912371428571429,60,NA,NA,100,0,0,0,0,91.8366666666667,4.17,2.225,2.56333333333333,0.871666666666667,100,0,0,0,0
"20",30,3,0.860557142857143,60,NA,NA,91.9,8,0.1,0,0,78.4533333333333,12.64,4.68666666666667,3.78833333333333,2.09833333333333,90.9,9.1,0,0,0
"21",30,5,0.808085714285714,60,NA,NA,10.2,45.6,41.1,3,0.1,28.015,34.005,26.11,8.965,4.57166666666667,10,45,41.1,3.8,0.1
"22",20,1,0.878828571428571,60,NA,NA,98,2,0,0,0,83.0366666666667,9.25166666666667,3.89833333333333,3.555,1.925,98.1,1.9,0,0,0
"23",20,3,0.8487,60,NA,NA,22.5,52.7,23.9,0.9,0,38.2166666666667,34.665,17.6983333333333,7.025,4.06166666666667,22.9,52.4,23.6,1.1,0
"24",20,5,0.874085714285714,60,NA,NA,0.3,6.7,41,43.7,8.3,11.6283333333333,18.3183333333333,31.2316666666667,27.7216666666667,12.7666666666667,0.1,6.6,40.3,43.9,9.1
"25",30,1,0.858771428571429,60,NA,NA,99.1,0.9,0,0,0,87.1933333333333,6.75666666666667,3.07666666666667,3.14666666666667,1.49333333333333,99.3,0.7,0,0,0
"26",30,3,0.8494,60,NA,NA,42.2,47.4,10.3,0.1,0,47.9133333333333,32.375,12.7716666666667,5.26666666666667,3.34,40.3,49,10.7,0,0
"27",30,5,0.827257142857143,60,NA,NA,0.6,12.1,50.6,32.2,4.5,13.5966666666667,21.6833333333333,34.0283333333333,21.975,10.3833333333333,0.7,11.8,49.5,33.6,4.4
"28",20,1,0.886300000000001,60,NA,NA,56.4,39.1,4.5,0,0,57.1166666666667,26.9966666666666,9.37833333333333,4.93,3.245,55.7,39.6,4.6,0.1,0
"29",20,3,0.852485714285714,60,NA,NA,1.3,20.3,53.3,24.1,1,15.5166666666667,26.2066666666667,33.3266666666667,18.325,8.29166666666666,1.6,20.2,52.9,24.2,1.1
"30",20,5,0.904185714285714,60,NA,NA,0,0.7,9.7,39.4,50.2,5.655,10.6516666666667,19.715,30.8683333333334,34.7766666666667,0,0.6,9.4,39.3,50.7
"31",30,1,0.899157142857143,60,NA,NA,100,0,0,0,0,94.5283333333333,2.92833333333333,1.72333333333333,2.02,0.466666666666667,100,0,0,0,0
"32",30,3,0.8648,60,NA,NA,100,0,0,0,0,89.28,5.305,2.85833333333333,2.97,1.25333333333333,100,0,0,0,0
"33",30,5,0.853728571428572,60,NA,NA,58.9,36.8,4.1,0.2,0,58.4416666666667,26.405,8.945,4.93166666666666,2.94333333333333,58.5,37.3,4.1,0.1,0
"34",20,1,0.887771428571428,60,NA,NA,100,0,0,0,0,91.2683333333333,4.40333333333333,2.44333333333334,2.61333333333333,0.938333333333333,100,0,0,0,0
"35",20,3,0.864828571428571,60,NA,NA,81.8,17.2,1,0,0,70.6966666666667,17.6916666666667,6.28833333333333,4.35166666666667,2.63833333333333,80.6,18.6,0.8,0,0
"36",20,5,0.888585714285714,60,NA,NA,5.6,36.7,47.6,9.9,0.2,23.0683333333333,31.4883333333333,29.1333333333333,12.3116666666667,5.665,5,36.2,49.4,9.3,0.1
"37",30,1,0.424042857142857,30,NA,NA,99.8,0.2,0,0,0,83.3733333333333,8.44666666666667,4.50666666666667,5.13333333333333,1.87333333333333,99.9,0.1,0,0,0
"38",30,3,0.446957142857143,30,NA,NA,86.1,11.5,2.1,0.3,0,64.32,17.3766666666667,9.45666666666667,7.82,4.36,86.5,11,2.1,0.4,0
"39",30,5,0.407,30,NA,NA,39.8,31,23,5.7,0.5,34.6866666666667,25.8466666666667,20.1466666666667,13.4433333333333,9.21,38.2,31.6,24.3,5.5,0.4
"40",20,1,0.442271428571429,30,NA,NA,94.3,4.8,0.9,0,0,70.5633333333333,14.5466666666667,7.59333333333333,7.08333333333333,3.54666666666667,94.6,5,0.4,0,0
"41",20,3,0.467571428571429,30,NA,NA,53.9,28,14.7,2.9,0.5,42.2266666666667,25.4633333333333,16.1733333333333,11.4466666666667,8.02333333333333,52.3,29.8,14.7,2.6,0.6
"42",20,5,0.436085714285714,30,NA,NA,11.8,24.8,33.3,21.5,8.6,18.1766666666667,22.3933333333333,23.8533333333333,20.4866666666667,18.4233333333333,10.9,23.2,34.8,21.9,9.2
"43",30,1,0.414457142857143,30,NA,NA,96.7,2.9,0.4,0,0,74.2733333333333,12.55,6.72333333333333,6.35666666666667,3.43,97.2,2.4,0.4,0,0
"44",30,3,0.434671428571429,30,NA,NA,65.9,23,10,1,0.1,48.94,22.8133333333333,14.5066666666667,10.2966666666667,6.77666666666667,64.5,23.6,10.5,1.4,0
"45",30,5,0.444671428571429,30,NA,NA,15.5,27.4,31.3,19.4,6.4,21.8166666666666,24.13,23.1,18.9833333333333,15.3033333333333,15.4,25.9,32.8,19.7,6.2
"46",20,1,0.424914285714286,30,NA,NA,68.1,22.5,8.4,1,0,51.65,22.9033333333333,13.16,9.48,6.14,68.2,23.2,7.4,1.2,0
"47",20,3,0.3888,30,NA,NA,21.5,30,28.6,15.1,4.8,24.2333333333333,24,23.1366666666667,17.99,13.9733333333333,18.9,30.5,31.9,14.3,4.4
"48",20,5,0.424985714285714,30,NA,NA,3.3,11.2,28.6,27.4,29.5,10.3133333333333,16.2,22.27,23.7033333333333,30.8466666666667,2.6,10.3,27.4,29.8,29.9
"49",30,1,0.423157142857143,30,NA,NA,100,0,0,0,0,88.0633333333333,6.35,3.60333333333333,4.46333333333333,0.853333333333333,100,0,0,0,0
"50",30,3,0.426228571428572,30,NA,NA,99,0.8,0.2,0,0,79.1166666666667,10.4033333333333,5.57666666666667,5.89333333333333,2.34333333333333,98.7,1.3,0,0,0
"51",30,5,0.443,30,NA,NA,71.6,19.9,7.6,0.9,0,52.77,21.8,13.03,9.52666666666667,6.20666666666667,71.5,20.9,6.6,1,0
"52",20,1,0.445057142857143,30,NA,NA,99.6,0.4,0,0,0,82.0266666666667,9.15,4.80333333333333,5.31,2.04333333333333,99.8,0.2,0,0,0
"53",20,3,0.404157142857143,30,NA,NA,83,13.4,3.4,0.2,0,61.98,19.06,9.71333333333333,8.00333333333333,4.57666666666666,83.7,13,3.3,0,0
"54",20,5,0.448214285714286,30,NA,NA,30.1,33.6,26,8.7,1.6,29.7266666666667,26.0766666666667,20.85,15.2966666666667,11.3833333333333,29.6,32.1,28.5,8.2,1.6
