"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat","dose1_crmmc_selec","dose2_crmmc_selec","dose3_crmmc_selec","dose4_crmmc_selec","dose5_crmmc_selec"
"1",30,1,1.64642857142857,100,NA,NA,100,0,0,0,0,94.79,2.77,1.51,1.45,0.48,100,0,0,0,0
"2",30,3,1.597,100,NA,NA,94,6,0,0,0,84.62,10.66,2.37,2.17,1.18,95,5,0,0,0
"3",30,5,1.39585714285714,100,NA,NA,1,41,57,1,0,20.39,39.91,31.32,6.4,2.98,0,43,56,1,0
"4",20,1,1.37514285714286,100,NA,NA,100,0,0,0,0,89.63,5.88,2.28,1.96,1.25,100,0,0,0,0
"5",20,3,1.35657142857143,100,NA,NA,12,63,25,0,0,32.4,44.55,18.73,3.29,2.03,13,62,25,0,0
"6",20,5,1.51285714285714,100,NA,NA,0,0,23,72,5,5.78,10.76,33.19,41.67,9.6,0,0,23,71,6
"7",30,1,1.16271428571429,100,NA,NA,100,0,0,0,0,92.13,3.87,2.11,2.1,0.79,100,0,0,0,0
"8",30,3,1.35328571428571,100,NA,NA,35,54,11,0,0,43.89,41.46,10.87,3.09,1.69,34,58,8,0,0
"9",30,5,1.51,100,NA,NA,0,1,53,45,1,7.94,15.56,45.46,26.5,5.54,0,1,56,42,1
"10",20,1,1.68014285714286,100,NA,NA,42,56,2,0,0,53.39,35.77,6.88,2.9,2.06,38,60,2,0,0
"11",20,3,1.30742857142857,100,NA,NA,0,6,63,30,1,12.24,19.3,41.33,23.13,5,0,8,61,30,1
"12",20,5,1.57328571428571,100,NA,NA,0,0,2,24,74,4.3,6.32,15.23,30.78,44.37,0,0,2,23,75
"13",30,1,1.68428571428571,100,NA,NA,100,0,0,0,0,96.86,1.79,1.04,1.15,0.16,100,0,0,0,0
"14",30,3,1.48628571428571,100,NA,NA,100,0,0,0,0,94.67,2.71,1.29,1.64,0.69,100,0,0,0,0
"15",30,5,1.43371428571429,100,NA,NA,54,42,4,0,0,57.51,31.74,7.14,2.91,1.7,50,46,4,0,0
"16",20,1,1.70842857142857,100,NA,NA,100,0,0,0,0,94.8,2.82,1.28,1.61,0.49,100,0,0,0,0
"17",20,3,1.42157142857143,100,NA,NA,87,13,0,0,0,79.31,15.19,2.91,2.22,1.37,87,13,0,0,0
"18",20,5,1.54742857142857,100,NA,NA,1,19,75,5,0,14.1,26.45,47.94,9.67,2.84,1,18,75,6,0
"19",30,1,0.865857142857143,60,NA,NA,100,0,0,0,0,91.0666666666667,4.5,2.8,2.63333333333333,0.666666666666667,100,0,0,0,0
"20",30,3,0.856571428571429,60,NA,NA,93,7,0,0,0,80.55,10.7666666666667,4.33333333333333,3.73333333333333,2.28333333333333,94,6,0,0,0
"21",30,5,0.871714285714286,60,NA,NA,9,54,34,3,0,27.3833333333333,35.7666666666667,24.9,8.85,4.76666666666667,9,49,39,3,0
