"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,144.332714285712,100,26.809,46.082,66.4,33.6,0,0,0,54.107,46.673,0.219,0.001,0
"2",30,3,144.371714285713,100,21.522,37.52,0.6,52.1,47.2,0.1,0,3.641,67.477,29.652,0.228,0.002
"3",30,5,144.201142857141,100,17.829,33.045,0,0.2,10.1,73.2,16.5,0.405,19.119,30.229,42.088,9.159
"4",20,1,145.156857142855,100,17.127,34.862,98.6,1.4,0,0,0,98.725,2.27,0.005,0,0
"5",20,3,144.471428571427,100,12.124,24.774,7.9,72.2,19.6,0.3,0,38.84,53.128,8.808,0.207,0.017
"6",20,5,144.882714285712,100,10.328,21.77,0,1.8,26.1,58.8,13.3,11.964,22.131,32.295,28.534,6.076
"7",30,1,144.50957142857,100,29.527,34.076,7.6,84.7,7.7,0,0,10.795,82.702,7.478,0.025,0
"8",30,3,143.347428571427,100,24.425,29.295,0,1.4,68.8,29.7,0.1,0.544,26.237,56.39,17.479,0.35
"9",30,5,143.725428571427,100,20.874,25.397,0,0,0.2,16.8,83,0.048,11.606,13.012,26.655,49.679
"10",20,1,143.85557142857,100,18.263,22.659,41.5,55.7,2.8,0,0,63.307,36.049,1.636,0.008,0
"11",20,3,143.933285714284,100,14.74,18.837,0.4,5.9,58.3,33.8,1.6,15.08,29.046,41.191,14.957,0.726
"12",20,5,145.097285714284,100,12.685,16.494,0,0,0.4,17.3,82.3,6.672,12.45,14.145,24.188,43.545
"13",30,1,144.758428571427,100,26.167,58.416,99.9,0.1,0,0,0,87.907,13.092,0.001,0,0
"14",30,3,144.117999999998,100,19.615,46.951,39.1,60.7,0.2,0,0,36.688,63.698,0.614,0,0
"15",30,5,144.18457142857,100,13.826,38.185,0.3,22,71,6.7,0,2.96,47.655,45.448,4.848,0.089
"16",20,1,144.667571428569,100,16.974,48.359,100,0,0,0,0,100.848,0.152,0,0,0
"17",20,3,144.727142857141,100,11.304,33.669,82.9,17.1,0,0,0,88.772,12.084,0.144,0,0
"18",20,5,143.805285714284,100,7.753,25.276,2.2,43.8,50.1,3.9,0,25.895,49.051,23.753,2.272,0.029
"19",30,1,87.3595714285713,60,14.817,25.376,63,37,0,0,0,47.2233333333333,54.3266666666667,0.116666666666667,0,0
"20",30,3,87.6408571428571,60,11.148,19.483,1.2,61.6,36.9,0.3,0,5.09833333333333,75.4316666666667,20.73,0.401666666666667,0.005
