"","dlttarget","targetdose","avgduration","n","avgDLT","avgDR","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec","dose1_treat","dose2_treat","dose3_treat","dose4_treat","dose5_treat"
"1",30,1,144.741428571426,100,25.8,46.37,63,37,0,0,0,55.87,45.04,0.09,0,0
"2",30,3,145.049999999999,100,21.1,37.55,1,50,49,0,0,4.52,68.56,27.89,0.03,0
"3",30,5,143.867142857141,100,17.78,33.13,0,0,13,75,12,0.08,19.39,33.07,40.56,7.9
"4",20,1,146.967142857141,100,16.52,34.94,100,0,0,0,0,98.01,2.99,0,0,0
"5",20,3,143.955714285712,100,12.57,24.52,6,72,22,0,0,35.56,55.63,9.81,0,0
"6",20,5,142.664285714284,100,10.17,21.87,0,4,26,55,15,11.83,22.83,30.51,28.28,7.55
"7",30,1,145.955714285713,100,30.03,34.28,12,82,6,0,0,12.22,82.15,6.63,0,0
"8",30,3,143.955714285713,100,24.55,29.89,0,3,64,32,1,0.72,24.91,54.06,20.68,0.63
"9",30,5,143.339999999998,100,20.13,25.42,0,0,1,15,84,0.07,11.86,13.74,27.37,47.96
"10",20,1,140.767142857141,100,17.96,22.16,29,69,2,0,0,59.25,40.98,0.77,0,0
"11",20,3,143.229999999998,100,14.68,19.5,0,13,51,35,1,15.08,30.49,40.06,14.68,0.69
"12",20,5,145.872857142855,100,12.84,16.63,0,0,0,20,80,5.96,12.43,13.5,26.39,42.72
"13",30,1,143.637142857141,100,25.91,58.7,100,0,0,0,0,87.28,13.72,0,0,0
"14",30,3,145.601428571427,100,19.88,47.21,40,60,0,0,0,39.54,60.91,0.55,0,0
"15",30,5,143.389999999998,100,13.78,37.91,0,24,70,6,0,1.42,47.46,46.05,6.01,0.06
"16",20,1,146.324285714284,100,17.23,48.01,100,0,0,0,0,100.98,0.02,0,0,0
"17",20,3,145.889999999998,100,11.68,34.03,85,15,0,0,0,88.94,11.9,0.16,0,0
"18",20,5,143.665714285713,100,8.18,24.97,3,37,55,5,0,22.77,48.33,26.81,3,0.09
"19",30,1,85.0200000000002,60,14.77,25.25,59,41,0,0,0,43.0166666666667,58.6,0.05,0,0
"20",30,3,85.8285714285715,60,11.31,18.94,1,61,38,0,0,2.75,77.5833333333333,21.2833333333333,0.05,0
"21",30,5,88.6428571428568,60,8.54,15.9,0,0,34,51,15,0.416666666666667,29.6833333333333,38,27.9166666666667,5.65
"22",20,1,85.2057142857144,60,8.56,18.39,98,2,0,0,0,98.5666666666667,3.1,0,0,0
"23",20,3,87.8171428571427,60,6.34,12.73,16,76,8,0,0,55.1666666666667,43.75,2.63333333333333,0.116666666666667,0
"24",20,5,87.0414285714286,60,4.35,9.55,0,11,51,32,6,22.75,35.5333333333333,30.05,10.6166666666667,2.71666666666667
